"prodcode"	"therapyevents"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnftext"	"Sulfonylurea"
"83493"	0	"Tolbutamide 500mg tablets (Almus Pharmaceuticals Ltd)"	"Tolbutamide"	"500mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Tolbutamide"
"56376"	0	"Rosiglitazone 4mg with glimepiride 4mg tablet"	"Glimepiride"	NA	"Tablet"	"Oral"	"Sulphonylureas/Other Antidiabetic Products"	"Glimepiride"
"46927"	261	"Tolbutamide 500mg tablets (Teva UK Ltd)"	"Tolbutamide"	"500mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Tolbutamide"
"61311"	0	"Glimepiride 4mg tablets (Sigma Pharmaceuticals Plc)"	"Glimepiride"	"4mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Glimepiride"
"17343"	3475	"Gliclazide 80mg tablets (A A H Pharmaceuticals Ltd)"	"Gliclazide"	"80mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Gliclazide"
"56437"	64553	"Gliclazide 60mg modified-release tablets"	"Gliclazide"	"60mg"	"Modified-release tablet"	"Oral"	"Sulphonylureas"	"Gliclazide"
"1964"	254961	"Diamicron 80mg tablets (Servier Laboratories Ltd)"	"Gliclazide"	"80mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Gliclazide"
"78125"	39	"Gliclazide 30mg modified-release tablets (Sigma Pharmaceuticals Plc)"	"Gliclazide"	"30mg"	"Modified-release tablet"	"Oral"	"Sulphonylureas"	"Gliclazide"
"34399"	3196	"Gliclazide 80mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Gliclazide"	"80mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Gliclazide"
"82322"	0	"Gliclazide 30mg modified-release tablets (Actavis UK Ltd)"	"Gliclazide"	"30mg"	"Modified-release tablet"	"Oral"	"Sulphonylureas"	"Gliclazide"
"6337"	235123	"Glimepiride 3mg tablets"	"Glimepiride"	"3mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Glimepiride"
"22636"	24	"TOLBUTAMIDE 1 GM TAB"	"Tolbutamide"	NA	"Tablet"	"Oral"	"Unknown"	"Tolbutamide"
"71477"	1	"Glimepiride 1mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Glimepiride"	"1mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Glimepiride"
"71476"	16	"Glimepiride 2mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Glimepiride"	"2mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Glimepiride"
"17698"	19506	"Minodiab 5mg tablets (Pfizer Ltd)"	"Glipizide"	"5mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Glipizide"
"7284"	16694	"Amaryl 2mg tablets (Zentiva Pharma UK Ltd)"	"Glimepiride"	"2mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Glimepiride"
"66399"	0	"Glimepiride 2mg tablets (A A H Pharmaceuticals Ltd)"	"Glimepiride"	"2mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Glimepiride"
"77291"	0	"Gliclazide 80mg tablets (Kent Pharma (UK) Ltd)"	"Gliclazide"	"80mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Gliclazide"
"68289"	0	"Glimepiride 4mg tablets (Waymade Healthcare Plc)"	"Glimepiride"	"4mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Glimepiride"
"71781"	44	"Gliclazide 40mg tablets (Teva UK Ltd)"	"Gliclazide"	"40mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Gliclazide"
"75823"	1	"Gliclazide 40mg tablets (Waymade Healthcare Plc)"	"Gliclazide"	"40mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Gliclazide"
"44738"	0	"Niddaryl 1mg tablets (Dee Pharmaceuticals Ltd)"	"Glimepiride"	"1mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Glimepiride"
"40425"	239	"Nazdol MR 30mg tablets (Teva UK Ltd)"	"Gliclazide"	"30mg"	"Modified-release tablet"	"Oral"	"Sulphonylureas"	"Gliclazide"
"72852"	0	"Gliclazide 40mg tablets (Accord-UK Ltd)"	"Gliclazide"	"40mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Gliclazide"
"7332"	17941	"Amaryl 1mg tablets (Zentiva Pharma UK Ltd)"	"Glimepiride"	"1mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Glimepiride"
"29939"	204	"Gliclazide 80mg tablets (Viatris UK Healthcare Ltd)"	"Gliclazide"	"80mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Gliclazide"
"51955"	1	"Gliclazide 80mg tablets (Accord-UK Ltd)"	"Gliclazide"	"80mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Gliclazide"
"67781"	0	"Gliclazide 80mg tablets (Milpharm Ltd)"	"Gliclazide"	"80mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Gliclazide"
"88597"	2	"Lamzarin 60mg modified-release tablets (Key Pharmaceuticals Ltd)"	"Gliclazide"	"60mg"	"Modified-release tablet"	"Oral"	"Sulphonylureas"	"Gliclazide"
"89056"	431	"Gliclazide 80mg tablets (Zentiva Pharma UK Ltd)"	"Gliclazide"	"80mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Gliclazide"
"5316"	403172	"Glimepiride 4mg tablets"	"Glimepiride"	"4mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Glimepiride"
"33562"	1	"Duclazide 80mg Tablet (Dumex Ltd)"	"Gliclazide"	"80mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Gliclazide"
"67056"	2	"Amaryl 1mg tablets (Lexon (UK) Ltd)"	"Glimepiride"	"1mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Glimepiride"
"12455"	7664	"Rastinon 500mg Tablet (Hoechst Marion Roussel)"	"Tolbutamide"	"500mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Tolbutamide"
"33673"	184	"Tolbutamide 500mg tablets (Actavis UK Ltd)"	"Tolbutamide"	"500mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Tolbutamide"
"47074"	511	"Gliclazide 80mg/5ml oral suspension"	"Gliclazide"	"16mg/1ml"	"Oral suspension"	"Oral"	"Sulphonylureas"	"Gliclazide"
"62014"	3	"Glimepiride 2mg tablets (Accord-UK Ltd)"	"Glimepiride"	"2mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Glimepiride"
"9108"	59	"TOLBUTAMIDE 250 MG TAB"	"Tolbutamide"	NA	"Tablet"	"Oral"	"Unknown"	"Tolbutamide"
"11946"	1	"Tolbutamide 50mg/ml Injection"	"Tolbutamide"	"50mg/ml"	"Injection"	"Intramuscular"	"Sulphonylureas"	"Tolbutamide"
"47894"	178	"Nazdol MR 30mg tablets (Krka UK Ltd)"	"Gliclazide"	"30mg"	"Modified-release tablet"	"Oral"	"Sulphonylureas"	"Gliclazide"
"45831"	71	"Dacadis MR 30mg tablets (Viatris UK Healthcare Ltd)"	"Gliclazide"	"30mg"	"Modified-release tablet"	"Oral"	"Sulphonylureas"	"Gliclazide"
"5276"	318725	"Glimepiride 1mg tablets"	"Glimepiride"	"1mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Glimepiride"
"83483"	0	"Glipizide 5mg tablets (Almus Pharmaceuticals Ltd)"	"Glipizide"	"5mg"	"Oral tablet"	"Oral"	"Unknown"	"Glipizide"
"68415"	0	"Gliclazide 30mg modified-release tablets (Phoenix Healthcare Distribution Ltd)"	"Gliclazide"	"30mg"	"Modified-release tablet"	"Oral"	"Sulphonylureas"	"Gliclazide"
"31212"	4758	"Gliclazide 80mg tablets (Actavis UK Ltd)"	"Gliclazide"	"80mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Gliclazide"
"89141"	2	"Gliclazide 40mg tablets (Medreich Plc)"	"Gliclazide"	"40mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Gliclazide"
"84213"	2	"Zicron PR 30mg tablets (Bristol Laboratories Ltd)"	"Gliclazide"	"30mg"	"Modified-release tablet"	"Oral"	"Sulphonylureas"	"Gliclazide"
"77437"	285	"Amaryl 1mg tablets (Sigma Pharmaceuticals Plc)"	"Glimepiride"	"1mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Glimepiride"
"17706"	6522	"Minodiab 2.5mg tablets (Pfizer Ltd)"	"Glipizide"	"2.5mg"	"Oral tablet"	"Oral"	"Unknown"	"Glipizide"
"53288"	4	"Gliclazide 30mg modified-release tablets (A A H Pharmaceuticals Ltd)"	"Gliclazide"	"30mg"	"Modified-release tablet"	"Oral"	"Sulphonylureas"	"Gliclazide"
"57830"	0	"Gliclazide 30mg modified-release tablets (Alliance Healthcare (Distribution) Ltd)"	"Gliclazide"	"30mg"	"Modified-release tablet"	"Oral"	"Sulphonylureas"	"Gliclazide"
"21892"	5585	"Diaglyk 80mg tablets (Ashbourne Pharmaceuticals Ltd)"	"Gliclazide"	"80mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Gliclazide"
"1965"	413057	"Tolbutamide 500mg tablets"	"Tolbutamide"	"500mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Tolbutamide"
"15374"	3088	"Gliclazide 40mg/5ml oral suspension"	"Gliclazide"	"8mg/1ml"	"Oral suspension"	"Oral"	"Sulphonylureas"	"Gliclazide"
"43065"	991089	"Gliclazide 40mg tablets"	"Gliclazide"	"40mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Gliclazide"
"84602"	7	"Diamicron 30mg MR tablets (Dowelhurst Ltd)"	"Gliclazide"	"30mg"	"Modified-release tablet"	"Oral"	"Sulphonylureas"	"Gliclazide"
"68819"	63	"Gliclazide 80mg tablets (Bristol Laboratories Ltd)"	"Gliclazide"	"80mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Gliclazide"
"547"	112046	"Glipizide 2.5mg tablets"	"Glipizide"	"2.5mg"	"Oral tablet"	"Oral"	"Unknown"	"Glipizide"
"69669"	2	"Gliclazide 160mg/5ml oral suspension"	"Gliclazide"	"32mg/1ml"	"Oral suspension"	"Oral"	"Sulphonylureas"	"Gliclazide"
"43465"	1319	"Zicron 40mg tablets (Bristol Laboratories Ltd)"	"Gliclazide"	"40mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Gliclazide"
"7409"	11176	"Amaryl 3mg tablets (Zentiva Pharma UK Ltd)"	"Glimepiride"	"3mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Glimepiride"
"5627"	1067704	"Gliclazide 30mg modified-release tablets"	"Gliclazide"	"30mg"	"Modified-release tablet"	"Oral"	"Sulphonylureas"	"Gliclazide"
"58882"	2	"Gliclazide 120mg/5ml oral suspension"	"Gliclazide"	"24mg/1ml"	"Oral suspension"	"Oral"	"Sulphonylureas"	"Gliclazide"
"21564"	29	"Gliclazide 80mg tablets (Wockhardt UK Ltd)"	"Gliclazide"	"80mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Gliclazide"
"80828"	5	"Gliclazide 30mg/5ml oral suspension"	"Gliclazide"	"6mg/1ml"	"Oral suspension"	"Oral"	"Sulphonylureas"	"Gliclazide"
"71665"	3	"Glimepiride 3mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Glimepiride"	"3mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Glimepiride"
"80676"	1054	"Bilxona 60mg modified-release tablets (Accord-UK Ltd)"	"Gliclazide"	"60mg"	"Modified-release tablet"	"Oral"	"Sulphonylureas"	"Gliclazide"
"34932"	5	"Gliclazide 80mg tablets (Genus Pharmaceuticals Ltd)"	"Gliclazide"	"80mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Gliclazide"
"60495"	1436	"Gliclazide 80mg tablets (Teva UK Ltd)"	"Gliclazide"	"80mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Gliclazide"
"61957"	4	"Gliclazide 40mg tablets (A A H Pharmaceuticals Ltd)"	"Gliclazide"	"40mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Gliclazide"
"5636"	744627	"Glipizide 5mg tablets"	"Glipizide"	"5mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Glipizide"
"54764"	0	"Gliclazide 80mg tablets (Arrow Generics Ltd)"	"Gliclazide"	"80mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Gliclazide"
"34802"	27	"Glipizide 5mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Glipizide"	"5mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Glipizide"
"70490"	2348	"Bilxona 60mg modified-release tablets (Actavis UK Ltd)"	"Gliclazide"	"60mg"	"Modified-release tablet"	"Oral"	"Sulphonylureas"	"Gliclazide"
"5353"	369471	"Glimepiride 2mg tablets"	"Glimepiride"	"2mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Glimepiride"
"68675"	1	"Glimepiride 4mg tablets (Somex Pharma)"	"Glimepiride"	"4mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Glimepiride"
"63048"	0	"Gliclazide 80mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Gliclazide"	"80mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Gliclazide"
"48056"	6	"Gliclazide 80mg tablets (Sovereign Medical Ltd)"	"Gliclazide"	"80mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Gliclazide"
"36856"	33	"Gliclazide 80mg tablets (Sandoz Ltd)"	"Gliclazide"	"80mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Gliclazide"
"42790"	255	"Gliclazide 80mg Tablet (Merck Generics (UK) Ltd)"	"Gliclazide"	"80mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Gliclazide"
"87614"	2	"Gliclazide 30mg modified-release tablets (A A H Pharmaceuticals Ltd)"	"Gliclazide"	"30mg"	"Modified-release tablet"	"Oral"	"Sulphonylureas"	"Gliclazide"
"71667"	4	"Glimepiride 1mg tablets (Teva UK Ltd)"	"Glimepiride"	"1mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Glimepiride"
"29326"	207	"Glipizide 5mg tablets (Viatris UK Healthcare Ltd)"	"Glipizide"	"5mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Glipizide"
"16211"	33	"TOLBUTAMIDE 100 MG TAB"	"Tolbutamide"	NA	"Tablet"	"Oral"	"Unknown"	"Tolbutamide"
"56008"	0	"Gliclazide 80mg tablets (Almus Pharmaceuticals Ltd)"	"Gliclazide"	"80mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Gliclazide"
"55862"	48	"Gliclazide Oral solution"	"Gliclazide"	NA	"Oral Solution"	"Oral"	"Sulphonylureas"	"Gliclazide"
"63131"	28	"Ziclaseg 30mg modified-release tablets (Lupin Healthcare (UK) Ltd)"	"Gliclazide"	"30mg"	"Modified-release tablet"	"Oral"	"Sulphonylureas"	"Gliclazide"
"40365"	2	"Glimepiride 1mg tablets (Actavis UK Ltd)"	"Glimepiride"	"1mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Glimepiride"
"12513"	36168	"Glibenese 5mg tablets (Pfizer Ltd)"	"Glipizide"	"5mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Glipizide"
"44304"	1	"Glyconon 500mg Tablet (DDSA Pharmaceuticals Ltd)"	"Tolbutamide"	"500mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Tolbutamide"
