"medcode"	"term"	"group"
"16347"	"Bipolar affect disord, currently manic, severe, no psychosis"	"bipolar"
"1915"	"Delusions"	"other psychosis"
"35848"	"[X]Simple schizophrenia"	"schizophrenia"
"66410"	"Latent schizophrenia"	"other psychosis"
"101720"	"[X]Paranoid state in remission"	"other psychosis"
"85972"	"Psychosis resolved"	"other psychosis"
"28277"	"[X]Bipolar affect disorder cur epi manic with psychotic symp"	"bipolar"
"4732"	"[X]Bipolar affect dis cur epi severe depres with psyc symp"	"bipolar"
"33751"	"[X]Bipolar affective disorder, unspecified"	"bipolar"
"12173"	"[X]Manic episode"	"bipolar"
"21595"	"[X]Acute polymorphic psychot disord with symp of schizophren"	"other psychosis"
"58862"	"Unspecified schizo-affective schizophrenia"	"other psychosis"
"58716"	"Unspecified catatonic schizophrenia"	"schizophrenia"
"20110"	"Single manic episode, unspecified"	"bipolar"
"50060"	"[X]Paraphrenic schizophrenia"	"schizophrenia"
"12472"	"O/E - paranoid delusions"	"other psychosis"
"28677"	"[X]Manic-depress psychosis,depressed type+psychotic symptoms"	"bipolar"
"26119"	"Other reactive psychoses NOS"	"other psychosis"
"99070"	"Coenesthopathic schizophrenia"	"schizophrenia"
"57666"	"Acute exacerbation of subchronic schizophrenia"	"schizophrenia"
"41022"	"[X]Schizophreniform psychosis, depressive type"	"other psychosis"
"50248"	"[X]Involutional paranoid state"	"other psychosis"
"66506"	"Unspecified hebephrenic schizophrenia"	"schizophrenia"
"30282"	"Profile of mood states, bipolar"	"bipolar"
"58532"	"[X]Other schizoaffective disorders"	"other psychosis"
"30688"	"[X]Mixed affective episode"	"bipolar"
"15923"	"Bipolar affective disorder, currently depressed, unspecified"	"bipolar"
"1531"	"[X]Manic-depressive illness"	"bipolar"
"6710"	"[X]Manic-depressive psychosis"	"bipolar"
"66153"	"[X]Manic-depressive reaction"	"bipolar"
"31535"	"Mixed bipolar affective disorder, unspecified"	"bipolar"
"22104"	"[V]Personal history of schizophrenia"	"schizophrenia"
"62680"	"Shared paranoid disorder"	"other psychosis"
"9422"	"[X]Schizoaffective disorders"	"other psychosis"
"58863"	"Recurrent manic episodes, partial or unspecified remission"	"bipolar"
"31738"	"[X]Chronic hallucinatory psychosis"	"other psychosis"
"49761"	"Other schizophrenia NOS"	"schizophrenia"
"33847"	"[X]Schizoaffective disorder, manic type"	"other psychosis"
"21065"	"[X]Mania with psychotic symptoms"	"bipolar"
"33410"	"[X]Schizoaffective psychosis NOS"	"other psychosis"
"11548"	"H/O: manic depressive disorder"	"bipolar"
"96883"	"Latent schizophrenia in remission"	"other psychosis"
"694"	"[X]Psychosis NOS"	"other psychosis"
"31362"	"Chronic paranoid schizophrenia"	"schizophrenia"
"47230"	"[X]Induced paranoid disorder"	"other psychosis"
"11973"	"[X]Induced psychotic disorder"	"other psychosis"
"105606"	"[X]Folie a deux"	"other psychosis"
"53625"	"Simple schizophrenia NOS"	"schizophrenia"
"30619"	"Hebephrenic schizophrenia"	"schizophrenia"
"1494"	"Paranoid schizophrenia"	"schizophrenia"
"48632"	"[X]Mania with mood-incongruent psychotic symptoms"	"bipolar"
"854"	"Schizophrenic disorders"	"schizophrenia"
"46434"	"Bipolar affective disorder, currently manic, moderate"	"bipolar"
"3636"	"Psychotic episode NOS"	"other psychosis"
"34389"	"[X]Delusional disorder"	"other psychosis"
"18909"	"Hypomanic psychoses"	"bipolar"
"49223"	"[X]Persistent delusional disorder, unspecified"	"other psychosis"
"16562"	"[X]Bipolar affect disorder cur epi mild or moderate depressn"	"bipolar"
"17982"	"Delusion"	"other psychosis"
"38063"	"Residual schizophrenia"	"schizophrenia"
"4677"	"Bipolar affective disorder, currently depressed"	"bipolar"
"99199"	"Subchronic catatonic schizophrenia"	"schizophrenia"
"104760"	"Subchronic paranoid schizophrenia"	"schizophrenia"
"26227"	"Recurrent manic episodes"	"bipolar"
"51903"	"[X]Schizophreniform psychosis, manic type"	"other psychosis"
"115050"	"[X]Bouffee delirante with symptoms of schizophrenia"	"other psychosis"
"26143"	"[X]Cycloid psychosis with symptoms of schizophrenia"	"other psychosis"
"33338"	"Atypical schizophrenia"	"schizophrenia"
"9521"	"[X]Bipolar disorder, single manic episode"	"bipolar"
"35734"	"Bipolar affective disorder, currently depressed, mild"	"bipolar"
"68326"	"Unspecified bipolar affective disorder,severe with psychosis"	"bipolar"
"85102"	"Bipolar affective disorder resolved"	"bipolar"
"55479"	"Ideas of reference"	"other psychosis"
"65811"	"Recurrent manic episodes, severe without mention psychosis"	"bipolar"
"6874"	"[X]Bipolar affective disorder"	"bipolar"
"66766"	"Paranoia querulans"	"other psychosis"
"8766"	"[X]Symptomatic psychosis NOS"	"other psychosis"
"91511"	"[X]Latent schizophrenic reaction"	"other psychosis"
"64993"	"[X]Latent schizophrenia"	"other psychosis"
"54387"	"[X]Borderline schizophrenia"	"other psychosis"
"40386"	"[X]Prodromal schizophrenia"	"other psychosis"
"62449"	"[X]Prepsychotic schizophrenia"	"other psychosis"
"71250"	"[X]Pseudopsychopathic schizophrenia"	"other psychosis"
"26859"	"[X]Schizotypal personality disorder"	"other psychosis"
"50868"	"Folie a deux"	"other psychosis"
"44513"	"[X]Manic episode, unspecified"	"bipolar"
"114206"	"Acute exacerbation of chronic latent schizophrenia"	"other psychosis"
"94299"	"Chronic latent schizophrenia"	"other psychosis"
"32295"	"Recurrent manic episodes, severe, with psychosis"	"bipolar"
"113529"	"Chronic catatonic schizophrenia"	"schizophrenia"
"46415"	"Recurrent manic episode NOS"	"bipolar"
"63867"	"Catatonic schizophrenia NOS"	"schizophrenia"
"44498"	"Acute exacerbation of chronic schizophrenia"	"schizophrenia"
"12771"	"Paranoid psychosis NOS"	"other psychosis"
"63651"	"Mixed bipolar affective disorder, partial/unspec remission"	"bipolar"
"36126"	"Bipolar affective disorder, currently manic, mild"	"bipolar"
"34236"	"[X]Schizophrenia"	"schizophrenia"
"101987"	"[X]Nonorganic psychosis in remission"	"other psychosis"
"51302"	"[X]Induced delusional disorder"	"other psychosis"
"63150"	"Mixed bipolar affective disorder, moderate"	"bipolar"
"62405"	"[X]Delusional misidentification syndrome"	"other psychosis"
"17281"	"[X]Schizophrenia, schizotypal and delusional disorders"	"other psychosis"
"37102"	"[X]Mania with mood-congruent psychotic symptoms"	"bipolar"
"14971"	"Paraphrenia"	"other psychosis"
"16808"	"[X]Bipolar affective disorder, current episode hypomanic"	"bipolar"
"44503"	"[X]Other acute and transient psychotic disorders"	"other psychosis"
"11244"	"[X]Unspecified nonorganic psychosis"	"other psychosis"
"2113"	"[X]Paranoid psychosis"	"other psychosis"
"50326"	"[X]Erotomania"	"other psychosis"
"33425"	"Other affective psychosis NOS"	"other psychosis"
"109634"	"Sander's disease"	"other psychosis"
"70000"	"Single manic episode in full remission"	"bipolar"
"18053"	"[X]Schizophrenifrm psychos NOS"	"schizophrenia"
"94001"	"[X]Schizophreniform disord NOS"	"schizophrenia"
"33383"	"Unspecified paranoid schizophrenia"	"schizophrenia"
"35877"	"[X]Schizophrenic catatonia"	"schizophrenia"
"20572"	"[X]Catatonic stupor"	"schizophrenia"
"61969"	"Schizotypal personality"	"other psychosis"
"32222"	"Simple schizophrenia"	"schizophrenia"
"25546"	"Catatonic schizophrenia"	"schizophrenia"
"48054"	"Hebephrenic schizophrenia NOS"	"schizophrenia"
"67768"	"Hebephrenic schizophrenia in remission"	"schizophrenia"
"9281"	"Paranoid schizophrenia NOS"	"schizophrenia"
"41992"	"Other and unspecified affective psychoses"	"other psychosis"
"113781"	"Chronic hebephrenic schizophrenia"	"schizophrenia"
"37296"	"Bipolar affective disorder, currently depressed, NOS"	"bipolar"
"68647"	"Unspecified bipolar affective disorder, moderate"	"bipolar"
"27890"	"Bipolar affective disorder, currently depressed, moderate"	"bipolar"
"26161"	"Manic psychoses"	"bipolar"
"8567"	"Bipolar psychoses"	"bipolar"
"27986"	"Unspecified bipolar affective disorder, NOS"	"bipolar"
"43405"	"[X]Hebephrenic schizophrenia"	"schizophrenia"
"31589"	"Other paranoid states"	"other psychosis"
"59096"	"[X]Brief schizophreniform disorder"	"other psychosis"
"22080"	"[V]Personal history of manic-depressive psychosis"	"bipolar"
"23963"	"[V]Personal history of manic-depressive psychosis"	"bipolar"
"53840"	"[X]Other bipolar affective disorders"	"bipolar"
"22117"	"Psychogenic stupor"	"other psychosis"
"2117"	"Schizo-affective schizophrenia"	"other psychosis"
"107222"	"Acute exacerbation of chronic catatonic schizophrenia"	"schizophrenia"
"104065"	"[X]Bipolar affective disorder type I"	"bipolar"
"63478"	"Acute exacerbation of chronic schizo-affective schizophrenia"	"other psychosis"
"3984"	"Chronic schizophrenic"	"schizophrenia"
"109485"	"Single manic episode in partial or unspecified remission"	"bipolar"
"27770"	"[X]Psychogenic paranoid psychosis"	"other psychosis"
"58687"	"Schizophrenia in remission"	"schizophrenia"
"4678"	"[X]Mania NOS"	"bipolar"
"54195"	"Mixed bipolar affective disorder, severe, with psychosis"	"bipolar"
"35738"	"Bipolar affective disorder, currently manic, unspecified"	"bipolar"
"88275"	"Schizophrenia resolved"	"schizophrenia"
"22643"	"Paranoid ideation"	"other psychosis"
"93167"	"Oneirophrenia"	"other psychosis"
"26299"	"[X]Bipolar affect disorder cur epi manic wout psychotic symp"	"bipolar"
"10575"	"Schizo-affective schizophrenia NOS"	"other psychosis"
"22644"	"Poor insight into psychotic condition"	"other psychosis"
"55221"	"[X]Capgras syndrome"	"other psychosis"
"31493"	"[X]Schizophrenic flexibilatis cerea"	"schizophrenia"
"57465"	"Bipolar affective disorder, now depressed, in full remission"	"bipolar"
"56438"	"Schizo-affective schizophrenia in remission"	"other psychosis"
"37580"	"[X]Mixed schizophrenic and affective psychosis"	"other psychosis"
"37178"	"Recurrent manic episodes, in full remission"	"bipolar"
"19345"	"Psychosis, schizophrenia + bipolar affective disord resolved"	"other psychosis"
"97919"	"Acute exacerbation of chronic hebephrenic schizophrenia"	"schizophrenia"
"3890"	"Chronic paranoid psychosis"	"other psychosis"
"39062"	"Other schizophrenia"	"schizophrenia"
"29451"	"[X]Manic-depress psychosis,depressd,no psychotic symptoms"	"bipolar"
"63698"	"Unspecified bipolar affective disorder, mild"	"bipolar"
"73423"	"Unspecified bipolar affective disorder, severe, no psychosis"	"bipolar"
"35607"	"Bipolar affect disord, now depressed, severe, no psychosis"	"bipolar"
"34966"	"[X]Schizophrenia, unspecified"	"schizophrenia"
"23616"	"Subchronic schizophrenia"	"schizophrenia"
"61501"	"[X]Catatonic schizophrenia"	"schizophrenia"
"31455"	"Other paranoid states NOS"	"other psychosis"
"66077"	"[X]Other persistent delusional disorders"	"other psychosis"
"13024"	"[X]Mania without psychotic symptoms"	"bipolar"
"73295"	"Schizophrenia simplex"	"schizophrenia"
"103915"	"[X]Bipolar affective disorder type II"	"bipolar"
"23538"	"Brief reactive psychosis"	"other psychosis"
"53985"	"[X]Disorganised schizophrenia"	"schizophrenia"
"102427"	"Catatonic schizophrenia in remission"	"schizophrenia"
"11596"	"Unspecified manic-depressive psychoses"	"bipolar"
"43093"	"Single manic episode, severe without mention of psychosis"	"bipolar"
"50218"	"Single manic episode, severe, with psychosis"	"bipolar"
"35274"	"[X]Schizoaffective psychosis, depressive type"	"other psychosis"
"68058"	"Bouffee delirante"	"other psychosis"
"51032"	"[X]Recurrent manic episodes"	"bipolar"
"73924"	"[X]Bipolar II disorder"	"bipolar"
"31316"	"Mixed bipolar affective disorder"	"bipolar"
"63784"	"Bipolar affective disorder, currently manic, full remission"	"bipolar"
"49763"	"Unspecified bipolar affective disorder, unspecified"	"bipolar"
"14743"	"Simple paranoid state"	"other psychosis"
"12777"	"H/O: psychosis"	"other psychosis"
"43462"	"Delusion of persecution"	"other psychosis"
"28562"	"[X]Persistent delusional disorders"	"other psychosis"
"16333"	"Other reactive psychoses"	"other psychosis"
"63583"	"Mixed bipolar affective disorder, NOS"	"bipolar"
"33693"	"[X]Schizoaffective disorder, mixed type"	"other psychosis"
"44307"	"[X]Other acute predominantly delusional psychotic disorders"	"other psychosis"
"44693"	"[X]Bipolar affective disorder, current episode mixed"	"bipolar"
"58866"	"Acute exacerbation subchronic schizo-affective schizophrenia"	"other psychosis"
"63701"	"Bipolar affect disord, now depressed, severe with psychosis"	"bipolar"
"102311"	"Unspecified latent schizophrenia"	"other psychosis"
"64533"	"[X]Schizophrenic catalepsy"	"schizophrenia"
"36172"	"Paranoid schizophrenia in remission"	"schizophrenia"
"576"	"Acute schizophrenic episode"	"schizophrenia"
"3702"	"Bipolar affective disorder, currently manic"	"bipolar"
"41989"	"[X]Single episode agitated depressn w'out psychotic symptoms"	"other psychosis"
"72026"	"Bipolar affect disord, now depressed, part/unspec remission"	"bipolar"
"14656"	"Affective psychoses"	"other psychosis"
"24107"	"[X]Chronic undifferentiated schizophrenia"	"schizophrenia"
"63284"	"Mixed bipolar affective disorder, severe, without psychosis"	"bipolar"
"20785"	"[X]Post-schizophrenic depression"	"schizophrenia"
"99000"	"Cyclic schizophrenia"	"schizophrenia"
"60013"	"[X]Undifferentiated schizophrenia"	"schizophrenia"
"33469"	"[x]recurr depress disorder cur epi severe without psyc sympt"	"depression"
"7011"	"single major depressive episode nos"	"depression"
"15220"	"[x]persistant anxiety depression"	"depression"
"8584"	"[x]depressive neurosis"	"depression"
"7737"	"[x]neurotic depression"	"depression"
"42931"	"on depression register"	"depression"
"34390"	"single major depressive episode, unspecified"	"depression"
"1131"	"neurotic depression reactive type"	"depression"
"2716"	"h/o: depression"	"depression"
"100977"	"suspected depression"	"depression"
"98414"	"[x]major depression, severe without psychotic symptoms"	"depression"
"2560"	"depressive psychoses"	"depression"
"32841"	"referral for guided self-help for depression"	"depression"
"96995"	"on full dose long term treatment depression - enh serv admin"	"depression"
"28008"	"[x]other mood affective disorders"	"depression"
"24171"	"recurrent major depressive episodes, severe, with psychosis"	"depression"
"112682"	"referral for guided self-help for depression declined"	"depression"
"22116"	"[x]recurrent depressive disorder, currently in remission"	"depression"
"47009"	"[x]recurrent depress disorder cur epi severe with psyc symp"	"depression"
"324"	"depressive disorder nec"	"depression"
"44300"	"[x]recurrent depressive disorder, unspecified"	"depression"
"27491"	"atypical depressive disorder"	"depression"
"1996"	"depressed"	"depression"
"30483"	"patient given advice about management of depression"	"depression"
"15219"	"single major depressive episode, severe, without psychosis"	"depression"
"30405"	"depression interim review"	"depression"
"51258"	"depression monitoring administration"	"depression"
"543"	"[x]depression nos"	"depression"
"98252"	"[x]major depression, moderately severe"	"depression"
"19439"	"depression resolved"	"depression"
"12122"	"depression medication review"	"depression"
"56273"	"recurrent major depressive episodes,partial/unspec remission"	"depression"
"9796"	"symptoms of depression"	"depression"
"15155"	"single major depressive episode, moderate"	"depression"
"16632"	"prolonged depressive reaction"	"depression"
"6932"	"endogenous depression - recurrent"	"depression"
"47731"	"[x]other recurrent depressive disorders"	"depression"
"71009"	"depression monitoring first letter"	"depression"
"32941"	"[x]recurr severe episodes/major depression+psychotic symptom"	"depression"
"37764"	"[x]recurrent severe episodes/reactive depressive psychosis"	"depression"
"16861"	"[x]recurrent severe episodes of psychotic depression"	"depression"
"31757"	"[x]recurr severe episodes/psychogenic depressive psychosis"	"depression"
"4824"	"c/o - feeling depressed"	"depression"
"65435"	"depression - enhanced service completed"	"depression"
"29579"	"[x]other specified mood affective disorders"	"depression"
"88644"	"depression monitoring verbal invite"	"depression"
"39767"	"[x]persistent mood affective disorder, unspecified"	"depression"
"43239"	"excepted from depression quality indicators: informed dissen"	"depression"
"14709"	"recurrent major depressive episodes, moderate"	"depression"
"9183"	"masked depression"	"depression"
"24117"	"[x]single episode of major depression and psychotic symptoms"	"depression"
"52678"	"[x]single episode of psychogenic depressive psychosis"	"depression"
"6950"	"endogenous depression first episode"	"depression"
"6546"	"endogenous depression first episode"	"depression"
"5879"	"agitated depression"	"depression"
"595"	"endogenous depression"	"depression"
"10438"	"depressive symptoms"	"depression"
"5726"	"[x]mood - affective disorders"	"depression"
"12399"	"depression annual review"	"depression"
"1055"	"agitated depression"	"depression"
"15099"	"recurrent major depressive episode"	"depression"
"36616"	"[x]monopolar depression nos"	"depression"
"3291"	"[x]depressive disorder nos"	"depression"
"15117"	"[v]personal history of affective disorder"	"depression"
"36246"	"brief depressive reaction nos"	"depression"
"4639"	"[x]depressive episode"	"depression"
"42857"	"[x]persistent mood affective disorders"	"depression"
"8478"	"reactive depressive psychosis"	"depression"
"50998"	"[x]other single mood affective disorders"	"depression"
"25697"	"recurrent major depressive episodes, severe, no psychosis"	"depression"
"19696"	"[x]recurrent episodes of psychogenic depression"	"depression"
"8902"	"[x]recurrent episodes of reactive depression"	"depression"
"8851"	"[x]recurrent episodes of depressive reaction"	"depression"
"32159"	"single major depressive episode, severe, with psychosis"	"depression"
"655"	"anxiety with depression"	"depression"
"23731"	"[x]endogenous depression with psychotic symptoms"	"depression"
"101153"	"[x]recurr major depr ep, severe with psych, psych in remiss"	"depression"
"30583"	"depression - enhanced services administration"	"depression"
"12099"	"[x]severe depressive episode with psychotic symptoms"	"depression"
"29921"	"[x]other recurrent mood affective disorders"	"depression"
"4323"	"chronic depression"	"depression"
"37090"	"[x]unspecified mood affective disorder"	"depression"
"43324"	"single major depressive episode, partial or unspec remission"	"depression"
"35671"	"recurrent major depressive episodes, unspecified"	"depression"
"10610"	"single major depressive episode"	"depression"
"25563"	"recurrent major depressive episode nos"	"depression"
"101054"	"[x]single major depr ep, severe with psych, psych in remiss"	"depression"
"28863"	"[x]single episode of reactive depressive psychosis"	"depression"
"29784"	"[x]recurrent depressive disorder, current episode mild"	"depression"
"10015"	"depressed mood"	"depression"
"9055"	"[x]single episode of depressive reaction"	"depression"
"7604"	"[x]single episode of reactive depression"	"depression"
"18510"	"[x]single episode of psychogenic depression"	"depression"
"17770"	"psychotic reactive depression"	"depression"
"56609"	"[x]single episode of masked depression nos"	"depression"
"10720"	"[x]atypical depression"	"depression"
"5987"	"[x] reactive depression nos"	"depression"
"28248"	"[x]prolonged single episode of reactive depression"	"depression"
"48970"	"exception reporting: depression quality indicators"	"depression"
"3292"	"[x]recurrent depressive disorder"	"depression"
"2970"	"[x]depressive episode, unspecified"	"depression"
"85852"	"depression monitoring telephone invite"	"depression"
"9667"	"[x]severe depressive episode without psychotic symptoms"	"depression"
"91105"	"depression monitoring third letter"	"depression"
"6482"	"recurrent depression"	"depression"
"55384"	"recurrent major depressive episodes, in full remission"	"depression"
"19054"	"[x]recurrent brief depressive episodes"	"depression"
"22806"	"[x]single episode major depression w'out psychotic symptoms"	"depression"
"73991"	"[x]vital depression, recurrent without psychotic symptoms"	"depression"
"11252"	"[x]major depression, recurrent without psychotic symptoms"	"depression"
"1908"	"o/e - depressed"	"depression"
"29520"	"[x]recurrent depressive disorder, current episode moderate"	"depression"
"44848"	"depression management programme"	"depression"
"57409"	"single major depressive episode, in full remission"	"depression"
"29342"	"recurrent major depressive episodes, mild"	"depression"
"98417"	"[x]major depression, severe with psychotic symptoms"	"depression"
"6854"	"[x]other depressive episodes"	"depression"
"9211"	"[x]moderate depressive episode"	"depression"
"50243"	"[x]other persistent mood affective disorders"	"depression"
"24112"	"[x]single episode of psychotic depression"	"depression"
"1533"	"brief depressive reaction"	"depression"
"11329"	"[x]endogenous depression without psychotic symptoms"	"depression"
"41989"	"[x]single episode agitated depressn w'out psychotic symptoms"	"depression"
"59386"	"[x]single episode vital depression w'out psychotic symptoms"	"depression"
"11913"	"[x]mixed anxiety and depressive disorder"	"depression"
"28970"	"excepted from depression quality indicators: patient unsuita"	"depression"
