"medcodeid"	"term"	"group"
"424071000006112"	"[X]Psychogenic paranoid psychosis"	"other psychosis"
"424231000006116"	"Psychotic"	"other psychosis"
"424511000006112"	"[X]Reactive psychosis"	"other psychosis"
"424661000006111"	"[X]Recurrent manic episodes"	"bipolar"
"424841000006113"	"[X]Residual schizophrenia"	"schizophrenia"
"424931000006113"	"[X]Restzustand schizophrenic"	"schizophrenia"
"425501000006113"	"Schizoaffective disorder, depressive type"	"other psychosis"
"425511000006111"	"Schizoaffective disorder, manic type"	"other psychosis"
"425521000006115"	"Schizoaffective disorder, mixed type"	"other psychosis"
"425541000006110"	"Schizoaffective disorder"	"other psychosis"
"425551000006112"	"[X]Schizoaffective psychosis NOS"	"other psychosis"
"425561000006114"	"[X]Schizoaffective psychosis, depressive type"	"other psychosis"
"425571000006119"	"[X]Schizoaffective psychosis, manic type"	"other psychosis"
"425601000006114"	"[X]Schizophrenia"	"schizophrenia"
"425641000006111"	"[X]Schizophrenic catalepsy"	"schizophrenia"
"425651000006113"	"[X]Schizophrenic catatonia"	"schizophrenia"
"425671000006115"	"[X]Schizophrenic reaction"	"other psychosis"
"425681000006117"	"[X]Schizophreniform disord NOS"	"schizophrenia"
"425691000006119"	"[X]Schizophreniform psychosis, depressive type"	"other psychosis"
"425701000006119"	"[X]Schizophreniform psychosis, manic type"	"other psychosis"
"425711000006116"	"[X]Schizophrenifrm psychos NOS"	"schizophrenia"
"425731000006110"	"[X]Schizotypal personality disorder"	"other psychosis"
"425921000006114"	"[X]Sensitiver Beziehungswahn"	"other psychosis"
"426881000006111"	"[X]Simple schizophrenia"	"schizophrenia"
"428451000006119"	"Psychotic symptom present"	"other psychosis"
"456731000006115"	"Acute exacerbation of chronic schizo-affective schizophrenia"	"other psychosis"
"456801000006115"	"Acute exacerbation subchronic schizo-affective schizophrenia"	"other psychosis"
"492761000000114"	"Bipolar affective disorder resolved"	"bipolar"
"492821000000113"	"Schizophrenia resolved"	"schizophrenia"
"492881000000114"	"Psychosis resolved"	"other psychosis"
"513691000006116"	"Severe manic bipolar I disorder without psychotic features"	"bipolar"
"513701000006116"	"Bipolar affect disord, currently manic,severe with psychosis"	"bipolar"
"513711000006118"	"Depressed bipolar I disorder in partial remission"	"bipolar"
"513721000006114"	"Bipolar affect disord, now depressed, severe with psychosis"	"bipolar"
"513731000006112"	"Bipolar affect disord, now depressed, severe, no psychosis"	"bipolar"
"513741000006119"	"Manic bipolar I disorder in partial remission"	"bipolar"
"513751000006117"	"Bipolar affective disorder, current episode depression"	"bipolar"
"513801000006112"	"Bipolar affective disorder, current episode manic"	"bipolar"
"513811000006110"	"Bipolar affective disorder, currently manic, in full remission"	"bipolar"
"513861000006113"	"Bipolar affective disorder, currently depressed, in full remission"	"bipolar"
"513871000006118"	"Bipolar disorder"	"bipolar"
"523481000006114"	"Bouffee delirante"	"other psychosis"
"556631000006116"	"Chronic schizoaffective schizophrenia"	"other psychosis"
"701051000006118"	"Mixed bipolar affective disorder, partial/unspec remission"	"bipolar"
"701071000006111"	"Mixed bipolar affective disorder, severe"	"bipolar"
"789221000006116"	"Hypomanic psychoses"	"bipolar"
"819351000006115"	"Hebephrenic schizophrenia"	"schizophrenia"
"851691000006114"	"Hypomanic"	"bipolar"
"851701000006114"	"Paranoid"	"other psychosis"
"853201000006116"	"Obsessional compulsive psychosis"	"other psychosis"
"882281000006113"	"Schizophrenic psychoses NOS"	"schizophrenia"
"882291000006111"	"Schizophrenic psychoses"	"schizophrenia"
"882301000006112"	"Acute schizo affective psychosis"	"other psychosis"
"882311000006110"	"Manic-depressive psychoses"	"bipolar"
"882321000006119"	"Mania/hypomania"	"bipolar"
"882331000006116"	"Paranoia"	"other psychosis"
"914461000006118"	"[X]Capgras syndrome"	"other psychosis"
"914471000006113"	"[X]Delusional misidentification syndrome"	"other psychosis"
"981141000006111"	"Delusions"	"other psychosis"
"996171000006114"	"Psychosis, schizophrenia and bipolar affective disorder resolved"	"other psychosis"
"1667581000000114"	"[X]Paranoid state in remission"	"other psychosis"
"1667591000000111"	"[X]Nonorganic psychosis in remission"	"other psychosis"
"1785851000006110"	"Bipolar I disorder"	"bipolar"
"1785861000006112"	"Bipolar II disorder"	"bipolar"
"1785871000006117"	"[X]Bipolar II disorder"	"bipolar"
"1807561000006117"	"Psychotic symptom"	"other psychosis"
"1821481000006114"	"Possible early psychosis"	"other psychosis"
"1821491000006112"	"Possible psychosis prodrome"	"other psychosis"
"1974351000006118"	"Paranoid schizophrenia, continuous"	"schizophrenia"
"1974391000006112"	"Paranoid schizophrenia, episodic with progressive deficit"	"schizophrenia"
"1974431000006118"	"Paranoid schizophrenia, episodic with stable deficit"	"schizophrenia"
"1974451000006113"	"Paranoid schizophrenia, episodic remittent"	"schizophrenia"
"1974481000006117"	"Paranoid schizophrenia, incomplete remission"	"schizophrenia"
"1974511000006113"	"Paranoid schizophrenia, complete remission"	"schizophrenia"
"1974541000006112"	"Paranoid schizophrenia, course uncertain, period of observation too short"	"schizophrenia"
"1974601000006111"	"Hebephrenic schizophrenia, continuous"	"schizophrenia"
"1974611000006114"	"Hebephrenic schizophrenia, episodic with progressive deficit"	"schizophrenia"
"1974621000006118"	"Hebephrenic schizophrenia, episodic with stable deficit"	"schizophrenia"
"1974641000006113"	"Hebephrenic schizophrenia, episodic remittent"	"schizophrenia"
"1974671000006117"	"Hebephrenic schizophrenia, incomplete remission"	"schizophrenia"
"1974691000006116"	"Hebephrenic schizophrenia, complete remission"	"schizophrenia"
"1974721000006114"	"Hebephrenic schizophrenia, course uncertain, period of observation too short"	"schizophrenia"
"1974751000006117"	"Catatonic schizophrenia, continuous"	"schizophrenia"
"1974781000006113"	"Catatonic schizophrenia, episodic with progressive deficit"	"schizophrenia"
"1974801000006112"	"Catatonic schizophrenia, episodic with stable deficit"	"schizophrenia"
"1974831000006116"	"Catatonic schizophrenia, episodic remittent"	"schizophrenia"
"1974861000006113"	"Catatonic schizophrenia, incomplete remission"	"schizophrenia"
"1974891000006117"	"Catatonic schizophrenia, complete remission"	"schizophrenia"
"1974921000006111"	"Catatonic schizophrenia, course uncertain, period of observation too short"	"schizophrenia"
"1974951000006119"	"Undifferentiated schizophrenia, continuous"	"schizophrenia"
"1975051000006119"	"Undifferentiated schizophrenia, incomplete remission"	"schizophrenia"
"1975191000006114"	"Post-schizophrenic depression, continuous"	"other psychosis"
"1975211000006110"	"Post-schizophrenic depression, episodic with progressive deficit"	"schizophrenia"
"1975231000006116"	"Post-schizophrenic depression, episodic with stable deficit"	"other psychosis"
"1975261000006113"	"Post-schizophrenic depression, episodic remittent"	"other psychosis"
"1975281000006115"	"Post-schizophrenic depression, incomplete remission"	"other psychosis"
"1975301000006116"	"Post-schizophrenic depression, complete remission"	"other psychosis"
"1975321000006114"	"Post-schizophrenic depression, course uncertain, period of observation too short"	"other psychosis"
"1975351000006117"	"Residual schizophrenia, continuous"	"schizophrenia"
"1975381000006113"	"Residual schizophrenia, episodic with progressive deficit"	"schizophrenia"
"1975401000006113"	"Residual schizophrenia, episodic with stable deficit"	"schizophrenia"
"1975431000006117"	"Residual schizophrenia, episodic remittent"	"schizophrenia"
"1975441000006110"	"Residual schizophrenia, incomplete remission"	"schizophrenia"
"1975471000006119"	"Residual schizophrenia, complete remission"	"schizophrenia"
"1975481000006116"	"Residual schizophrenia, course uncertain, period of observation too short"	"schizophrenia"
"1975491000006118"	"Simple schizophrenia, continuous"	"schizophrenia"
"1975501000006114"	"Simple schizophrenia, episodic with progressive deficit"	"schizophrenia"
"1975521000006116"	"Simple schizophrenia, episodic with stable deficit"	"schizophrenia"
"1975551000006113"	"Simple schizophrenia, episodic remittent"	"schizophrenia"
"1975571000006115"	"Simple schizophrenia, incomplete remission"	"schizophrenia"
"1975601000006110"	"Simple schizophrenia, complete remission"	"schizophrenia"
"1975621000006117"	"Acute polymorphic psychot disord without symp of schizoph, without associated acute stress"	"other psychosis"
"1975641000006112"	"Simple schizophrenia, course uncertain, period of observation too short"	"schizophrenia"
"1975671000006116"	"Acute polymorphic psychot disord without symp of schizoph, with associated acute stress"	"other psychosis"
"1975681000006118"	"Acute polymorphic psychot disord with symp of schizophren, without associated acute stress"	"other psychosis"
"1975691000006115"	"Acute polymorphic psychot disord with symp of schizophren, with associated acute stress"	"other psychosis"
"1975711000006117"	"Acute schizophrenia-like psychotic disorder, without associated acute stress"	"other psychosis"
"1975731000006111"	"Acute schizophrenia-like psychotic disorder, with associated acute stress"	"other psychosis"
"1975751000006116"	"Other schizophrenia, continuous"	"schizophrenia"
"1975761000006119"	"Other acute predominantly delusional psychotic disorders, without associated acute stress"	"other psychosis"
"1975771000006114"	"Other schizophrenia, episodic with progressive deficit"	"schizophrenia"
"1975781000006112"	"Other acute predominantly delusional psychotic disorders, with associated acute stress"	"other psychosis"
"1975801000006111"	"Other schizophrenia, episodic with stable deficit"	"schizophrenia"
"1975821000006118"	"Other acute and transient psychotic disorders, without associated acute stress"	"other psychosis"
"1975831000006115"	"Other schizophrenia, episodic remittent"	"schizophrenia"
"1975841000006113"	"Other schizophrenia, incomplete remission"	"schizophrenia"
"1975851000006110"	"Other acute and transient psychotic disorders, with associated acute stress"	"other psychosis"
"1975871000006117"	"Acute and transient psychotic disorder, unspecified, without associated acute stress"	"other psychosis"
"1975881000006119"	"Other schizophrenia, complete remission"	"schizophrenia"
"1975901000006117"	"Acute and transient psychotic disorder, unspecified, with associated acute stress"	"other psychosis"
"1975911000006119"	"Other schizophrenia, course uncertain, period of observation too short"	"schizophrenia"
"1975931000006113"	"Bipolar affect disorder cur epi mild or moderate depressn, without somatic syndrome"	"bipolar"
"1975941000006115"	"Bipolar affect disorder cur epi mild or moderate depressn, with somatic syndrome"	"bipolar"
"1976001000006113"	"Schizophrenia, unspecified, continuous"	"schizophrenia"
"1976061000006114"	"Schizophrenia, unspecified, episodic with progressive deficit"	"schizophrenia"
"1976101000006112"	"Schizophrenia, unspecified, episodic with stable deficit"	"schizophrenia"
"1976121000006119"	"Schizophrenia, unspecified, episodic remittent"	"schizophrenia"
"1976141000006114"	"Schizophrenia, unspecified, incomplete remission"	"schizophrenia"
"1976151000006111"	"Schizophrenia, unspecified, complete remission"	"schizophrenia"
"1976171000006118"	"Schizophrenia, unspecified, course uncertain, period of observation too short"	"schizophrenia"
"1976371000006116"	"Other single mood affective disorders, mixed affective episode"	"other psychosis"
"1976881000006112"	"Paranoid schizophrenia, other"	"schizophrenia"
"1976891000006110"	"Hebephrenic schizophrenia, other"	"schizophrenia"
"1976901000006114"	"Catatonic schizophrenia, other"	"schizophrenia"
"1976911000006112"	"Undifferentiated schizophrenia, other"	"schizophrenia"
"1976921000006116"	"Post-schizophrenic depression, other"	"other psychosis"
"1976931000006118"	"Residual schizophrenia, other"	"schizophrenia"
"1976941000006111"	"Simple schizophrenia, other"	"schizophrenia"
"1976951000006113"	"Other schizophrenia, other"	"schizophrenia"
"1976961000006110"	"Schizophrenia, unspecified, other"	"schizophrenia"
"2501991000006111"	"Paranoid reaction"	"other psychosis"
"2502001000006113"	"Persecutory delusion"	"other psychosis"
"2531671000006114"	"Delusional thoughts"	"other psychosis"
"2531681000006112"	"Delusional ideas"	"other psychosis"
"2586801000006115"	"Brief psychotic disorder"	"other psychosis"
"2632941000006110"	"Delusion of infidelity"	"other psychosis"
"2632951000006112"	"Delusional jealousy"	"other psychosis"
"2717981000006118"	"MDI - Manic-depressive illness"	"bipolar"
"2729641000006117"	"Severe bipolar I disorder, single manic episode without psychotic features"	"bipolar"
"2730051000000114"	"Mania with mood-congruent psychotic features"	"bipolar"
"2730071000000117"	"Mania with mood-incongruent psychotic features"	"bipolar"
"2730091000000118"	"Mania with psychotic features"	"bipolar"
"2730111000000111"	"Acute predominantly delusional psychotic disorder"	"other psychosis"
"2782051000006112"	"Bipolar I disorder, most recent episode manic with catatonic features"	"bipolar"
"2924901000006115"	"Severe bipolar disorder with psychotic features, mood-incongruent"	"bipolar"
"2960491000006119"	"Severe manic bipolar I disorder with psychotic features"	"bipolar"
"2960501000006110"	"Severe bipolar I disorder, most recent episode manic, with psychotic features"	"bipolar"
"2976051000006113"	"Chronic undifferentiated schizophrenia"	"schizophrenia"
"3000261000006112"	"Schizoptypal disorder"	"other psychosis"
"3005591000006114"	"Disorganised schizophrenia in remission"	"schizophrenia"
"3006671000006118"	"Bipolar I disorder, most recent episode hypomanic"	"bipolar"
"3036131000006117"	"Somatic delusion disorder"	"other psychosis"
"3036141000006110"	"Somatic delusion"	"other psychosis"
"3068121000006112"	"Disorganised schizophrenia"	"schizophrenia"
"3116711000006110"	"Involutional paraphrenia"	"other psychosis"
