"medcodeid"	"term"
"7788651000006116"	"moderately severe major depression"
"7788661000006119"	"moderately severe depression"
"7803701000006116"	"moderately severe recurrent major depression"
"7803711000006118"	"moderately severe major depression single episode"
"7803731000006112"	"minimal major depression single episode"
"7882721000006118"	"major depression with psychotic features"
"7965191000006118"	"severe recurrent major depression"
"8089301000006110"	"reactive depressive psychosis, single episode"
"8232571000006118"	"single major depressive episode, severe, with psychosis, psychosis in remission"
"8232591000006117"	"recurrent major depressive episodes, severe, with psychosis, psychosis in remission"
"8237831000006115"	"recurrent major depressive episodes, in partial remission"
"8237841000006113"	"recurrent major depressive episodes, in remission"
"8237851000006110"	"single major depressive episode, in remission"
"8465321000006112"	"reactive depression, prolonged single episode"
"8465361000006118"	"reactive depression, first episode"
"13974501000006115"	"depressive episode"
"13974511000006117"	"episode of depression"
"14452211000006113"	"treatment resistant depression"
"14452261000006111"	"persistent depressive disorder"
