"medcode"	"clinicalevents"	"immunisationevents"	"referralevents"	"testevents"	"term"	"databaserelease"
"25563"	2175	0	11	0	"recurrent major depressive episode nos"	"February 2009"
"28863"	242	0	4	0	"[x]single episode of reactive depressive psychosis"	"February 2009"
"29784"	3182	0	17	0	"[x]recurrent depressive disorder, current episode mild"	"February 2009"
"29527"	320	0	4	0	"[d]postoperative depression"	"February 2009"
"10015"	650297	0	18703	0	"depressed mood"	"February 2009"
"9055"	10631	0	146	0	"[x]single episode of depressive reaction"	"February 2009"
"7604"	8866	0	137	0	"[x]single episode of reactive depression"	"February 2009"
"18510"	709	0	25	0	"[x]single episode of psychogenic depression"	"February 2009"
"17770"	2864	0	87	0	"psychotic reactive depression"	"February 2009"
"56609"	152	0	1	0	"[x]single episode of masked depression nos"	"February 2009"
"10720"	510	0	6	0	"[x]atypical depression"	"February 2009"
"5987"	110303	0	2200	0	"[x] reactive depression nos"	"February 2009"
"28248"	649	0	21	0	"[x]prolonged single episode of reactive depression"	"February 2009"
"48970"	1850	0	0	0	"exception reporting: depression quality indicators"	"February 2009"
"3292"	60556	0	638	0	"[x]recurrent depressive disorder"	"February 2009"
"2970"	157051	0	2360	0	"[x]depressive episode, unspecified"	"February 2009"
"9667"	32644	0	615	0	"[x]severe depressive episode without psychotic symptoms"	"February 2009"
"6482"	73945	0	2324	0	"recurrent depression"	"February 2009"
"55384"	525	0	1	0	"recurrent major depressive episodes, in full remission"	"February 2009"
"19054"	346	0	1	0	"[x]recurrent brief depressive episodes"	"February 2009"
"22806"	3295	0	31	0	"[x]single episode major depression w'out psychotic symptoms"	"February 2009"
"73991"	30	0	0	0	"[x]vital depression, recurrent without psychotic symptoms"	"February 2009"
"11252"	466	0	17	0	"[x]major depression, recurrent without psychotic symptoms"	"February 2009"
"1908"	115177	0	6019	0	"o/e - depressed"	"February 2009"
"29520"	8791	0	87	0	"[x]recurrent depressive disorder, current episode moderate"	"February 2009"
"35274"	182	0	8	0	"[x]schizoaffective psychosis, depressive type"	"February 2009"
"16506"	11374	0	191	0	"single major depressive episode, mild"	"February 2009"
"57409"	173	0	2	0	"single major depressive episode, in full remission"	"February 2009"
"29342"	4755	0	26	0	"recurrent major depressive episodes, mild"	"February 2009"
"98417"	707	0	5	0	"[x]major depression, severe with psychotic symptoms"	"January 2010"
"6854"	3949	0	45	0	"[x]other depressive episodes"	"February 2009"
"9211"	121000	0	2357	0	"[x]moderate depressive episode"	"February 2009"
"24112"	1042	0	12	0	"[x]single episode of psychotic depression"	"February 2009"
"1533"	4966	0	392	0	"brief depressive reaction"	"February 2009"
"10455"	4991	0	198	0	"depressive personality disorder"	"February 2009"
"11329"	1297	0	20	0	"[x]endogenous depression without psychotic symptoms"	"February 2009"
"41989"	194	0	2	0	"[x]single episode agitated depressn w'out psychotic symptoms"	"February 2009"
"59386"	80	0	4	0	"[x]single episode vital depression w'out psychotic symptoms"	"February 2009"
"28970"	65589	0	2	0	"excepted from depression quality indicators: patient unsuita"	"February 2009"
