"medcode"	"term"	"group"	"database"
"294809010"	"Manic disorder, single episode NOS"	"bipolar"	"Aurum"
"294810017"	"Recurrent manic episodes"	"bipolar"	"Aurum"
"294811018"	"Recurrent manic episodes, unspecified"	"bipolar"	"Aurum"
"294812013"	"Recurrent manic episodes, mild"	"bipolar"	"Aurum"
"294813015"	"Recurrent manic episodes, moderate"	"bipolar"	"Aurum"
"294815010"	"Recurrent manic episodes, severe, with psychosis"	"bipolar"	"Aurum"
"294817019"	"Recurrent manic episodes, in full remission"	"bipolar"	"Aurum"
"294818012"	"Recurrent manic episode NOS"	"bipolar"	"Aurum"
"294847017"	"Manic-depressive - now manic"	"bipolar"	"Aurum"
"294848010"	"Bipolar affective disorder, currently manic, unspecified"	"bipolar"	"Aurum"
"294849019"	"Bipolar affective disorder, currently manic, mild"	"bipolar"	"Aurum"
"294850019"	"Bipolar affective disorder, currently manic, moderate"	"bipolar"	"Aurum"
"294858014"	"Bipolar affective disorder, currently manic, NOS"	"bipolar"	"Aurum"
"294860011"	"Manic-depressive - now depressed"	"bipolar"	"Aurum"
"294861010"	"Bipolar affective disorder, currently depressed, unspecified"	"bipolar"	"Aurum"
"294862015"	"Bipolar affective disorder, currently depressed, mild"	"bipolar"	"Aurum"
"294863013"	"Bipolar affective disorder, currently depressed, moderate"	"bipolar"	"Aurum"
"294868016"	"Bipolar affective disorder, currently depressed, NOS"	"bipolar"	"Aurum"
"294869012"	"Mixed bipolar affective disorder"	"bipolar"	"Aurum"
"294870013"	"Mixed bipolar affective disorder, unspecified"	"bipolar"	"Aurum"
"294871012"	"Mixed bipolar affective disorder, mild"	"bipolar"	"Aurum"
"294872017"	"Mixed bipolar affective disorder, moderate"	"bipolar"	"Aurum"
"294874016"	"Mixed bipolar affective disorder, severe, with psychosis"	"bipolar"	"Aurum"
"294876019"	"Mixed bipolar affective disorder, in full remission"	"bipolar"	"Aurum"
"294877011"	"Mixed bipolar affective disorder, NOS"	"bipolar"	"Aurum"
"294880012"	"Unspecified bipolar affective disorder"	"bipolar"	"Aurum"
"294881011"	"Unspecified bipolar affective disorder, unspecified"	"bipolar"	"Aurum"
"294882016"	"Mild bipolar disorder"	"bipolar"	"Aurum"
"294883014"	"Moderate bipolar disorder"	"bipolar"	"Aurum"
"294887010"	"Bipolar disorder in full remission"	"bipolar"	"Aurum"
"294888017"	"Unspecified bipolar affective disorder, NOS"	"bipolar"	"Aurum"
"294891017"	"Other and unspecified manic-depressive psychoses"	"bipolar"	"Aurum"
"294892012"	"Unspecified manic-depressive psychoses"	"bipolar"	"Aurum"
"294893019"	"Atypical manic disorder"	"bipolar"	"Aurum"
"294895014"	"Mixed bipolar I disorder"	"bipolar"	"Aurum"
"294896010"	"Other and unspecified manic-depressive psychoses NOS"	"bipolar"	"Aurum"
"294897018"	"Affective psychosis"	"other psychosis"	"Aurum"
"294898011"	"Unspecified affective psychoses NOS"	"other psychosis"	"Aurum"
"294902017"	"Other affective psychosis NOS"	"other psychosis"	"Aurum"
"294904016"	"Simple paranoid state"	"other psychosis"	"Aurum"
"294908018"	"Folie a deux"	"other psychosis"	"Aurum"
"294909014"	"Shared paranoid disorder"	"other psychosis"	"Aurum"
"294910016"	"Other paranoid states"	"other psychosis"	"Aurum"
"294911017"	"Paranoia querulans"	"other psychosis"	"Aurum"
"294912012"	"Other paranoid states NOS"	"other psychosis"	"Aurum"
"294913019"	"Paranoid psychosis"	"other psychosis"	"Aurum"
"294924017"	"Psychogenic paranoid psychosis"	"other psychosis"	"Aurum"
"294926015"	"Other reactive psychoses"	"other psychosis"	"Aurum"
"294927012"	"Psychogenic stupor"	"other psychosis"	"Aurum"
"294929010"	"Other reactive psychoses NOS"	"other psychosis"	"Aurum"
"294949018"	"Other specified non-organic psychoses"	"other psychosis"	"Aurum"
"296022017"	"[X]Schizophrenia, schizotypal and delusional disorders"	"other psychosis"	"Aurum"
"296031017"	"Undifferentiated schizophrenia"	"schizophrenia"	"Aurum"
"296040018"	"[X]Schizophrenia, unspecified"	"schizophrenia"	"Aurum"
"296066015"	"[X]Persistent delusional disorder, unspecified"	"other psychosis"	"Aurum"
"296083012"	"[X]Other acute and transient psychotic disorders"	"other psychosis"	"Aurum"
"296095012"	"[X]Other schizoaffective disorders"	"other psychosis"	"Aurum"
"296096013"	"[X]Schizoaffective disorder, unspecified"	"other psychosis"	"Aurum"
"296110017"	"Mania"	"bipolar"	"Aurum"
"296118012"	"[X]Other manic episodes"	"bipolar"	"Aurum"
"296130018"	"Bipolar disorder in remission"	"bipolar"	"Aurum"
"296135011"	"[X]Bipolar affective disorder, unspecified"	"bipolar"	"Aurum"
"346895011"	"Psychotic disorder"	"other psychosis"	"Aurum"
"346896012"	"Reactive psychoses"	"other psychosis"	"Aurum"
"369805011"	"Grandiose delusions"	"other psychosis"	"Aurum"
"401763015"	"Acute schizophrenic episode"	"schizophrenia"	"Aurum"
"401764014"	"Other schizophrenia"	"schizophrenia"	"Aurum"
"401765010"	"Manic disorder, single episode"	"bipolar"	"Aurum"
"401768012"	"Chronic paranoid psychosis"	"other psychosis"	"Aurum"
"401770015"	"Acute paranoid reaction"	"other psychosis"	"Aurum"
"401771016"	"Non-organic psychosis NOS"	"other psychosis"	"Aurum"
"401855010"	"[X]Other schizophrenia"	"schizophrenia"	"Aurum"
"401856011"	"Schizotypal personality disorder"	"other psychosis"	"Aurum"
"401857019"	"[X]Other persistent delusional disorders"	"other psychosis"	"Aurum"
"401859016"	"[X]Other acute predominantly delusional psychotic disorders"	"other psychosis"	"Aurum"
"401860014"	"[X]Acute and transient psychotic disorder, unspecified"	"other psychosis"	"Aurum"
"401862018"	"[X]Unspecified nonorganic psychosis"	"other psychosis"	"Aurum"
"401863011"	"[X]Mania with psychotic symptoms"	"bipolar"	"Aurum"
"401864017"	"[X]Manic episode, unspecified"	"bipolar"	"Aurum"
"401865016"	"[X]Other bipolar affective disorders"	"bipolar"	"Aurum"
"402504012"	"Psychotic condition, insight present"	"other psychosis"	"Aurum"
"460273017"	"[V]Personal history of schizophrenia"	"schizophrenia"	"Aurum"
"480834016"	"Delusions"	"other psychosis"	"Aurum"
"492910018"	"Ideas of reference"	"other psychosis"	"Aurum"
"1219653018"	"Atypical schizophrenia"	"schizophrenia"	"Aurum"
"1227584015"	"[V]Personal history of manic-depressive psychosis"	"bipolar"	"Aurum"
"1234861017"	"Chronic schizophrenic"	"schizophrenia"	"Aurum"
"1780205015"	"H/O: manic depressive disorder"	"bipolar"	"Aurum"
"2157096015"	"Manic mood"	"bipolar"	"Aurum"
"2532965018"	"Erotomania"	"other psychosis"	"Aurum"
"2548181016"	"Paranoid ideation"	"other psychosis"	"Aurum"
"2549129012"	"O/E - paranoid delusions"	"other psychosis"	"Aurum"
"2549426013"	"O/E - delusion of persecution"	"other psychosis"	"Aurum"
"25461000006115"	"Other nonorganic psychoses"	"other psychosis"	"Aurum"
"78531000006116"	"Unspecified schizo-affective schizophrenia"	"other psychosis"	"Aurum"
"82091000006116"	"Bipolar disorder in partial remission"	"bipolar"	"Aurum"
"82151000006114"	"Severe bipolar disorder without psychotic features"	"bipolar"	"Aurum"
"82171000006116"	"Severe bipolar disorder with psychotic features"	"bipolar"	"Aurum"
"123611000006110"	"Subchronic schizo-affective schizophrenia"	"other psychosis"	"Aurum"
"155141000006116"	"Schizoaffective schizophrenia"	"other psychosis"	"Aurum"
"155151000006119"	"Schizoaffective schizophrenia in remission"	"other psychosis"	"Aurum"
"155161000006117"	"Schizo-affective schizophrenia NOS"	"other psychosis"	"Aurum"
"155281000006119"	"Schizotypal personality"	"other psychosis"	"Aurum"
"161371000006118"	"Sander's disease"	"other psychosis"	"Aurum"
"169061000006112"	"Restzustand - schizophrenia"	"schizophrenia"	"Aurum"
"182861000006110"	"Recurrent manic episodes, in partial remission"	"bipolar"	"Aurum"
"182871000006115"	"Recurrent manic episodes, severe"	"bipolar"	"Aurum"
"215691000006112"	"Poor insight into psychotic condition"	"other psychosis"	"Aurum"
"215841000000114"	"Delusional disorder"	"other psychosis"	"Aurum"
"215851000000112"	"[X]Paranoid psychosis"	"other psychosis"	"Aurum"
"215871000000115"	"[X]Paranoia"	"other psychosis"	"Aurum"
"223601000000119"	"Manic psychosis"	"bipolar"	"Aurum"
"223611000000117"	"Non-organic psychosis"	"other psychosis"	"Aurum"
"243361000006117"	"Paranoid disorder"	"other psychosis"	"Aurum"
"300411000000110"	"H/O: psychosis"	"other psychosis"	"Aurum"
"362271000006110"	"Acute transient psychotic disorder"	"other psychosis"	"Aurum"
"362381000006115"	"Acute polymorphic psychotic disorder co-occurrent with symptoms of schizophrenia"	"other psychosis"	"Aurum"
"362391000006117"	"Acute polymorphic psychotic disorder without symptoms of schizophrenia"	"other psychosis"	"Aurum"
"362421000006113"	"Acute schizophrenia-like psychotic disorder"	"other psychosis"	"Aurum"
"362781000006116"	"[X]Affective psychosis NOS"	"other psychosis"	"Aurum"
"366571000006114"	"[X]Atypical schizophrenia"	"schizophrenia"	"Aurum"
"367051000006112"	"Severe depressed bipolar I disorder without psychotic features"	"bipolar"	"Aurum"
"367061000006114"	"Psychosis and severe depression co-occurrent and due to bipolar affective disorder"	"bipolar"	"Aurum"
"367071000006119"	"Bipolar affective disorder, currently manic, severe, with psychosis"	"bipolar"	"Aurum"
"367081000006116"	"[X]Bipolar affect disorder cur epi manic wout psychotic symp"	"bipolar"	"Aurum"
"367091000006118"	"[X]Bipolar affect disorder cur epi mild or moderate depressn"	"bipolar"	"Aurum"
"367101000006112"	"Bipolar affective disorder"	"bipolar"	"Aurum"
"367111000006110"	"Bipolar affective disorder, current episode hypomanic"	"bipolar"	"Aurum"
"367121000006119"	"[X]Bipolar affective disorder, current episode mixed"	"bipolar"	"Aurum"
"367151000006111"	"[X]Bipolar disorder, single manic episode"	"bipolar"	"Aurum"
"367161000006113"	"[X]Bipolar II disorder"	"bipolar"	"Aurum"
"367951000006113"	"Borderline schizophrenia"	"other psychosis"	"Aurum"
"367961000006110"	"[X]Bouffee delirante"	"other psychosis"	"Aurum"
"367971000006115"	"[X]Bouffee delirante with symptoms of schizophrenia"	"other psychosis"	"Aurum"
"367991000006119"	"[X]Brief reactive psychosis NOS"	"other psychosis"	"Aurum"
"368001000006112"	"[X]Brief schizophreniform disorder"	"other psychosis"	"Aurum"
"368011000006110"	"[X]Brief schizophrenifrm psych"	"other psychosis"	"Aurum"
"370451000006110"	"[X]Catatonic schizophrenia"	"schizophrenia"	"Aurum"
"370461000006112"	"[X]Catatonic stupor"	"schizophrenia"	"Aurum"
"370631000006117"	"[X]Cenesthopathic schizophrenia"	"schizophrenia"	"Aurum"
"370981000006112"	"[X]Chronic hallucinatory psychosis"	"other psychosis"	"Aurum"
"371031000006115"	"[X]Chronic undifferentiated schizophrenia"	"schizophrenia"	"Aurum"
"376251000006112"	"[X]Cyclic schizophrenia"	"schizophrenia"	"Aurum"
"376271000006119"	"[X]Cycloid psychosis"	"other psychosis"	"Aurum"
"376281000006116"	"Cycloid psychosis"	"other psychosis"	"Aurum"
"376501000006110"	"[X]Delusional dysmorphophobia"	"other psychosis"	"Aurum"
"378051000006119"	"[X]Disorganised schizophrenia"	"schizophrenia"	"Aurum"
"387071000006117"	"[X]Folie a deux"	"other psychosis"	"Aurum"
"388741000006110"	"[X]Hebephrenic schizophrenia"	"schizophrenia"	"Aurum"
"389401000006111"	"Hypomania"	"bipolar"	"Aurum"
"389641000006110"	"Induced delusional disorder"	"other psychosis"	"Aurum"
"389651000006112"	"[X]Induced paranoid disorder"	"other psychosis"	"Aurum"
"389661000006114"	"[X]Induced psychotic disorder"	"other psychosis"	"Aurum"
"394461000006110"	"[X]Involutional paranoid state"	"other psychosis"	"Aurum"
"395021000006111"	"[X]Latent schizophrenia"	"other psychosis"	"Aurum"
"395031000006114"	"[X]Latent schizophrenic reaction"	"other psychosis"	"Aurum"
"396071000006119"	"[X]Manic-depressive reaction"	"bipolar"	"Aurum"
"396691000006111"	"[X]Mania NOS"	"bipolar"	"Aurum"
"396701000006111"	"[X]Mania with mood-congruent psychotic symptoms"	"bipolar"	"Aurum"
"396711000006114"	"[X]Mania with mood-incongruent psychotic symptoms"	"bipolar"	"Aurum"
"396741000006113"	"[X]Manic episode"	"bipolar"	"Aurum"
"396761000006112"	"[X]Manic stupor"	"bipolar"	"Aurum"
"396771000006117"	"[X] Manic-depressive psychosis, depressed type without psychotic symptoms"	"bipolar"	"Aurum"
"396781000006119"	"[X]Manic-depress psychosis,depressed type+psychotic symptoms"	"bipolar"	"Aurum"
"396791000006116"	"Manic-depressive illness"	"bipolar"	"Aurum"
"396801000006115"	"Manic-depressive psychosis"	"bipolar"	"Aurum"
"398541000006116"	"Bipolar affective disorder , current episode mixed"	"bipolar"	"Aurum"
"398631000006113"	"Mixed schizophrenic and affective pschosis"	"other psychosis"	"Aurum"
"403611000006116"	"[X]Oneirophrenia"	"other psychosis"	"Aurum"
"412201000006113"	"[X]Other nonorganic psychotic disorders"	"other psychosis"	"Aurum"
"418181000006110"	"[X]Paranoia querulans"	"other psychosis"	"Aurum"
"418221000006118"	"[X]Paranoid schizophrenia"	"schizophrenia"	"Aurum"
"418231000006115"	"[X]Paranoid state"	"other psychosis"	"Aurum"
"418251000006110"	"Late paraphrenia"	"other psychosis"	"Aurum"
"418261000006112"	"[X]Paraphrenic schizophrenia"	"schizophrenia"	"Aurum"
"419861000006117"	"Persistent delusional disorder"	"other psychosis"	"Aurum"
"423041000006119"	"[X]Post-schizophrenic depression"	"schizophrenia"	"Aurum"
"423271000006116"	"Prepsychotic schizophrenia"	"other psychosis"	"Aurum"
"423471000006117"	"Prodromal schizophrenia"	"other psychosis"	"Aurum"
"423731000006114"	"[X]Pseudoneurotic schizophrenia"	"other psychosis"	"Aurum"
"423741000006116"	"[X]Pseudopsychopathic schizophrenia"	"other psychosis"	"Aurum"
"424071000006112"	"[X]Psychogenic paranoid psychosis"	"other psychosis"	"Aurum"
"424231000006116"	"Psychotic"	"other psychosis"	"Aurum"
"424511000006112"	"[X]Reactive psychosis"	"other psychosis"	"Aurum"
"424661000006111"	"[X]Recurrent manic episodes"	"bipolar"	"Aurum"
"424841000006113"	"[X]Residual schizophrenia"	"schizophrenia"	"Aurum"
"424931000006113"	"[X]Restzustand schizophrenic"	"schizophrenia"	"Aurum"
"425501000006113"	"Schizoaffective disorder, depressive type"	"other psychosis"	"Aurum"
"425511000006111"	"Schizoaffective disorder, manic type"	"other psychosis"	"Aurum"
"425521000006115"	"Schizoaffective disorder, mixed type"	"other psychosis"	"Aurum"
"425541000006110"	"Schizoaffective disorder"	"other psychosis"	"Aurum"
"425551000006112"	"[X]Schizoaffective psychosis NOS"	"other psychosis"	"Aurum"
"425561000006114"	"[X]Schizoaffective psychosis, depressive type"	"other psychosis"	"Aurum"
"425571000006119"	"[X]Schizoaffective psychosis, manic type"	"other psychosis"	"Aurum"
"425601000006114"	"[X]Schizophrenia"	"schizophrenia"	"Aurum"
"425641000006111"	"[X]Schizophrenic catalepsy"	"schizophrenia"	"Aurum"
"425651000006113"	"[X]Schizophrenic catatonia"	"schizophrenia"	"Aurum"
"425671000006115"	"[X]Schizophrenic reaction"	"other psychosis"	"Aurum"
"425681000006117"	"[X]Schizophreniform disord NOS"	"schizophrenia"	"Aurum"
"425691000006119"	"[X]Schizophreniform psychosis, depressive type"	"other psychosis"	"Aurum"
"425701000006119"	"[X]Schizophreniform psychosis, manic type"	"other psychosis"	"Aurum"
"425711000006116"	"[X]Schizophrenifrm psychos NOS"	"schizophrenia"	"Aurum"
"425731000006110"	"[X]Schizotypal personality disorder"	"other psychosis"	"Aurum"
"425921000006114"	"[X]Sensitiver Beziehungswahn"	"other psychosis"	"Aurum"
"426881000006111"	"[X]Simple schizophrenia"	"schizophrenia"	"Aurum"
"428451000006119"	"Psychotic symptom present"	"other psychosis"	"Aurum"
"456731000006115"	"Acute exacerbation of chronic schizo-affective schizophrenia"	"other psychosis"	"Aurum"
"456801000006115"	"Acute exacerbation subchronic schizo-affective schizophrenia"	"other psychosis"	"Aurum"
"492761000000114"	"Bipolar affective disorder resolved"	"bipolar"	"Aurum"
"492821000000113"	"Schizophrenia resolved"	"schizophrenia"	"Aurum"
"492881000000114"	"Psychosis resolved"	"other psychosis"	"Aurum"
"513691000006116"	"Severe manic bipolar I disorder without psychotic features"	"bipolar"	"Aurum"
"513701000006116"	"Bipolar affect disord, currently manic,severe with psychosis"	"bipolar"	"Aurum"
"513711000006118"	"Depressed bipolar I disorder in partial remission"	"bipolar"	"Aurum"
"513721000006114"	"Bipolar affect disord, now depressed, severe with psychosis"	"bipolar"	"Aurum"
"513731000006112"	"Bipolar affect disord, now depressed, severe, no psychosis"	"bipolar"	"Aurum"
"513741000006119"	"Manic bipolar I disorder in partial remission"	"bipolar"	"Aurum"
"513751000006117"	"Bipolar affective disorder, current episode depression"	"bipolar"	"Aurum"
"513801000006112"	"Bipolar affective disorder, current episode manic"	"bipolar"	"Aurum"
"513811000006110"	"Bipolar affective disorder, currently manic, in full remission"	"bipolar"	"Aurum"
"513861000006113"	"Bipolar affective disorder, currently depressed, in full remission"	"bipolar"	"Aurum"
"513871000006118"	"Bipolar disorder"	"bipolar"	"Aurum"
"523481000006114"	"Bouffee delirante"	"other psychosis"	"Aurum"
"556631000006116"	"Chronic schizoaffective schizophrenia"	"other psychosis"	"Aurum"
"701051000006118"	"Mixed bipolar affective disorder, partial/unspec remission"	"bipolar"	"Aurum"
"701071000006111"	"Mixed bipolar affective disorder, severe"	"bipolar"	"Aurum"
"789221000006116"	"Hypomanic psychoses"	"bipolar"	"Aurum"
"819351000006115"	"Hebephrenic schizophrenia"	"schizophrenia"	"Aurum"
"851691000006114"	"Hypomanic"	"bipolar"	"Aurum"
"851701000006114"	"Paranoid"	"other psychosis"	"Aurum"
"853201000006116"	"Obsessional compulsive psychosis"	"other psychosis"	"Aurum"
"882281000006113"	"Schizophrenic psychoses NOS"	"schizophrenia"	"Aurum"
"882291000006111"	"Schizophrenic psychoses"	"schizophrenia"	"Aurum"
"882301000006112"	"Acute schizo affective psychosis"	"other psychosis"	"Aurum"
"882311000006110"	"Manic-depressive psychoses"	"bipolar"	"Aurum"
"882321000006119"	"Mania/hypomania"	"bipolar"	"Aurum"
"882331000006116"	"Paranoia"	"other psychosis"	"Aurum"
"914461000006118"	"[X]Capgras syndrome"	"other psychosis"	"Aurum"
"914471000006113"	"[X]Delusional misidentification syndrome"	"other psychosis"	"Aurum"
"981141000006111"	"Delusions"	"other psychosis"	"Aurum"
"996171000006114"	"Psychosis, schizophrenia and bipolar affective disorder resolved"	"other psychosis"	"Aurum"
"1667581000000114"	"[X]Paranoid state in remission"	"other psychosis"	"Aurum"
"1667591000000111"	"[X]Nonorganic psychosis in remission"	"other psychosis"	"Aurum"
"1785851000006110"	"Bipolar I disorder"	"bipolar"	"Aurum"
"1785861000006112"	"Bipolar II disorder"	"bipolar"	"Aurum"
"1785871000006117"	"[X]Bipolar II disorder"	"bipolar"	"Aurum"
"1807561000006117"	"Psychotic symptom"	"other psychosis"	"Aurum"
"1821481000006114"	"Possible early psychosis"	"other psychosis"	"Aurum"
"1821491000006112"	"Possible psychosis prodrome"	"other psychosis"	"Aurum"
"1974351000006118"	"Paranoid schizophrenia, continuous"	"schizophrenia"	"Aurum"
"1974391000006112"	"Paranoid schizophrenia, episodic with progressive deficit"	"schizophrenia"	"Aurum"
"1974431000006118"	"Paranoid schizophrenia, episodic with stable deficit"	"schizophrenia"	"Aurum"
"1974451000006113"	"Paranoid schizophrenia, episodic remittent"	"schizophrenia"	"Aurum"
"1974481000006117"	"Paranoid schizophrenia, incomplete remission"	"schizophrenia"	"Aurum"
"1974511000006113"	"Paranoid schizophrenia, complete remission"	"schizophrenia"	"Aurum"
"1974541000006112"	"Paranoid schizophrenia, course uncertain, period of observation too short"	"schizophrenia"	"Aurum"
"1974601000006111"	"Hebephrenic schizophrenia, continuous"	"schizophrenia"	"Aurum"
"1974611000006114"	"Hebephrenic schizophrenia, episodic with progressive deficit"	"schizophrenia"	"Aurum"
"1974621000006118"	"Hebephrenic schizophrenia, episodic with stable deficit"	"schizophrenia"	"Aurum"
"1974641000006113"	"Hebephrenic schizophrenia, episodic remittent"	"schizophrenia"	"Aurum"
"1974671000006117"	"Hebephrenic schizophrenia, incomplete remission"	"schizophrenia"	"Aurum"
"1974691000006116"	"Hebephrenic schizophrenia, complete remission"	"schizophrenia"	"Aurum"
"1974721000006114"	"Hebephrenic schizophrenia, course uncertain, period of observation too short"	"schizophrenia"	"Aurum"
"1974751000006117"	"Catatonic schizophrenia, continuous"	"schizophrenia"	"Aurum"
"1974781000006113"	"Catatonic schizophrenia, episodic with progressive deficit"	"schizophrenia"	"Aurum"
"1974801000006112"	"Catatonic schizophrenia, episodic with stable deficit"	"schizophrenia"	"Aurum"
"1974831000006116"	"Catatonic schizophrenia, episodic remittent"	"schizophrenia"	"Aurum"
"1974861000006113"	"Catatonic schizophrenia, incomplete remission"	"schizophrenia"	"Aurum"
"1974891000006117"	"Catatonic schizophrenia, complete remission"	"schizophrenia"	"Aurum"
"1974921000006111"	"Catatonic schizophrenia, course uncertain, period of observation too short"	"schizophrenia"	"Aurum"
"1974951000006119"	"Undifferentiated schizophrenia, continuous"	"schizophrenia"	"Aurum"
"1975051000006119"	"Undifferentiated schizophrenia, incomplete remission"	"schizophrenia"	"Aurum"
"1975191000006114"	"Post-schizophrenic depression, continuous"	"other psychosis"	"Aurum"
"1975211000006110"	"Post-schizophrenic depression, episodic with progressive deficit"	"schizophrenia"	"Aurum"
"1975231000006116"	"Post-schizophrenic depression, episodic with stable deficit"	"other psychosis"	"Aurum"
"1975261000006113"	"Post-schizophrenic depression, episodic remittent"	"other psychosis"	"Aurum"
"1975281000006115"	"Post-schizophrenic depression, incomplete remission"	"other psychosis"	"Aurum"
"1975301000006116"	"Post-schizophrenic depression, complete remission"	"other psychosis"	"Aurum"
"1975321000006114"	"Post-schizophrenic depression, course uncertain, period of observation too short"	"other psychosis"	"Aurum"
"1975351000006117"	"Residual schizophrenia, continuous"	"schizophrenia"	"Aurum"
"1975381000006113"	"Residual schizophrenia, episodic with progressive deficit"	"schizophrenia"	"Aurum"
"1975401000006113"	"Residual schizophrenia, episodic with stable deficit"	"schizophrenia"	"Aurum"
"1975431000006117"	"Residual schizophrenia, episodic remittent"	"schizophrenia"	"Aurum"
"1975441000006110"	"Residual schizophrenia, incomplete remission"	"schizophrenia"	"Aurum"
"1975471000006119"	"Residual schizophrenia, complete remission"	"schizophrenia"	"Aurum"
"1975481000006116"	"Residual schizophrenia, course uncertain, period of observation too short"	"schizophrenia"	"Aurum"
"1975491000006118"	"Simple schizophrenia, continuous"	"schizophrenia"	"Aurum"
"1975501000006114"	"Simple schizophrenia, episodic with progressive deficit"	"schizophrenia"	"Aurum"
"1975521000006116"	"Simple schizophrenia, episodic with stable deficit"	"schizophrenia"	"Aurum"
"1975551000006113"	"Simple schizophrenia, episodic remittent"	"schizophrenia"	"Aurum"
