"medcodeid"	"readterm"
"5782061000006112"	"Pericyazine adverse reaction"
"5782111000006113"	"Fluphenazine adverse reaction"
"5782131000006119"	"Chlorpromazine adverse reaction"
"5782171000006116"	"Promazine adverse reaction"
"5782191000006115"	"Thioridazine adverse reaction"
"5782211000006119"	"Perphenazine adverse reaction"
"5782231000006113"	"Prochlorperazine adverse reaction"
"5788501000006117"	"Piperazine adverse reaction"
"5801341000006115"	"Clozapine allergy"
"5801351000006118"	"Risperidone allergy"
"5801421000006116"	"Haloperidol allergy"
"5801601000006111"	"Prochlorperazine allergy"
"5825921000006117"	"Clozapine overdose"
"5825951000006114"	"Clozapine overdose of undetermined intent"
"5825961000006111"	"Risperidone overdose"
"5825971000006116"	"Accidental risperidone overdose"
"5826141000006118"	"Haloperidol overdose"
"5826151000006116"	"Accidental haloperidol overdose"
"5826581000006118"	"Chlorpromazine overdose"
"5826601000006111"	"Intentional chlorpromazine overdose"
"5826721000006114"	"Intentional promazine overdose"
"6372431000006116"	"Prochlorperazine"
"6462971000006110"	"Quetiapine"
"6473661000006110"	"Clozapine"
"6763071000006110"	"Antipsychotic drug therapy"
"6763681000006116"	"Clozapine monitoring"
"7241051000006118"	"Injection of depot antipsychotic agent"
"7849711000006114"	"Clozapine therapy"
"8331071000006111"	"GASS - Glasgow Antipsychotic Side-effect Scale"
"8331111000006115"	"GASS (Glasgow Antipsychotic Side-effect Scale) score"
"11931271000006118"	"Glasgow Antipsychotic Side-effect Scale"
"11997391000006114"	"Adverse reaction to Cariprazine"
"12234781000006110"	"Quetiapine (as quetiapine fumarate) 200 mg oral tablet"
"13487591000006110"	"Adverse reaction to Haloperidol (Special Order)"
"13939131000006115"	"Clozapine monitoring"
