"medcode"	"term"
"16491"	"diabetes mellitus with polyneuropathy"
"16502"	"diabetes mellitus with renal manifestation"
"16881"	"[v]dietary counselling in diabetes mellitus"
"17067"	"autonomic neuropathy due to diabetes"
"17095"	"o/e - right diabetic foot at risk"
"17247"	"diabetic mononeuritis nos"
"17262"	"non-insulin-dependent diabetes mellitus with retinopathy"
"17313"	"diabetic iritis"
"17545"	"type i diabetes mellitus with diabetic cataract"
"17858"	"type 1 diabetes mellitus"
"17859"	"type 2 diabetes mellitus"
"17869"	"diabetic-uncooperative patient"
"17886"	"diabetic - follow-up default"
"18056"	"foot abnormality - diabetes related"
"18066"	"diabetic leaflet given"
"18142"	"diabetic cheiroarthropathy"
"18143"	"type ii diabetes mellitus with arthropathy"
"18167"	"annual diabetic blood test"
"18209"	"type 2 diabetes mellitus with renal complications"
"18219"	"type ii diabetes mellitus"
"18230"	"type 1 diabetes mellitus with neuropathic arthropathy"
"18264"	"insulin treated type ii diabetes mellitus"
"18278"	"insulin treated type 2 diabetes mellitus"
"18387"	"type 1 diabetes mellitus with retinopathy"
"18390"	"type 2 diabetes mellitus with persistent microalbuminuria"
"18425"	"type 2 diabetes mellitus with polyneuropathy"
"18496"	"type 2 diabetes mellitus with retinopathy"
"18642"	"type 1 diabetes mellitus with arthropathy"
"18662"	"diabetic retinopathy 6 month review"
"18683"	"type 1 diabetes mellitus with ulcer"
"18777"	"type 2 diabetes mellitus with renal complications"
"18824"	"diabetic foot examination declined"
"19381"	"referral to diabetic eye clinic"
"20696"	"injection sites - diabetic"
"20900"	"diabetes monitored"
"21482"	"diabetes mellitus with hyperosmolar coma"
"21689"	"diabetic lipid lowering diet"
"21983"	"type 1 diabetes mellitus with renal complications"
"22023"	"diabetic - poor control nos"
"22130"	"diabetes monitoring default"
"22487"	"secondary diabetes mellitus"
"22573"	"diabetes mellitus nos with neurological manifestation"
"22823"	"diabetic foot examination"
"22871"	"type 1 diabetes mellitus with exudative maculopathy"
"22884"	"type ii diabetes mellitus"
"22967"	"retinal abnormality - diabetes related"
"23479"	"bronzed diabetes"
"24327"	"ischaemic ulcer diabetic foot"
"24363"	"diabetic stabilisation"
"24423"	"type i diabetes mellitus"
"24458"	"type ii diabetes mellitus - poor control"
"24490"	"diabetes mellitus, juvenile type, no mention of complication"
"24571"	"asymptomatic diabetic neuropathy"
"24693"	"non-insulin dependent diabetes mellitus with arthropathy"
"24694"	"insulin dependent diabetes mellitus with mononeuropathy"
"24836"	"type 2 diabetes mellitus with nephropathy"
"25041"	"dietary advice for type ii diabetes"
"25591"	"type 2 diabetes mellitus with exudative maculopathy"
"25627"	"type 2 diabetes mellitus - poor control"
"25636"	"diabetic diet - poor compliance"
"26054"	"type 2 diabetes mellitus with persistent proteinuria"
"26603"	"refuses diabetes monitoring"
"26604"	"diabetic diet - good compliance"
"26605"	"attended diabetes structured education programme"
"26664"	"o/e - left diabetic foot at risk"
"26666"	"o/e - right diabetic foot at low risk"
"26667"	"o/e - left diabetic foot at low risk"
"26855"	"unstable insulin dependent diabetes mellitus"
"27891"	"diabetic charcot arthropathy"
"27921"	"foot abnormality - diabetes related"
"28574"	"exception reporting: diabetes quality indicators"
"28769"	"diabetic on insulin and oral treatment"
"28856"	"transition of diabetes care options discussed"
"28873"	"diabetic 6 month review"
"29041"	"date diabetic treatment start"
"29979"	"non-insulin-dependent diabetes mellitus without complication"
"30294"	"type 1 diabetes mellitus with persistent microalbuminuria"
"30323"	"type 1 diabetes mellitus with persistent proteinuria"
"30648"	"did not attend diabetic retinopathy clinic"
"31053"	"[d]widespread diabetic foot gangrene"
"31141"	"diabetes monitor.phone invite"
"31156"	"o/e - left diabetic foot at moderate risk"
"31157"	"o/e - right diabetic foot at moderate risk"
"31240"	"diabetes monitor.verbal invite"
"31241"	"diabetes monitoring admin.nos"
"31310"	"insulin dependent diabetes maturity onset"
"31790"	"polyneuropathy in diabetes"
"32359"	"perceived control of insulin-dependent diabetes"
"32403"	"diabetes mellitus with gangrene"
"32556"	"diabetes with gangrene"
"32619"	"patient diabetes education review"
"32627"	"type 2 diabetes mellitus with ketoacidosis"
"32739"	"seen in community diabetes specialist clinic"
"32770"	"glucose tol. test diabetic"
"33254"	"diabetes mellitus with ophthalmic manifestation"
"33343"	"diabetes mellitus with other specified manifestation"
"33807"	"diabetes mellitus, adult with gangrene"
"33969"	"malnutrition-related diabetes mellitus with ketoacidosis"
"34152"	"diabetic peripheral angiopathy"
"34268"	"type 2 diabetes mellitus with neurological complications"
"34283"	"diabetes mellitus nos with ophthalmic manifestation"
"34450"	"hyperosmolar non-ketotic state in type 2 diabetes mellitus"
"34528"	"diabetes well being questionnaire"
"34541"	"private referral to diabetologist"
"34639"	"diabetes mellitus during pregnancy - baby delivered"
"34912"	"non-insulin dependent diabetes mellitus with ulcer"
"35105"	"diabetes mellitus, adult onset, with renal manifestation"
"35107"	"diabetes mellitus with nephropathy nos"
"35116"	"o/e - left diabetic foot - ulcerated"
"35288"	"type 1 diabetes mellitus - poor control"
"35316"	"o/e - right diabetic foot - ulcerated"
"35321"	"non-urgent diabetic admission"
"35383"	"diabetic patient unsuitable for digital retinal photography"
"35385"	"type 2 diabetes mellitus with neuropathic arthropathy"
"35399"	"diabetes mellitus with peripheral circulatory disorder"
"35785"	"chronic painful diabetic neuropathy"
"36633"	"hyperosmolar non-ketotic state in type 2 diabetes mellitus"
"36669"	"diabetic monitoring not required"
"36695"	"diabetes mellitus autosomal dominant type 2"
"37315"	"diabetic mononeuropathy"
"37648"	"insulin treated non-insulin dependent diabetes mellitus"
"37806"	"type 2 diabetes mellitus with peripheral angiopathy"
"38078"	"understands diet - diabetes"
"38103"	"seen in diabetic nurse consultant clinic"
"38129"	"seen in community diabetic specialist nurse clinic"
"38130"	"diabetes wellbeing questionnaire"
"38161"	"type i diabetes mellitus with retinopathy"
"38617"	"other specified diabetes mellitus with ketoacidosis"
"38986"	"diabetes mellitus with no mention of complication"
"39070"	"type 1 diabetes mellitus with hypoglycaemic coma"
"39317"	"diabetes mellitus, adult onset, + neurological manifestation"
"39420"	"myasthenic syndrome due to diabetic amyotrophy"
"39809"	"insulin dependent diab mell with neuropathic arthropathy"
"40023"	"diabetes mellitus, juvenile type, with hyperosmolar coma"
"40401"	"non-insulin dependent diabetes mellitus with gangrene"
"40682"	"type 1 diabetes mellitus maturity onset"
"40837"	"type 1 diabetes mellitus with ketoacidotic coma"
"41049"	"type 1 diabetes mellitus with retinopathy"
"41389"	"diabetes mellitus, adult onset, + ophthalmic manifestation"
"41686"	"[x]other specified diabetes mellitus"
"41716"	"insulin dependent diabetes mellitus with polyneuropathy"
"42505"	"diabetes mellitus nos with ketoacidosis"
"42567"	"diabetes mellitus, juvenile type, with ketoacidotic coma"
"42729"	"type i diabetes mellitus with hypoglycaemic coma"
"42762"	"type 2 diabetes mellitus with retinopathy"
"42831"	"type 1 diabetes mellitus with neurological complications"
"43139"	"diabetes mellitus, adult onset, with hyperosmolar coma"
"43227"	"type ii diabetes mellitus with multiple complications"
"43453"	"diabetes mellitus autosomal dominant"
"43785"	"non-insulin dependent diabetes mellitus with hypoglyca coma"
"43857"	"lipoatrophic diabetes mellitus"
"43921"	"unstable type 1 diabetes mellitus"
"43951"	"diabetic - cooperative patient"
"44033"	"diabetic mononeuritis multiplex"
"44260"	"insulin dependent diabetes mellitus with diabetic cataract"
"44312"	"informed dissent for diabetes national audit"
"44440"	"insulin dependent diabetes mellitus with hypoglycaemic coma"
"44443"	"insulin dependent diabetes mellitus with ulcer"
"44779"	"type 2 diabetes mellitus with diabetic cataract"
"44982"	"type 2 diabetes mellitus with diabetic cataract"
"45250"	"under care of diabetic liaison nurse"
"45276"	"insulin dependent diabetes mellitus with multiple complicat"
"45467"	"non-insulin dependent diabetes mellitus with polyneuropathy"
"45491"	"diabetes mellitus with unspecified complication"
"45913"	"type 2 diabetes mellitus - poor control"
"45914"	"type 1 diabetes mellitus - poor control"
"45919"	"type 2 diabetes mellitus with neurological complications"
"46150"	"type 2 diabetes mellitus with gangrene"
"46290"	"other specified diabetes mellitus with multiple comps"
"46301"	"type 1 diabetes mellitus with polyneuropathy"
"46521"	"seen by diabetologist"
"46577"	"diabetes: shared care in pregnancy - diabetol and obstet"
"46624"	"maturity onset diabetes in youth"
"46850"	"type i diabetes mellitus - poor control"
"46917"	"type 2 diabetes mellitus with hypoglycaemic coma"
"46963"	"insulin-dependent diabetes mellitus with renal complications"
"47011"	"referral to diabetes structured education programme"
"47032"	"diabetes care plan agreed"
"47058"	"discharged from care of diabetes specialist nurse"
"47315"	"type ii diabetes mellitus - poor control"
"47321"	"type 2 diabetes mellitus with ophthalmic complications"
"47328"	"o/e - right eye stable treated prolif diabetic retinopathy"
"47341"	"diabetic crisis monitoring"
"47370"	"diabetology d.v. done"
"47377"	"other specified diabetes mellitus with ophthalmic complicatn"
"47409"	"type ii diabetes mellitus with polyneuropathy"
"47582"	"type 1 diabetes mellitus with renal complications"
"47584"	"advanced diabetic retinal disease"
"47649"	"type 1 diabetes mellitus with ophthalmic complications"
"47650"	"type 1 diabetes mellitus with multiple complications"
"47816"	"type ii diabetes mellitus with neuropathic arthropathy"
"47954"	"type 2 diabetes mellitus without complication"
"48078"	"acute painful diabetic neuropathy"
"48192"	"type ii diabetes mellitus with diabetic cataract"
"49074"	"type 2 diabetes mellitus with ulcer"
"49146"	"type i diabetes mellitus with neurological complications"
"49276"	"insulin-dependent diabetes mellitus with ophthalmic comps"
"49554"	"type 1 diabetes mellitus with diabetic cataract"
"49559"	"diabetes mellitus during pregnancy - baby not yet delivered"
"49640"	"o/e - left chronic diabetic foot ulcer"
"49655"	"type ii diabetes mellitus with retinopathy"
"49869"	"type 2 diabetes mellitus with arthropathy"
"49884"	"diabetic pre-pregnancy counselling"
"49949"	"unstable type i diabetes mellitus"
"50175"	"diabetic foot risk assessment"
"50225"	"type ii diabetes mellitus with renal complications"
"50429"	"non-insulin-dependent diabetes mellitus with ophthalm comps"
"50527"	"type ii diabetes mellitus with polyneuropathy"
"50609"	"pre-existing diabetes mellitus, non-insulin-dependent"
"50813"	"type ii diabetes mellitus with mononeuropathy"
"50937"	"referral to diabetes preconception counselling clinic"
"50960"	"pre-existing diabetes mellitus, insulin-dependent"
"50972"	"diabetes mellitus nos with no mention of complication"
"51066"	"family/carer attended diabetes structured education prog"
"51261"	"insulin dependent diabetes mellitus"
"51697"	"secondary pancreatic diabetes mellitus"
"51756"	"type 2 diabetes mellitus with ketoacidotic coma"
"51957"	"type i diabetes mellitus with ulcer"
"52041"	"o/e - left eye stable treated prolif diabetic retinopathy"
"52104"	"insulin dependent diabetes mellitus with multiple complicatn"
"52212"	"[x]diabetes mellitus"
"52236"	"malnutrition-related diabetes mellitus"
"52237"	"patient held diabetic record issued"
"52283"	"insulin-dependent diabetes mellitus with neurological comps"
"52303"	"non-insulin-dependent diabetes mellitus with renal comps"
"52630"	"o/e - sight threatening diabetic retinopathy"
"53200"	"diabetes mellitus, juvenile type, with ketoacidosis"
"53238"	"diabetic drug side effects"
"53392"	"type ii diabetes mellitus without complication"
"53634"	"[d]gangrene of toe in diabetic"
"54008"	"type 1 diabetes mellitus with neuropathic arthropathy"
"54419"	"diabetes key contact"
"54600"	"unstable insulin dependent diabetes mellitus"
"54601"	"under care of diabetologist"
"54856"	"diabetes mellitus, adult onset, with ketoacidosis"
"54899"	"type ii diabetes mellitus with peripheral angiopathy"
"55075"	"type ii diabetes mellitus with ulcer"
"55123"	"date diabetic treatment stopp."
"55239"	"type 1 diabetes mellitus with gastroparesis"
"55431"	"pre-existing diabetes mellitus, unspecified"
"55842"	"non-insulin-dependent diabetes mellitus with neuro comps"
"56268"	"type ii diabetes mellitus with hypoglycaemic coma"
"56448"	"insulin-dependent diabetes without complication"
"57278"	"type ii diabetes mellitus with renal complications"
"57333"	"diabetic cheiropathy"
"57389"	"patient consent given for addition to diabetic register"
"57621"	"insulin dependent diabetes mellitus with nephropathy"
"57723"	"referral to diabetic register"
"58133"	"discharge by diabetic liaison nurse"
"58604"	"type ii diabetes mellitus with retinopathy"
"58639"	"patient held diabetic record declined"
"59253"	"type 2 diabetes mellitus with arthropathy"
"59288"	"other specified diabetes mellitus with coma"
"59365"	"non-insulin dependent diabetes mellitus with nephropathy"
"59725"	"type ii diabetes mellitus with ophthalmic complications"
"59903"	"diabetic amyotrophy"
"59991"	"maturity onset diabetes in youth type 2"
"60046"	"diabetes insipidus - pituitary"
"60107"	"unstable type i diabetes mellitus"
"60208"	"type i diabetes mellitus with neuropathic arthropathy"
"60499"	"insulin dependent diabetes mellitus with gangrene"
"60699"	"type 2 diabetes mellitus with peripheral angiopathy"
"60796"	"type ii diabetes mellitus with persistent proteinuria"
"61071"	"type 2 diabetes mellitus with hypoglycaemic coma"
"61344"	"type i diabetes mellitus with renal complications"
"61461"	"informed consent for diabetes national audit"
"61470"	"diabetic monitoring - higher risk albumin excretion"
"61523"	"other specified diabetes mellitus with neurological comps"
"61557"	"diabetology d.v. requested"
"61670"	"diab mellit insulin-glucose infus acute myocardial infarct"
"61829"	"type 1 diabetes mellitus with neurological complications"
"62107"	"type ii diabetes mellitus with gangrene"
"62146"	"non-insulin-dependent diabetes mellitus with multiple comps"
"62209"	"type i diabetes mellitus with ketoacidosis"
"62352"	"type i diabetes mellitus with arthropathy"
"62384"	"o/e - right chronic diabetic foot ulcer"
"62613"	"type i diabetes mellitus without complication"
"62674"	"type 2 diabetes mellitus with mononeuropathy"
"63017"	"type i diabetes mellitus maturity onset"
"63357"	"diabetes mellitus, adult, + peripheral circulatory disorder"
"63371"	"diabetes mellitus, adult, + other specified manifestation"
"63412"	"diabetes clinical management plan"
"63690"	"type 2 diabetes mellitus with gastroparesis"
"63762"	"diabetes mellitus, adult onset, + unspecified complication"
"64283"	"other specified diabetes mellitus with unspecified comps"
"64357"	"diabetes mellitus nos with unspecified complication"
"64446"	"insulin dependent diab mell with peripheral angiopathy"
"64449"	"unspecified diabetes mellitus with multiple complications"
"64571"	"type ii diabetes mellitus with nephropathy"
"64668"	"insulin treated type ii diabetes mellitus"
"65025"	"diabetes mellitus nos with peripheral circulatory disorder"
"65062"	"diabetes mellitus nos with ketoacidotic coma"
"65267"	"type 2 diabetes mellitus with multiple complications"
"65616"	"insulin dependent diabetes mellitus with arthropathy"
"65704"	"type 2 diabetes mellitus with ulcer"
"66145"	"type i diabetes mellitus with ketoacidotic coma"
"66475"	"diabetic monitoring - lower risk albumin excretion"
"66675"	"malnutrition-related diabetes mellitus with coma"
"66872"	"type i diabetes mellitus with nephropathy"
"66965"	"type 2 diabetes mellitus with neuropathic arthropathy"
"67635"	"diabetes mellitus - unspec whether in pregnancy/puerperium"
"67853"	"diabetes mellitus, juvenile, + neurological manifestation"
"67905"	"type ii diabetes mellitus with neurological complications"
"68105"	"type 1 diabetes mellitus with mononeuropathy"
"68390"	"type 1 diabetes mellitus with ulcer"
"68546"	"diabetes clinic satisfaction questionnaire"
"68792"	"diabetes mellitus, juvenile type, + unspecified complication"
"68818"	"dtsq - diabetes treatment satisfaction questionnaire"
"68843"	"diabetes mellitus, adult onset, with ketoacidotic coma"
"69043"	"dietary advice for type i diabetes"
"69163"	"referral to multidisciplinary diabetic clinic"
"69278"	"non-insulin depend diabetes mellitus with diabetic cataract"
"69676"	"type 1 diabetes mellitus without complication"
"69748"	"diabetes mellitus, juvenile type, + ophthalmic manifestation"
"69993"	"type 1 diabetes mellitus with gangrene"
"70316"	"type 2 diabetes mellitus with ophthalmic complications"
"70448"	"diabetes mellitus, juvenile +peripheral circulatory disorder"
"70766"	"type 1 diabetes mellitus with hypoglycaemic coma"
"70821"	"diabetes mellitus nos with other specified manifestation"
"72320"	"non-insulin dependent diabetes mellitus with mononeuropathy"
"72333"	"listed for diabetology admissn"
"72345"	"diabetes mellitus nos with hyperosmolar coma"
"72702"	"insulin dependent diabetes mellitus - poor control"
"82474"	"referral to community diabetes specialist nurse"
"83532"	"diabetes type 2 review"
"85660"	"diabetes type 1 review"
"85991"	"type ii diabetes mellitus with persistent microalbuminuria"
"91164"	"csq - diabetes clinic satisfaction questionnaire"
"91646"	"type ii diabetes mellitus with ulcer"
"91942"	"type i diabetes mellitus with multiple complications"
"91943"	"type i diabetes mellitus with polyneuropathy"
"93380"	"cystic fibrosis related diabetes mellitus"
"93390"	"attended dafne diabetes structured education programme"
"93468"	"type 1 diabetes mellitus with peripheral angiopathy"
"93491"	"dafne diabetes structured education programme completed"
"93529"	"desmond diabetes structured education programme completed"
"93631"	"xpert diabetes structured education programme completed"
"93657"	"referral to desmond diabetes structured education programme"
"93704"	"referral to dafne diabetes structured education programme"
"93727"	"type ii diabetes mellitus with diabetic cataract"
"93854"	"diabetes structured education programme declined"
"93870"	"referral to xpert diabetes structured education programme"
"93875"	"insulin dependent diabetes mellitus with retinopathy"
"93878"	"type i diabetes mellitus with ulcer"
"93922"	"diabetes mellitus, juvenile type, with renal manifestation"
"94011"	"attended xpert diabetes structured education programme"
"94186"	"diabetes structured education programme completed"
"94330"	"referral to diabetes special interest general practitioner"
"94383"	"secondary diabetes mellitus without complication"
"94699"	"diabetes treatment satisfaction questionnaire"
"94955"	"did not attend xpert diabetes structured education programme"
"94956"	"did not complete xpert diabetes structured education program"
"95093"	"did not complete desmond diabetes structured educat program"
"95094"	"did not complete diabetes structured education programme"
"95159"	"did not attend desmond diabetes structured education program"
"95343"	"type i diabetes mellitus with retinopathy"
"95351"	"type ii diabetes mellitus with mononeuropathy"
"95539"	"maternally inherited diabetes mellitus"
"95553"	"did not attend diabetes structured education programme"
"95636"	"latent autoimmune diabetes mellitus in adult"
"95641"	"family/carer referral to diabetes structured education prog"
"95813"	"seen in multidisciplinary diabetic clinic"
"95992"	"type i diabetes mellitus without complication"
"95994"	"diabetic foot screen"
"96235"	"type i diabetes mellitus maturity onset"
"96506"	"secondary pancreatic diabetes mellitus without complication"
"96823"	"diabetes mellitus in pueperium - baby previously delivered"
"97446"	"type 1 diabetes mellitus maturity onset"
"97474"	"unstable type 1 diabetes mellitus"
"97809"	"did not complete dafne diabetes structured education program"
"97824"	"dwbq - diabetes wellbeing questionnaire"
"97849"	"insulin dependent diabetes maturity onset"
"97894"	"type i diabetes mellitus with exudative maculopathy"
"98071"	"insulin-dependent diabetes mellitus with ophthalmic comps"
"98392"	"maturity onset diabetes in youth type 1"
"98616"	"type ii diabetes mellitus with neurological complications"
"98704"	"insulin dependent diabetes mellitus with ulcer"
"98723"	"type ii diabetes mellitus with hypoglycaemic coma"
"98954"	"diabetes treatment satisfaction questionnaire"
"98978"	"age, bp, clinical feat, duration, diabetes 2 stroke rsk scre"
"99231"	"type i diabetes mellitus with mononeuropathy"
"99277"	"did not attend dafne diabetes structured education programme"
"99311"	"type i diabetes mellitus with ophthalmic complications"
"99628"	"[x]glomerular disorders in diabetes mellitus"
"99716"	"insulin dependent diabetes mellitus with hypoglycaemic coma"
"99719"	"insulin-dependent diabetes without complication"
"100292"	"[x]unspecified diabetes mellitus with renal complications"
"100347"	"malnutritn-relat diabetes melitus wth periph circul complctn"
"100422"	"discharged from diabetes shared care programme"
"100436"	"education in self management of diabetes"
"100533"	"unsuitable for diabetes year of care programme"
"100770"	"insulin dependent diabetes mellitus with diabetic cataract"
"100964"	"type ii diabetes mellitus with ophthalmic complications"
"101172"	"cranial diabetes insipidus"
"101177"	"diabetic dietary review"
"101190"	"declined consent for diabetes year of care programme"
"101311"	"insulin dependent diabetes mellitus with polyneuropathy"
"101455"	"diabetes monitor invitation by sms (short message service)"
"101456"	"diabetic dietary review declined"
"101728"	"diabetic on subcutaneous treatment"
"101735"	"insulin-dependent diabetes mellitus with neurological comps"
"101801"	"type ii diabetic dietary review"
"101834"	"excepted from diabetes qual indicators: service unavailable"
"101881"	"impaired vision due to diabetic retinopathy"
"102112"	"type i diabetes mellitus with gangrene"
"102163"	"insulin dependent diabetes mellitus with nephropathy"
"102201"	"type ii diabetes mellitus with nephropathy"
"102434"	"diabetic erectile dysfunction review"
"102490"	"diabetic assessment of erectile dysfunction"
"102611"	"type 2 diabetic dietary review"
"102620"	"type i diabetes mellitus with persistent microalbuminuria"
"102704"	"type i diabetic dietary review"
"102740"	"type 1 diabetes mellitus with ophthalmic complications"
"102767"	"pre-conception advice for diabetes mellitus"
"102946"	"insulin-dependent diabetes mellitus with renal complications"
"103743"	"diabetes care plan declined"
"103798"	"diabetic medicine"
"103902"	"type ii diabetes mellitus with arthropathy"
"104287"	"referral to community diabetes service"
"104323"	"type ii diabetes mellitus with gangrene"
"104374"	"provision of diabetes clinical summary"
"104453"	"type 1 diabetic dietary review"
"104639"	"type ii diabetes mellitus with peripheral angiopathy"
"105207"	"referral to community diabetes clinic"
"105302"	"proteinuric diabetic nephropathy"
"105337"	"type i diabetes mellitus - poor control"
"105585"	"diabetes clinical pathway"
"105740"	"o/e - left diabetic foot at increased risk"
"105741"	"o/e - right diabetic foot at increased risk"
"105784"	"type 2 diabetes mellitus without complication"
"105937"	"referral to community diabetes specialist nurse declined"
"106061"	"type ii diabetes mellitus with ketoacidotic coma"
"106360"	"erectile dysfunction due to diabetes mellitus"
"106528"	"type ii diabetes mellitus with ketoacidosis"
"106679"	"provision of written information about diabetes and driving"
"106927"	"diab insipidus,diab mell,optic atrophy and deafness"
"106953"	"referral to dafne diabetes structured educn prog declined"
"107361"	"education about diabetes and driving"
"107414"	"diabetes structured education programme not available"
"107423"	"diabetes self-management plan review"
"107452"	"further diabetic monitoring"
"107464"	"diabetes year of care annual review"
"107508"	"conversion to insulin by diabetes specialist nurse"
"107603"	"diabetes mellitus in remission"
"107701"	"hyperosmolar non-ketotic state in type ii diabetes mellitus"
"107739"	"advice about diabetes and driving"
"107824"	"type ii diabetes mellitus in remission"
"107881"	"clinical diabetic nephropathy"
"108005"	"type 2 diabetes mellitus with multiple complications"
"108007"	"type i diabetes mellitus with multiple complications"
"108360"	"type i diabetes mellitus in remission"
"108724"	"type i diabetes mellitus with gastroparesis"
"108890"	"diabetic foot care education"
"108993"	"diabetes self-management plan agreed"
"109051"	"insulin dependent diabetes mellitus with gangrene"
"109103"	"type ii diabetes mellitus without complication"
"109133"	"pre-existing malnutrition-related diabetes mellitus"
"109197"	"type ii diabetes mellitus with neuropathic arthropathy"
"109222"	"lifestyle education for diabetes"
"109520"	"eligibility permanently inactive for diabetic retinop screen"
"109521"	"eligibility temporarily inactive for diabetic retinop screen"
"109628"	"type 1 diabetes mellitus in remission"
"109643"	"enquiry about diabetic erectile dysfunction declined"
"109744"	"provsn written information about diabetes & high cholesterol"
"109760"	"diabetic peripheral neuropathic pain"
"109806"	"discharge from secondary care diabetes service"
"109837"	"type i diabetes mellitus with renal complications"
"109865"	"type 2 diabetes mellitus with polyneuropathy"
"109878"	"diet advice for insulin-dependent diabetes"
"110087"	"provision of written information about diabetes and high bp"
"110344"	"diabetic on non-insulin injectable medication"
"110379"	"diabetic on oral treatment and glucagon-like peptide 1"
"110393"	"diabetic carbohydrate counting diet"
"110400"	"type 1 diabetes mellitus with diabetic cataract"
"110409"	"diabetic injection administration education"
"110511"	"recommendation self-refer for diabetes structured education"
"110611"	"type 2 diabetes mellitus in remission"
"110997"	"diabetes mellitus, juvenile, + other specified manifestation"
"111106"	"type 1 diabetes mellitus without complication"
