prodcode	productname
14504	INSULIN HYPURIN PROTAMINE ZINC 100 I/U INJ
82124	Lyumjev 100units/ml solution for injection 3ml cartridges (Eli Lilly and Company Ltd)
84885	Gliclazide 80mg tablets (Phoenix Healthcare Distribution Ltd)
73808	Metformin 500mg/5ml oral solution sugar free (Accord-UK Ltd)
44473	Edicil MR 30mg tablets (Teva UK Ltd)
1847	Chlorpropamide 250mg tablets
80087	Empagliflozin 25mg / Linagliptin 5mg tablets
11271	B-d u-100 1ml Insulin syringe (Becton, Dickinson UK Ltd)
62265	Metformin 500mg modified-release tablets (Mawdsley-Brooks & Company Ltd)
60074	Metformin 1g modified-release tablets (Waymade Healthcare Plc)
49172	NovoPen Echo hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 0.5-30 units Red (Novo Nordisk Ltd)
67324	Humulin M3 100units/ml suspension for injection 3ml cartridges (Waymade Healthcare Plc)
74996	Neon Verifine Safety hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/30gauge (Neon Diagnostics Ltd)
72539	Sitagliptin 50mg/5ml oral solution
46469	Bydureon 2mg powder and solvent for prolonged-release suspension for injection vials (AstraZeneca UK Ltd)
32	Gliclazide 80mg tablets
14619	Insulin isophane biphasic porcine 30/70 100units/ml suspension for injection 1.5ml cartridges
53251	NovoRapid Penfill 100units/ml solution for injection 3ml cartridges (DE Pharmaceuticals)
70900	Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/32.5gauge
80784	Invokana 100mg tablets (Pharmaram Ltd)
65421	TriCare hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge (Owen Mumford Ltd)
56983	Insupen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge (Spirit Healthcare Ltd)
69548	Saxenda 6mg/ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd)
18592	Insulin soluble bovine 100units/ml solution for injection 10ml vials
26218	Calabren 5mg Tablet (Berk Pharmaceuticals Ltd)
50570	Glucophage SR 500mg tablets (Lexon (UK) Ltd)
7318	Humalog 100units/ml solution for injection 3ml cartridges (Eli Lilly and Company Ltd)
6958	Levemir FlexPen 100units/ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd)
57529	Humalog 100units/ml solution for injection 10ml vials (Dowelhurst Ltd)
24795	Insulin aspart biphasic 30/70 100units/ml suspension for injection 3ml cartridges
16700	Insulin zinc mixed bovine vial 100unit/ml Sterile suspension injection
63785	Dulaglutide 0.75mg/0.5ml solution for injection pre-filled disposable devices
84314	Lyumjev KwikPen 200units/ml solution for injection 3ml pre-filled pens (Eli Lilly and Company Ltd)
69442	Neon Verifine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge (Neon Diagnostics Ltd)
5345	Monoject hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 12mm needle 0.36mm/28gauge (Covidien (UK) Commercial Ltd)
35468	Insuman Basal 100units/ml suspension for injection 5ml vials (Sanofi)
13516	Hypurin bovine isophane 100unit/ml Injection (C P Pharmaceuticals Ltd)
63707	GlucoRx FinePoint Ultra hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge (GlucoRx Ltd)
41558	Glibenclamide 5mg tablets (Teva UK Ltd)
69440	Neon Verifine Ultra hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge (Neon Diagnostics Ltd)
10067	Insulin biphasic aspart human pyr 30:70; 100 units/ml Injection
54886	Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/32gauge
65638	Glucoject hypodermic insulin needles for pre-filled / reusable pen injectors screw on 10mm/29gauge (A. Menarini Diagnostics Ltd)
63031	Dapagliflozin 5mg / Metformin 850mg tablets
69583	Humalog Mix25 100units/ml suspension for injection 3ml cartridges (Waymade Healthcare Plc)
21424	Glibenclamide 5mg/5ml oral suspension
45215	Gliclazide 80mg Tablet (Neo Laboratories Ltd)
24554	Unifine single use Insulin syringe with 30gauge needle 8mm 0.3ml (Owen Mumford Ltd)
60073	Canagliflozin 100mg tablets
10915	Humaject m1 100iu/ml M1 pen (Eli Lilly and Company Ltd)
64987	Abasaglar 100units/ml solution for injection 3ml cartridges (Eli Lilly and Company Ltd)
24722	INSULIN ISOPHANE 50%/NEUTRAL 50% 100 I/U INJ
82533	Humulin S 100units/ml solution for injection 10ml vials (Waymade Healthcare Plc)
72324	GlucoRx CarePoint Ultra hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge (GlucoRx Ltd)
59793	Microdot Droplet hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge (Cambridge Sensors Ltd)
90626	Ozempic 1mg/0.74ml solution for injection 3ml pre-filled pens (Pharmaram Ltd)
1592	Actrapid penfill 100 100iu/ml Penfill (Novo Nordisk Ltd)
80319	Empagliflozin 10mg / Linagliptin 5mg tablets
48149	Metformin 500mg tablets (Almus Pharmaceuticals Ltd)
11284	Amaryl 4mg tablets (Zentiva Pharma UK Ltd)
24002	Insuman Comb 25 100units/ml suspension for injection 5ml vials (Sanofi)
74860	NovoNorm 1mg tablets (Waymade Healthcare Plc)
48342	HumaPen Luxura hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units Burgundy (Eli Lilly and Company Ltd)
58865	Komboglyze 2.5mg/850mg tablets (AstraZeneca UK Ltd)
61562	Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/29gauge
21554	Insuman comb 50 100iu/ml Injection (Aventis Pharma)
62661	Bydureon 2mg powder and solvent for prolonged-release suspension for injection pre-filled pens (AstraZeneca UK Ltd)
51650	Omnican Fine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge (B.Braun Medical Ltd)
11107	Humulin m4 100unit/ml M4 injection (Eli Lilly and Company Ltd)
82475	NovoMix 30 FlexPen 100units/ml suspension for injection 3ml pre-filled pens (Waymade Healthcare Plc)
11609	Metformin with rosiglitazone 500mg + 1mg Tablet
35149	Exenatide 10micrograms/0.04ml solution for injection 2.4ml pre-filled disposable devices
60938	Mixtard 30 100units/ml suspension for injection 10ml vials (Waymade Healthcare Plc)
12300	SYRINGE INSULIN (BS1619/1) 2ML
34507	Glibenclamide 2.5mg tablets (Wockhardt UK Ltd)
49738	Metformin 1g modified-release tablets (A A H Pharmaceuticals Ltd)
83493	Tolbutamide 500mg tablets (Almus Pharmaceuticals Ltd)
37427	HumaPen Luxura HD hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 1-30 units (Eli Lilly and Company Ltd)
71804	AllStar Pro hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-80 units Silver (Sanofi)
16682	Tempulin 100unit/ml Injection (Knoll Ltd)
5634	Hypodermic U100 insulin syringe sterile single use / single patient use 1ml with not less than 12mm needle 0.36mm/28gauge
20889	Actos 30mg tablets (Neon Healthcare Ltd)
87716	Humalog Mix50 Pen 100units/ml suspension for injection 3ml pre-filled pens (Sigma Pharmaceuticals Plc)
19707	INSULIN HUMULIN S (NEUTRAL SOLUBLE)
5214	Insulin lispro 100units/ml solution for injection 1.5ml cartridges
55459	Lixisenatide 10micrograms/0.2ml solution for injection 3ml pre-filled disposable devices
75740	Ozempic 0.25mg/0.19ml solution for injection 1.5ml pre-filled pens (Novo Nordisk Ltd)
548	Pioglitazone 15mg tablets
56376	Rosiglitazone 4mg with glimepiride 4mg tablet
76660	Insulin lispro Sanofi 100units/ml solution for injection 3ml cartridges (Sanofi)
3551	Mixtard 20 penfill 100 100iu/ml Penfill (Novo Nordisk Ltd)
60386	Canagliflozin 300mg tablets
1649	Human actraphane 100iu/ml Injection (Novo Nordisk Ltd)
22155	Humaject m5 100iu/ml M5 pen (Eli Lilly and Company Ltd)
37874	Vildagliptin 50mg / Metformin 850mg tablets
18446	Unifine hypodermic U100 insulin syringe sterile single use / single patient use 1ml with 12mm needle 0.33mm/29gauge (Owen Mumford Ltd)
46927	Tolbutamide 500mg tablets (Teva UK Ltd)
10145	Humapen luxura insulin pen 3ml/1-60 units Insulin pen 3ml/1-60 units (Eli Lilly and Company Ltd)
18149	Monoject u100 insulin syringe 12mm(29g)0.5ml 12mm29G 0.5ml Insulin syringe (Covidien (UK) Commercial Ltd)
75397	Semaglutide 0.25mg/0.19ml solution for injection 1.5ml pre-filled disposable devices
62760	Jardiance 10mg tablets (Boehringer Ingelheim Ltd)
52221	Diagemet XL 500mg tablets (Genus Pharmaceuticals Ltd)
35144	Byetta 5micrograms/0.02ml solution for injection 1.2ml pre-filled pens (AstraZeneca UK Ltd)
22823	INSULIN ISOPHANE (PURIFIED) 100 I/U INJ
61311	Glimepiride 4mg tablets (Sigma Pharmaceuticals Plc)
60028	Hypodermic insulin needles for pre-filled / reusable pen injectors snap on 4mm/32gauge
18593	Humalog Mix50 100units/ml suspension for injection 3ml cartridges (Eli Lilly and Company Ltd)
7757	INSULIN NEULENTE (ZINC SUSP)(PURIFIED) 100 I/U INJ
7166	Glucophage 500mg tablets (Merck Serono Ltd)
5892	NovoRapid FlexPen 100units/ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd)
5267	BD Micro-Fine + hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 8mm needle 0.3mm/30gauge (Becton, Dickinson UK Ltd)
7349	Actrapid 100units/ml solution for injection 10ml vials (Novo Nordisk Ltd)
91475	Sitagliptin 100mg tablets (Morningside Healthcare Ltd)
14506	INSULIN BOVINE PROTAMINE ZINC 100 I/U INJ
10242	Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge
80987	Exenatide 2mg/0.85ml prolonged-release suspension for injection pre-filled disposable devices
68214	Metformin 500mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd)
9865	Repaglinide 500microgram tablets
40007	Glucophage 1000mg oral powder sachets (Merck Serono Ltd)
66098	JuniorSTAR hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 1-30 units Silver (Sanofi)
44810	Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/32gauge
9707	Repaglinide 1mg tablets
15232	Avandia 8mg tablets (GlaxoSmithKline UK Ltd)
17343	Gliclazide 80mg tablets (A A H Pharmaceuticals Ltd)
66150	Glucoject hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge (A. Menarini Diagnostics Ltd)
74680	NovoMix 30 Penfill 100units/ml suspension for injection 3ml cartridges (DE Pharmaceuticals)
22058	Pur-in mix 15/85 Injection (C P Pharmaceuticals Ltd)
85047	Metformin 1g modified-release tablets (Medihealth (Northern) Ltd)
11601	Rosiglitazone 2mg / Metformin 500mg tablets
91178	Metformin 850mg modified-release tablets
55910	Tresiba Penfill 100units/ml solution for injection 3ml cartridges (Novo Nordisk Ltd)
57457	Metformin 500mg tablets (Milpharm Ltd)
71395	Humalog Mix25 100units/ml suspension for injection 3ml cartridges (Sigma Pharmaceuticals Plc)
90199	Tirzepatide 7.5mg/0.6ml solution for injection 2.4ml pre-filled disposable devices
14938	Insulin soluble bovine cartridge 100unit/ml Solution for injection
2459	Pork Mixtard 30 100units/ml suspension for injection 10ml vials (Novo Nordisk Ltd)
68934	Diabiom 30mg tablets (Tillomed Laboratories Ltd)
39149	Galvus 50mg tablets (Novartis Pharmaceuticals UK Ltd)
56437	Gliclazide 60mg modified-release tablets
41431	Onglyza 5mg tablets (AstraZeneca UK Ltd)
1964	Diamicron 80mg tablets (Servier Laboratories Ltd)
82709	Semaglutide 7mg tablets
36853	Lantus 100units/ml solution for injection 3ml pre-filled SoloStar pens (Sanofi)
87541	Klinion Soft Fine Plus Pen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge (H & R Healthcare Ltd)
74862	Lantus 100units/ml solution for injection 3ml pre-filled OptiSet pens (Mawdsley-Brooks & Company Ltd)
6060	Unifine Pentips hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/30gauge (Owen Mumford Ltd)
43670	Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge
76975	Humalog 100units/ml solution for injection 10ml vials (Sigma Pharmaceuticals Plc)
55234	Tresiba FlexTouch 200units/ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd)
7744	Daonil 5mg tablets (Sanofi)
6991	BD Micro-Fine + hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 12.7mm needle 0.33mm/29gauge (Becton, Dickinson UK Ltd)
5649	Autopen hypodermic insulin injection pen reusable for 1.5ml cartridge 1 unit dial up / range 1-16 units (Owen Mumford Ltd)
27461	Insuman Basal 100units/ml suspension for injection 3ml cartridges (Sanofi)
89358	Wegovy FlexTouch 1mg/0.75ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd)
33101	Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 12.7mm/29gauge
33966	Insulatard 100unit/ml Injection (Novo Nordisk Ltd)
9699	Pioglitazone 30mg tablets
90048	Mounjaro KwikPen 2.5mg/0.6ml solution for injection 2.4ml pre-filled pens (Eli Lilly and Company Ltd)
58607	Metformin 500mg/5ml oral solution sugar free (Zentiva Pharma UK Ltd)
5227	Rosiglitazone 8mg tablets
1751	Hypodermic U100 insulin syringe glass reusable 1ml
8839	INSULIN SEMITARD 100 I/U INJ
6965	Levemir Penfill 100units/ml solution for injection 3ml cartridges (Novo Nordisk Ltd)
40233	Metformin 1g oral powder sachets sugar free
52634	Glucophage SR 500mg tablets (DE Pharmaceuticals)
82846	Amglidia 0.6mg/ml oral suspension with 5ml oral syringe (Amring Pharmaceuticals Ltd)
82816	Lyumjev 100units/ml solution for injection 10ml vials (Eli Lilly and Company Ltd)
6061	Novomix 30 30/70 100units/ml Injection (Novo Nordisk Ltd)
78125	Gliclazide 30mg modified-release tablets (Sigma Pharmaceuticals Plc)
49307	Mylife Clickfine hypodermic insulin needles for pre-filled / reusable pen injectors snap on 4.5mm/31gauge (Ypsomed Ltd)
62326	Vipidia 6.25mg tablets (Takeda UK Ltd)
53118	NovoRapid FlexPen 100units/ml solution for injection 3ml pre-filled pens (Mawdsley-Brooks & Company Ltd)
77978	Januvia 50mg tablets (Pharmaram Ltd)
21832	Diabetamide 5mg tablets (Ashbourne Pharmaceuticals Ltd)
14301	Insulin detemir 100units/ml solution for injection 3ml cartridges
58801	GlucoRx FinePoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 10mm/29gauge (GlucoRx Ltd)
56965	Komboglyze 2.5mg/1000mg tablets (AstraZeneca UK Ltd)
6091	NovoPen 3 Fun hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 2-70 units Red (Novo Nordisk Ltd)
83130	Dulaglutide 3mg/0.5ml solution for injection pre-filled disposable devices
28666	Omnican 50 hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 8mm needle 0.3mm/30gauge (B.Braun Medical Ltd)
42161	Orabet 500mg Tablet (Sandoz Ltd)
15955	Starlix 120mg tablets (Novartis Pharmaceuticals UK Ltd)
7861	INSULIN HUMULIN S (NEUTRAL) CARTRIDGE 100 I/U
60430	Invokana 100mg tablets (A. Menarini Farmaceutica Internazionale SRL)
48533	Sitagliptin 25mg tablets
35057	OptiClik hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-80 units Blue (Sanofi)
5059	NovoPen 3 Classic hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 2-70 units (Novo Nordisk Ltd)
76021	Ozempic 1mg/0.74ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd)
27280	Insulin isophane biphasic porcine 30/70 100units/ml suspension for injection 10ml vials
73525	Metformin 500mg/5ml oral solution sugar free (Alliance Healthcare (Distribution) Ltd)
34399	Gliclazide 80mg tablets (IVAX Pharmaceuticals UK Ltd)
82322	Gliclazide 30mg modified-release tablets (Actavis UK Ltd)
8322	Insulin zinc suspension mixed human pyr 100unit/ml Injection
86879	Insupen Original hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/30gauge (Spirit Healthcare Ltd)
6337	Glimepiride 3mg tablets
53774	Metabet SR 500mg tablets (Actavis UK Ltd)
34598	Metformin 500mg tablets (Viatris UK Healthcare Ltd)
63045	Metformin 850mg tablets (Relonchem Ltd)
84717	Metformin 500mg Tablet (Ratiopharm UK Ltd)
51881	Omnican Fine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge (B.Braun Medical Ltd)
35251	Exenatide 5micrograms/0.02ml solution for injection 1.2ml pre-filled disposable devices
77805	Insulin lispro 200units/ml solution for injection 3ml pre-filled disposable devices
26403	Pur-in mix 25/75 Injection (C P Pharmaceuticals Ltd)
22636	TOLBUTAMIDE 1 GM TAB
10484	Penmix 20/80 Penfill (Novo Nordisk Ltd)
71477	Glimepiride 1mg tablets (Alliance Healthcare (Distribution) Ltd)
10258	Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge
71247	PROFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge (Prosum Medical Ltd)
6470	Autopen 24 hypodermic insulin injection pen reusable for 3ml cartridge 2 unit dial up / range 2-42 units (Owen Mumford Ltd)
83847	Trulicity 4.5mg/0.5ml solution for injection pre-filled pens (Eli Lilly and Company Ltd)
14505	Insulin protamine zinc bovine 100units/ml suspension for injection 10ml vials
84627	Metformin 1g modified-release tablets (Accord-UK Ltd)
71890	Metformin 500mg/5ml oral solution sugar free (Almus Pharmaceuticals Ltd)
57601	Daonil 5mg tablets (Dowelhurst Ltd)
13474	U100 Insulin syringe Sp.36 [2A] 1ml
71476	Glimepiride 2mg tablets (Alliance Healthcare (Distribution) Ltd)
69852	Microdot Safety Pen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/30gauge (Cambridge Sensors Ltd)
63679	Hypurin soluble 100iu/ml Injection (C P Pharmaceuticals Ltd)
5678	Nateglinide 120mg tablets
3550	Mixtard 40 penfill 100 100iu/ml Penfill (Novo Nordisk Ltd)
78946	Ertugliflozin 15mg tablets
83608	Metformin 500mg modified-release tablets (Consilient Health Ltd)
89608	Semaglutide 2.4mg/0.75ml solution for injection 3ml pre-filled disposable devices
14646	Hypodermic U100 insulin syringe sterile single use / single patient use 0.3ml with not less than 12mm needle 0.33mm/29gauge
74021	Metformin 250mg/5ml oral solution
90536	Mounjaro KwikPen 12.5mg/0.6ml solution for injection 2.4ml pre-filled pens (Eli Lilly and Company Ltd)
84232	Forxiga 10mg tablets (Pharmaram Ltd)
74824	Actrapid 100units/ml solution for injection 10ml vials (Waymade Healthcare Plc)
26098	Hypurin Porcine Neutral 100units/ml solution for injection 10ml vials (Wockhardt UK Ltd)
83875	Insulin glargine 100units/ml / Lixisenatide 33micrograms/ml solution for injection 3ml pre-filled disposable devices
27969	Glymese 250mg Tablet (DDSA Pharmaceuticals Ltd)
72163	Pioglitazone 45mg tablets (Alliance Healthcare (Distribution) Ltd)
5022	NovoFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 12mm/28gauge (Novo Nordisk Ltd)
15484	Insulin isophane bovine 100units/ml suspension for injection 1.5ml cartridges
87325	Glucophage SR 1000mg tablets (Pilsco Ltd)
64258	JuniorSTAR hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 1-30 units Blue (Sanofi)
57387	Kendall Magellan hypodermic U100 insulin syringe sterile single use / single patient use 0.3ml with 12mm safety needle 0.33mm/29gauge (Covidien (UK) Commercial Ltd)
65587	Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 10mm/30gauge
18590	Insulin isophane bovine 100units/ml suspension for injection 10ml vials
38400	Glucophage SR 750mg tablets (Merck Serono Ltd)
12818	Human Mixtard 50 100units/ml suspension for injection 10ml vials (Novo Nordisk Ltd)
58817	GlucoRx FinePoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 12mm/29gauge (GlucoRx Ltd)
17698	Minodiab 5mg tablets (Pfizer Ltd)
48120	Avandia 2mg Tablet (GlaxoSmithKline UK Ltd)
1588	Actrapid 100iu/ml Injection (Novo Nordisk Ltd)
74734	Metformin 850mg capsules
73303	Metformin 500mg/5ml oral solution sugar free (Colonis Pharma Ltd)
65083	Synjardy 5mg/1000mg tablets (Boehringer Ingelheim Ltd)
35701	Insulin lispro biphasic 50/50 100units/ml suspension for injection 3ml pre-filled disposable devices
10001	Humalog Mix50 Pen 100units/ml suspension for injection 3ml pre-filled pens (Eli Lilly and Company Ltd)
49451	Mylife Clickfine AutoProtect hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/29gauge (Ypsomed Ltd)
7284	Amaryl 2mg tablets (Zentiva Pharma UK Ltd)
21422	Insulin isophane biphasic human 40/60 100units/ml suspension for injection 3ml cartridges
69221	Metformin 1g oral powder sachets sugar free (J M McGill Ltd)
90065	Metformin 850mg/5ml oral solution sugar free (Medihealth (Northern) Ltd)
35253	Insuman Comb 50 100units/ml suspension for injection 3ml cartridges (Sanofi)
7350	Insulin isophane porcine 100units/ml suspension for injection 10ml vials
57451	Microdot Droplet hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge (Cambridge Sensors Ltd)
79955	IME-FINE hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge (Arctic Medical Ltd)
38422	Isophane 100iu/ml Injection (Celltech Pharma Europe Ltd)
91306	Sitagliptin 100mg tablets (Amarox Ltd)
34706	Glibenclamide 2.5mg tablets (IVAX Pharmaceuticals UK Ltd)
31465	Exubera 1mg inhalation powder blisters (Pfizer Ltd)
45821	Onglyza 2.5mg tablets (AstraZeneca UK Ltd)
73068	GreenFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge (Neon Diagnostics Ltd)
66399	Glimepiride 2mg tablets (A A H Pharmaceuticals Ltd)
73676	GreenFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge (Neon Diagnostics Ltd)
7610	Glucophage 850mg tablets (Merck Serono Ltd)
7062	Myjector hypodermic U100 insulin syringe sterile single use / single patient use 1ml with 12mm needle 0.4mm/27gauge (Terumo UK Ltd)
5850	Mylife Clickfine hypodermic insulin needles for pre-filled / reusable pen injectors snap on 6mm/31gauge (Ypsomed Ltd)
55521	Insupen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge (Spirit Healthcare Ltd)
16209	INSULIN HYPURIN SOLUBLE 100 I/U INJ
26498	Insulin zinc suspension mixed bovine and porcine 100unit/ml Injection
25479	Insulin soluble porcine 100units/ml solution for injection 3ml cartridges
59533	NovoRapid FlexPen 100units/ml solution for injection 3ml pre-filled pens (Sigma Pharmaceuticals Plc)
67267	Mixtard 30 InnoLet 100units/ml suspension for injection 3ml pre-filled pens (Waymade Healthcare Plc)
68896	Nanopass hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/32.5gauge (Terumo UK Ltd)
11245	B-d u-100 0.3ml Insulin syringe (Becton, Dickinson UK Ltd)
41559	Glibenclamide 5mg tablets (A A H Pharmaceuticals Ltd)
68031	Humalog Mix25 KwikPen 100units/ml suspension for injection 3ml pre-filled pens (Sigma Pharmaceuticals Plc)
62605	Metformin 850mg tablets (Kent Pharma (UK) Ltd)
52442	Metformin 500mg tablets (Pfizer Ltd)
86727	Klinion Soft Fine Plus Pen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/32gauge (H & R Healthcare Ltd)
10259	Insulin glargine 100units/ml solution for injection 10ml vials
21110	Insulin biphasic isophane human prb 50:50; 100 units/ml Injection
39086	Humalog Mix50 KwikPen 100units/ml suspension for injection 3ml pre-filled pens (Eli Lilly and Company Ltd)
57243	Omnican Fine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 10mm/30gauge (B.Braun Medical Ltd)
78392	Metformin 850mg tablets (Zentiva Pharma UK Ltd)
22161	INSULIN HUMULIN M1 VIAL
74479	Insulin lispro 100units/ml solution for injection 3ml pre-filled pen (Sanofi)
86016	HaemoFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/32gauge (HTL-STREFA S.A.)
62899	Xultophy 100units/ml / 3.6mg/ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd)
63421	Pioglitazone 30mg tablets (Teva UK Ltd)
8376	INSULIN ISOPHANE 100 I/U
82890	Metformin 850mg tablets (Milpharm Ltd)
69715	Fiasp 100units/ml solution for injection 10ml vials (Novo Nordisk Ltd)
71487	BD Viva hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge (Becton, Dickinson UK Ltd)
