"prodcode"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnfcode"	"Antidiabetic"
"3076"	"NovoFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/30gauge (Novo Nordisk Ltd)"	"Insulin"	"6mm/30gauge"	"Pen Needle"	NA	"71190600"	"Insulin"
"3252"	"METFORMIN HCl 500 MG TAB"	"Metformin"	NA	"Tablet"	"Oral"	"00000000"	"Metformin"
"3396"	"Penmix 10/90 Penfill (Novo Nordisk Ltd)"	"Insulin"	NA	"Penfill"	NA	"06010102"	"Insulin"
"3439"	"Penmix 10/90 Pen (Novo Nordisk Ltd)"	"Insulin"	NA	"Pen"	NA	"06010102"	"Insulin"
"3550"	"Mixtard 40 penfill 100 100iu/ml Penfill (Novo Nordisk Ltd)"	"Insulin"	"100iu/ml"	"Penfill"	"Subcutaneous Injection"	"06010102"	"Insulin"
"3551"	"Mixtard 20 penfill 100 100iu/ml Penfill (Novo Nordisk Ltd)"	"Insulin"	"100iu/ml"	"Penfill"	"Subcutaneous Injection"	"06010102"	"Insulin"
"4093"	"Humulin M2 100units/ml suspension for injection 3ml cartridges (Eli Lilly and Company Ltd)"	"Insulin"	"20unit/1ml + 80unit/1ml"	"Suspension for injection"	"Subcutaneous"	"00000000"	"Insulin"
"4129"	"Insulin soluble porcine 100units/ml solution for injection 1.5ml cartridges"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous/Intravenous/Intramuscular"	"00000000"	"Insulin"
"4163"	"Rapitard MC 100unit/ml Injection (Novo Nordisk Ltd)"	"Insulin"	"100unit/ml"	"Injection"	"Intramuscular"	"06010102"	"Insulin"
"4198"	"Humulin m3 100unit/ml M3 injection (Eli Lilly and Company Ltd)"	"Insulin"	"100unit/ml"	"M3 Injection"	"Subcutaneous Injection"	"06010102"	"Insulin"
"4199"	"Humulin m1 100unit/ml M1 injection (Eli Lilly and Company Ltd)"	"Insulin"	"100unit/ml"	"M1 Injection"	"Subcutaneous Injection"	"06010102"	"Insulin"
"4247"	"Insulin isophane porcine 100units/ml suspension for injection 1.5ml cartridges"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Intramuscular/Subcutaneous"	"00000000"	"Insulin"
"4248"	"INSULIN NOVO ULTRATARD MC 100 I/U INJ"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"00000000"	"Insulin"
"4426"	"CHLORPROPAMIDE 500 MG TAB"	"Chlorpropamide"	NA	"Tablet"	"Oral"	"00000000"	"Chlorpropamide"
"4706"	"Velosulin 100units/ml solution for injection 10ml vials (Novo Nordisk Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Subcutaneous"	"00000000"	"Insulin"
"4715"	"Humalog mix 25 25/75 100units/ml Injection (Eli Lilly and Company Ltd)"	"Insulin"	"25/75 100units/ml"	"Injection"	"Subcutaneous Injection"	"06010102"	"Insulin"
"4760"	"Humulin i 100unit/ml Injection (Eli Lilly and Company Ltd)"	"Insulin"	"100unit/ml"	"Injection"	"Subcutaneous Injection"	"06010102"	"Insulin"
"4784"	"Lentard mc 100unit/ml Injection (Novo Nordisk Ltd)"	"Insulin"	"100unit/ml"	"Injection"	"Subcutaneous Injection"	"06010102"	"Insulin"
"4790"	"Mixtard 50 penfill 100 100iu/ml Penfill (Novo Nordisk Ltd)"	"Insulin"	"50unit/1ml + 50unit/1ml"	"Suspension for injection"	"Subcutaneous"	"06010102"	"Insulin"
"4862"	"Diabetamide 2.5mg tablets (Ashbourne Pharmaceuticals Ltd)"	"Glibenclamide"	"2.5mg"	"Tablet"	"Oral"	"06010201"	"Glibenclamide"
"4896"	"Monoject hypodermic U100 insulin syringe sterile single use / single patient use 1ml with 12mm needle 0.36mm/28gauge (Covidien (UK) Commercial Ltd)"	"Insulin"	"1ml"	"Insulin Syringe With 12mm Needle(28g)"	NA	"71190300"	"Insulin"
"5015"	"NovoFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/30gauge (Novo Nordisk Ltd)"	"Insulin"	"8mm/30gauge"	"Pen Needle"	NA	"71190600"	"Insulin"
"5021"	"NovoRapid Penfill 100units/ml solution for injection 3ml cartridges (Novo Nordisk Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Subcutaneous"	"06010101"	"Insulin"
"5022"	"NovoFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 12mm/28gauge (Novo Nordisk Ltd)"	"Insulin"	"12mm/28gauge"	"Pen Needle"	NA	"71190600"	"Insulin"
"5059"	"NovoPen 3 Classic hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 2-70 units (Novo Nordisk Ltd)"	"Insulin"	"3ml/2-70 Units"	"Insulin Pen"	NA	"00000000"	"Insulin"
"5121"	"BD Micro-Fine + hypodermic insulin needles for pre-filled / reusable pen injectors screw on 12.7mm/29gauge (Becton, Dickinson UK Ltd)"	"Insulin"	"12.7mm/29gauge"	"Pen Needle"	NA	"71190600"	"Insulin"
"5142"	"BD Micro-Fine + hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge (Becton, Dickinson UK Ltd)"	"Insulin"	"8mm/31gauge"	"Pen Needle"	NA	"71190600"	"Insulin"
"5164"	"NovoPen 3 Demi hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 1-35 units (Novo Nordisk Ltd)"	"Insulin"	"3ml/1-35 Units"	"Insulin Pen"	NA	"71190900"	"Insulin"
"5174"	"Acarbose 100mg tablets"	"Acarbose"	"100mg"	"Tablet"	"Oral"	"06010203"	"Acarbose"
"5214"	"Insulin lispro 100units/ml solution for injection 1.5ml cartridges"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous"	"00000000"	"Insulin"
"5227"	"Rosiglitazone 8mg tablets"	"Rosiglitazone"	"8mg"	"Tablet"	"Oral"	"00000000"	"Rosiglitazone"
"5250"	"Insulin biphasic lispro human prb 25:75; 100 units/ml Injection"	"Insulin"	"25:75; 100 Units/ml"	"Injection"	"Intramuscular"	"06010102"	"Insulin"
"5255"	"Mixtard 10 penfill 100 100iu/ml Penfill (Novo Nordisk Ltd)"	"Insulin"	"100iu/ml"	"Penfill"	"Subcutaneous Injection"	"06010102"	"Insulin"
"5267"	"BD Micro-Fine + hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 8mm needle 0.3mm/30gauge (Becton, Dickinson UK Ltd)"	"Insulin"	"0.5ml"	"Insulin Syringe With 8mm Needle(30g)"	NA	"71190300"	"Insulin"
"5276"	"Glimepiride 1mg tablets"	"Glimepiride"	"1mg"	"Tablet"	"Oral"	"06010201"	"Glimepiride"
"5316"	"Glimepiride 4mg tablets"	"Glimepiride"	"4mg"	"Tablet"	"Oral"	"06010201"	"Glimepiride"
"5345"	"Monoject hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 12mm needle 0.36mm/28gauge (Covidien (UK) Commercial Ltd)"	"Insulin"	"0.5ml"	"Insulin Syringe With 12mm Needle(28g)"	NA	"71190300"	"Insulin"
"5353"	"Glimepiride 2mg tablets"	"Glimepiride"	"2mg"	"Tablet"	"Oral"	"06010201"	"Glimepiride"
"5421"	"NovoFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge (Novo Nordisk Ltd)"	"Insulin"	"6mm/31gauge"	"Pen Needle"	NA	"71190600"	"Insulin"
"5501"	"Insuman basal 100iu/ml Injection (Aventis Pharma)"	"Insulin"	"100iu/ml"	"Injection"	"Subcutaneous Injection"	"06010102"	"Insulin"
"5557"	"NovoPen 3 Fun hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 2-70 units Blue (Novo Nordisk Ltd)"	"Insulin"	"3ml/2-70 Units"	"Insulin Pen"	NA	"00000000"	"Insulin"
"5620"	"U100 Insulin syringe 0.3ml"	"Insulin"	"0.3ml"	"Insulin Syringe"	NA	"06010103"	"Insulin"
"5621"	"Glucobay 50mg tablets (Bayer Plc)"	"Acarbose"	"50mg"	"Tablet"	"Oral"	"06010203"	"Acarbose"
"5627"	"Gliclazide 30mg modified-release tablets"	"Gliclazide"	"30mg"	"Modified-release tablet"	"Oral"	"06010201"	"Gliclazide"
"5634"	"Hypodermic U100 insulin syringe sterile single use / single patient use 1ml with 12mm needle 0.36mm/28gauge"	"Insulin"	"1ml"	"Insulin Syringe With 12mm Needle(28g)"	NA	"71190300"	"Insulin"
"5636"	"Glipizide 5mg tablets"	"Glipizide"	"5mg"	"Tablet"	"Oral"	"06010201"	"Glipizide"
"5649"	"Autopen hypodermic insulin injection pen reusable for 1.5ml cartridge 1 unit dial up / range 1-16 units (Owen Mumford Ltd)"	"Insulin"	"1.5ml/1-16 Units"	"Insulin Pen"	NA	"00000000"	"Insulin"
"5678"	"Nateglinide 120mg tablets"	"Nateglinide"	"120mg"	"Tablet"	"Oral"	"06010203"	"Nateglinide"
"5742"	"Unifine Pentips hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/30gauge (Owen Mumford Ltd)"	"Insulin"	"8mm/30gauge"	"Pen Needle"	NA	"71190600"	"Insulin"
"5769"	"Hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 12mm needle 0.4mm/27gauge"	"Insulin"	"0.5ml"	"Insulin Syringe With 12mm Needle(27g)"	NA	"71190300"	"Insulin"
"5789"	"Hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 8mm needle 0.3mm/30gauge"	"Insulin"	"0.5ml"	"Insulin Syringe With 8mm Needle(30g)"	NA	"71190300"	"Insulin"
"5845"	"Mixtard 30 InnoLet 100units/ml suspension for injection 3ml pre-filled pen (Novo Nordisk Ltd)"	"Insulin"	"30unit/1ml + 70unit/1ml"	"Suspension for injection"	"Intramuscular/Subcutaneous"	"06010151"	"Insulin"
"5850"	"Mylife Clickfine hypodermic insulin needles for pre-filled / reusable pen injectors snap on 6mm/31gauge (Ypsomed Ltd)"	"Insulin"	"6mm/31gauge"	"Pen Needle"	NA	"71190700"	"Insulin"
"5873"	"BD Micro-Fine + hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge (Becton, Dickinson UK Ltd)"	"Insulin"	"5mm/31gauge"	"Pen Needle"	NA	"71190600"	"Insulin"
"5891"	"Insulatard FlexPen 100units/ml suspension for injection (Novo Nordisk Ltd)"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Intramuscular/Subcutaneous"	"06010102"	"Insulin"
"5892"	"NovoRapid FlexPen 100units/ml solution for injection 3ml pre-filled pen (Novo Nordisk Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Subcutaneous"	"06010101"	"Insulin"
"5933"	"Mixtard 50 NovoLet 100units/ml suspension for injection (Novo Nordisk Ltd)"	"Insulin"	"50unit/1ml + 50unit/1ml"	"Suspension for injection"	"Subcutaneous"	"00000000"	"Insulin"
"5953"	"Insulin glargine 100iu/ml Injection"	"Insulin"	"100iu/ml"	"Injection"	"Intramuscular"	"06010102"	"Insulin"
"5966"	"Mylife Clickfine hypodermic insulin needles for pre-filled / reusable pen injectors snap on 8mm/31gauge (Ypsomed Ltd)"	"Insulin"	"8mm/31gauge"	"Pen Needle"	NA	"71190700"	"Insulin"
"5967"	"Hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with not less than 12mm needle 0.33mm/29gauge"	"Insulin"	"0.5ml"	"Insulin Syringe With 12mm Needle(29g)"	NA	"71190300"	"Insulin"
"5989"	"Nateglinide 180mg tablets"	"Nateglinide"	"180mg"	"Tablet"	"Oral"	"06010203"	"Nateglinide"
"6009"	"Myjector hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 12mm needle 0.4mm/27gauge (Terumo UK Ltd)"	"Insulin"	"0.5ml/u100"	"Insulin Syringe With 12mm Needle(27g)"	NA	"71190300"	"Insulin"
"6057"	"Lantus 100iu/ml Injection (Aventis Pharma)"	"Insulin"	"100iu/ml"	"Injection"	"Subcutaneous Injection"	"06010102"	"Insulin"
"6060"	"Unifine Pentips hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/30gauge (Owen Mumford Ltd)"	"Insulin"	"6mm/30gauge"	"Pen Needle"	NA	"71190600"	"Insulin"
"6061"	"Novomix 30 30/70 100units/ml Injection (Novo Nordisk Ltd)"	"Insulin"	"30/70 100units/ml"	"Injection"	"Subcutaneous Injection"	"06010102"	"Insulin"
"6091"	"NovoPen 3 Fun hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 2-70 units Red (Novo Nordisk Ltd)"	"Insulin"	"3ml/2-70 Units"	"Insulin Pen"	NA	"00000000"	"Insulin"
"6138"	"HumaPen Ergo hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units Burgundy (Eli Lilly and Company Ltd)"	"Insulin"	"3ml/1-60 Units"	"Insulin Pen"	NA	"00000000"	"Insulin"
"6209"	"NovoRapid 100units/ml solution for injection 10ml vials (Novo Nordisk Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Subcutaneous"	"06010101"	"Insulin"
"6228"	"BD Micro-Fine + hypodermic U100 insulin syringe sterile single use / single patient use 0.3ml with 8mm needle 0.3mm/30gauge (Becton, Dickinson UK Ltd)"	"Insulin"	"0.3ml"	"Insulin Syringe With 8mm Needle(30g)"	NA	"71190300"	"Insulin"
"6233"	"Mylife Clickfine hypodermic insulin needles for pre-filled / reusable pen injectors snap on 10mm/29gauge (Ypsomed Ltd)"	"Insulin"	"10mm/29gauge"	"Pen Needle"	NA	"71190700"	"Insulin"
"6337"	"Glimepiride 3mg tablets"	"Glimepiride"	"3mg"	"Tablet"	"Oral"	"06010201"	"Glimepiride"
"6378"	"Hypodermic U100 insulin syringe sterile single use / single patient use 0.3ml with 8mm needle 0.3mm/30gauge"	"Insulin"	"0.3ml"	"Insulin Syringe With 8mm Needle(30g)"	NA	"71190300"	"Insulin"
"6447"	"Insulin aspart human pyr 100 iu/ml Injection"	"Insulin"	"100 Iu/ml"	"Injection"	"Intramuscular"	"06010101"	"Insulin"
"6470"	"Autopen 24 hypodermic insulin injection pen reusable for 3ml cartridge 2 unit dial up / range 2-42 units (Owen Mumford Ltd)"	"Insulin"	"3ml/2-42 Units"	"Insulin Pen"	NA	"71190900"	"Insulin"
"6554"	"Autopen 24 hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-21 units (Owen Mumford Ltd)"	"Insulin"	"3ml/1-21 Units"	"Insulin Pen"	NA	"71190900"	"Insulin"
"6724"	"U100 Insulin syringe 0.3ml"	"Insulin"	"0.3ml"	"Insulin Syringe"	NA	"06010103"	"Insulin"
"6730"	"Hypodermic U100 insulin syringe sterile single use / single patient use 1ml with not less than 12mm needle 0.33mm/29gauge"	"Insulin"	"1ml"	"Insulin Syringe With 12mm Needle(29g)"	NA	"71190300"	"Insulin"
"6753"	"Novopen Junior hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 1-35 units Green (Novo Nordisk Ltd)"	"Insulin"	"3ml/1-35 Units"	"Insulin Pen"	NA	"71190900"	"Insulin"
"6781"	"Autopen Classic hypodermic insulin injection pen reusable for 3ml cartridge 2 unit dial up / range 2-42 units (Owen Mumford Ltd)"	"Insulin"	"3ml/2-42 Units"	"Insulin Pen"	NA	"71190900"	"Insulin"
"6831"	"HumaPen Ergo hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units Teal (Eli Lilly and Company Ltd)"	"Insulin"	"3ml/1-60 Units"	"Insulin Pen"	NA	"00000000"	"Insulin"
"6855"	"Avandamet 2mg/500mg tablets (GlaxoSmithKline UK Ltd)"	"Metformin/Rosiglitazone"	"2mg + 500mg"	"Tablet"	"Oral"	"00000000"	"Metformin/Rosiglitazone"
"6958"	"Levemir FlexPen 100units/ml solution for injection 3ml pre-filled pen (Novo Nordisk Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous"	"06010102"	"Insulin"
"6965"	"Levemir Penfill 100units/ml solution for injection 3ml cartridges (Novo Nordisk Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous"	"06010102"	"Insulin"
"6981"	"Novopen Junior hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 1-35 units Yellow (Novo Nordisk Ltd)"	"Insulin"	"3ml/1-35 Units"	"Insulin Pen"	NA	"71190900"	"Insulin"
"6991"	"BD Micro-Fine + hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 12.7mm needle 0.33mm/29gauge (Becton, Dickinson UK Ltd)"	"Insulin"	"0.5ml"	"Insulin Syringe With 12mm Needle(29g)"	NA	"71190300"	"Insulin"
"7048"	"Metformin 500mg modified-release tablets"	"Metformin"	"500mg"	"Modified-release tablet"	"Oral"	"06010202"	"Metformin"
"7062"	"Myjector hypodermic U100 insulin syringe sterile single use / single patient use 1ml with 12mm needle 0.4mm/27gauge (Terumo UK Ltd)"	"Insulin"	"1ml/u100"	"Insulin Syringe With 12mm Needle(27g)"	NA	"71190300"	"Insulin"
"7075"	"Optipen Pro 1 hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units (Sanofi)"	"Insulin"	"3ml/1-60 Units"	"Insulin Pen"	NA	"71190900"	"Insulin"
"7127"	"BD Micro-Fine + hypodermic U100 insulin syringe sterile single use / single patient use 1ml with 8mm needle 0.3mm/30gauge (Becton, Dickinson UK Ltd)"	"Insulin"	"1ml"	"Insulin Syringe With 8mm Needle(30g)"	NA	"71190300"	"Insulin"
"7164"	"Unifine Pentips hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge (Owen Mumford Ltd)"	"Insulin"	"6mm/31gauge"	"Pen Needle"	NA	"71190600"	"Insulin"
"7166"	"Glucophage 500mg tablets (Merck Serono Ltd)"	"Metformin"	"500mg"	"Tablet"	"Oral"	"06010202"	"Metformin"
"7203"	"Unifine Pentips hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge (Owen Mumford Ltd)"	"Insulin"	"8mm/31gauge"	"Pen Needle"	NA	"71190600"	"Insulin"
"7228"	"NovoMix 30 FlexPen 100units/ml suspension for injection 3ml pre-filled pen (Novo Nordisk Ltd)"	"Insulin"	"70unit/1ml + 30unit/1ml"	"Suspension for injection"	"Subcutaneous"	"06010151"	"Insulin"
"7231"	"Mixtard 30 Penfill 100units/ml suspension for injection 3ml cartridges (Novo Nordisk Ltd)"	"Insulin"	"30unit/1ml + 70unit/1ml"	"Suspension for injection"	"Subcutaneous"	"06010151"	"Insulin"
"7237"	"Lantus 100units/ml solution for injection 3ml pre-filled OptiSet pen (Sanofi)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous"	"06010102"	"Insulin"
"7266"	"Lantus 100units/ml solution for injection 3ml cartridges (Sanofi)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous"	"06010102"	"Insulin"
"7267"	"NovoMix 30 Penfill 100units/ml suspension for injection 3ml cartridges (Novo Nordisk Ltd)"	"Insulin"	"30unit/1ml + 70unit/1ml"	"Suspension for injection"	"Subcutaneous"	"06010151"	"Insulin"
"7284"	"Amaryl 2mg tablets (Zentiva)"	"Glimepiride"	"2mg"	"Tablet"	"Oral"	"06010201"	"Glimepiride"
"7300"	"Mixtard 30 100units/ml suspension for injection 10ml vials (Novo Nordisk Ltd)"	"Insulin"	"30unit/1ml + 70unit/1ml"	"Suspension for injection"	"Subcutaneous"	"06010151"	"Insulin"
"7318"	"Humalog 100units/ml solution for injection 3ml cartridges (Eli Lilly and Company Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Intramuscular/Subcutaneous"	"06010101"	"Insulin"
