"","medcodeid","term"
"76","1976931000006118","residual schizophrenia, other"
"77","1976941000006111","simple schizophrenia, other"
"78","1976951000006113","other schizophrenia, other"
"79","2782051000006112","bipolar i disorder, most recent episode manic with catatonic features"
"80","2924901000006115","severe bipolar disorder with psychotic features, mood-incongruent"
"81","2960501000006110","severe bipolar i disorder, most recent episode manic, with psychotic features"
"82","2976051000006113","chronic undifferentiated schizophrenia"
"83","3169541000006113","mild bipolar i disorder, single manic episode"
"84","3174001000006110","severe bipolar i disorder, single manic episode with psychotic features"
"85","3224381000006117","delusional misidentification syndrome"
"86","3267191000006117","grandiose delusion disorder"
"87","3328681000006114","residual schizophrenia in remission"
"88","3361131000006115","delusion of guilt"
"89","3369281000006111","depressed bipolar i disorder in remission"
"90","3595611000006115","delusional conclusion"
"91","3615761000006116","manic bipolar i disorder"
"92","3656651000006111","chronic residual schizophrenia"
"93","3846961000006111","bizarre delusion"
"94","3895621000006112","subchronic undifferentiated schizophrenia"
"95","3956691000006118","persecutory delusion disorder"
"96","4082931000006110","schizophrenic reaction"
"97","5023541000006116","psychosis associated with intensive care"
"98","5128661000006118","delusion of foul odour"
"99","5247171000006117","delusion of grandiose ability"
"100","5247181000006119","delusion of grandiose identity"
"101","5247211000006115","delusional mood"
"102","5247231000006114","delusion associated with smell"
"103","5247261000006117","delusion of depersonalisation"
"104","5247401000006117","hypochondriacal delusion"
"105","5387561000006118","bipolar diathermy"
"106","5435901000006117","bipolar"
"107","5582581000006111","delusional memories"
"108","5614121000006115","involutional paranoid state"
"109","5624451000006114","psychotic symptom finding"
"110","5688921000006114","manic behaviour"
"111","5688931000006112","manic behavior"
"112","5699381000006117","delusion of unworthiness"
"113","5718641000006117","level of psychoticism"
"114","5933701000006116","profile of mood states, bipolar"
"115","5934531000006116","delusional transference"
"116","7018741000006112","delusion of pregnancy"
"117","7860771000006118","positive symptoms with primary psychotic disorder"
"118","7860791000006117","negative symptoms with primary psychotic disorder"
"119","8110251000006118","interpretation of delusions"
"120","8342791000006117","hallucinogen-induced psychosis"
"121","9326201000006116","psychosis in pregnancy"
"122","12059241000006115","bipolar i disorder, most recent episode manic"
"123","14472391000006111","acute psychosis"
"124","14745451000006113","early onset schizophrenia"
"125","14767591000006117","delusion of emitting foul body odour"
