"medcodeid"	"term"
"292582011"	"type ii diabetes mellitus with gangrene"
"292583018"	"type 2 diabetes mellitus with gangrene"
"292589019"	"type ii diabetes mellitus - poor control"
"292590011"	"type ii diabetes mellitus poorly controlled"
"292606016"	"malnutrition-related diabetes mellitus with ketoacidosis"
"292612014"	"malnutrition-related diabetes mellitus without complications"
"292617015"	"diabetes mellitus with other specified manifestation"
"292621010"	"diabetes mellitus nos with other specified manifestation"
"292622015"	"diabetes mellitus with unspecified complication"
"292626017"	"diabetic complication"
"293756010"	"[x]other specified diabetes mellitus"
"297492014"	"diabetic mononeuritis multiplex"
"297510017"	"diabetic mononeuritis nos"
"297550019"	"acute painful diabetic neuropathy"
"297551015"	"chronic painful diabetic neuropathy"
"297552010"	"asymptomatic diabetic neuropathy"
"297754014"	"preproliferative diabetic retinopathy"
"297755010"	"advanced diabetic maculopathy"
"297758012"	"diabetic retinopathy nos"
"297964010"	"diabetic iritis"
"303846016"	"nephrotic syndrome in diabetes mellitus"
"305158015"	"diabetic glomerulopathy"
"306108017"	"diabetes mellitus during pregnancy - baby delivered"
"306110015"	"diabetes mellitus during pregnancy - baby not yet delivered"
"306112011"	"pre-existing diabetes mellitus, insulin-dependent"
"306113018"	"pre-existing diabetes mellitus, non-insulin-dependent"
"306114012"	"pre-existing malnutrition-related diabetes mellitus"
"308110013"	"pre-existing diabetes mellitus"
"308360012"	"cellulitis in diabetic foot"
"309177010"	"ischaemic ulcer diabetic foot"
"309179013"	"neuropathic diabetic ulcer - foot"
"309180011"	"mixed diabetic ulcer - foot"
"309737011"	"diabetic cheiroarthropathy"
"309738018"	"diabetic cheiropathy"
"317347010"	"[d]gangrene of toe in diabetic"
"317348017"	"[d]widespread diabetic foot gangrene"
"345486016"	"diabetic neuropathy"
"345487013"	"diabetes mellitus with neuropathy"
"345492010"	"diabetic mononeuropathy"
"347657010"	"diabetic maculopathy"
"354508018"	"clinical diabetic nephropathy"
"354509014"	"proteinuric diabetic nephropathy"
"356078011"	"secondary endocrine diabetes mellitus"
"356085010"	"maturity onset diabetes in youth type 2"
"356110010"	"megaloblastic anaemia, thiamine-responsive, with diabetes mellitus and sensorineural deafness"
"356111014"	"insulin-dependent diabetes mellitus secretory diarrhoea syndrome"
"356118015"	"diabetes-deafness syndrome maternally transmitted"
"356119011"	"abnormal metabolic state in diabetes mellitus"
"356121018"	"diabetic severe hyperglycaemia"
"399419012"	"myasthenic syndrome due to diabetic amyotrophy"
"401531012"	"diabetic - poor control"
"405057014"	"diabetes monitored"
"411891014"	"unstable diabetes"
"429970018"	"unstable type i diabetes mellitus"
"429971019"	"unstable type 1 diabetes mellitus"
"429972014"	"unstable insulin dependent diabetes mellitus"
"448261010"	"seen by diabetic liaison nurse"
"449540010"	"discharge by diabetic liaison nurse"
"451410016"	"o/e - right diabetic foot at risk"
"451411017"	"o/e - left diabetic foot at risk"
"453100011"	"h/o: admission in last year for diabetes foot problem"
"454092018"	"diabetic hyperosmolar non-ketotic state"
"454093011"	"honks - diabetic hyperosmolar non-ketotic state"
"455408014"	"advanced diabetic retinal disease"
"456646018"	"referral to diabetes nurse"
"456686014"	"attending diabetes clinic"
"457231013"	"seen in diabetic eye clinic"
"457325013"	"type i diabetes mellitus without complication"
"457326014"	"type 1 diabetes mellitus without complication"
"457327017"	"insulin-dependent diabetes without complication"
"457328010"	"non-insulin-dependent diabetes mellitus without complication"
"457329019"	"type 2 diabetes mellitus without complication"
"457330012"	"type ii diabetes mellitus without complication"
"458512016"	"diabetic on insulin and oral treatment"
"459161015"	"type 1 diabetes mellitus with hypoglycaemic coma"
"459162010"	"insulin dependent diabetes mellitus with hypoglycaemic coma"
"459163017"	"type i diabetes mellitus with hypoglycaemic coma"
"459167016"	"type 2 diabetes mellitus with hypoglycaemic coma"
"459169018"	"hypoglycaemic coma co-occurrent and due to diabetes mellitus type ii"
"459292011"	"type 1 diabetes mellitus with arthropathy"
"459293018"	"insulin dependent diabetes mellitus with arthropathy"
"459294012"	"type i diabetes mellitus with arthropathy"
"459296014"	"type 1 diabetes mellitus with neuropathic arthropathy"
"459306016"	"type ii diabetes mellitus with peripheral angiopathy"
"459308015"	"type 2 diabetes mellitus with peripheral angiopathy"
"459309011"	"non-insulin dependent diabetes mellitus with arthropathy"
"459310018"	"type 2 diabetes mellitus with arthropathy"
"459311019"	"type ii diabetes mellitus with arthropathy"
"459312014"	"type ii diabetes mellitus with neuropathic arthropathy"
"459313016"	"type 2 diabetes mellitus with neuropathic arthropathy"
"459694018"	"diabetic lipid lowering diet"
"459695017"	"diabetic weight reducing diet"
"483882011"	"maturity-onset diabetes of the young"
"483886014"	"maturity onset diabetes in youth"
"493774016"	"type ii diabetes mellitus"
"494186019"	"diabetes insipidus - pituitary"
"494564012"	"type i diabetes mellitus"
"498512013"	"genetic syndromes of diabetes mellitus"
"1220321013"	"diabetes mellitus arising in pregnancy"
"1223147012"	"insulin treated type ii diabetes mellitus"
"1223148019"	"insulin treated non-insulin dependent diabetes mellitus"
"1227774019"	"[v]dietary counselling in diabetes mellitus"
"1230890017"	"autonomic neuropathy due to diabetes"
"1230929011"	"secondary pancreatic diabetes mellitus"
"1484867016"	"non proliferative diabetic retinopathy"
"1484875010"	"seen by diabetologist"
"1484887015"	"o/e - diabetic maculopathy present both eyes"
"1484923019"	"refer to diabetic foot screener"
"1484954015"	"did not attend diabetic clinic"
"1488393013"	"o/e - right diabetic foot at low risk"
"1488395018"	"o/e - right diabetic foot - ulcerated"
"1488396017"	"o/e - left diabetic foot - ulcerated"
"1488397014"	"o/e - left diabetic foot at low risk"
"1488403015"	"o/e - left diabetic foot at moderate risk"
"1488404014"	"o/e - right diabetic foot at moderate risk"
"1488405010"	"diabetic foot risk assessment"
"1488406011"	"diabetic pre-pregnancy counselling"
"1488441010"	"diabetes medication review"
"1488749011"	"diabetic monitoring not required"
"1488898011"	"hyperosmolar non-ketotic state in type 2 diabetes mellitus"
"1780311019"	"type 1 diabetes mellitus with persistent microalbuminuria"
"1780386019"	"diabetic foot examination"
"1785332013"	"background diabetic retinopathy"
"1786715019"	"bronzed diabetes"
"2156000010"	"lipodystrophy, partial, with rieger anomaly, short stature, and insulinopenic diabetes mellitus"
"2159170012"	"patient on maximal tolerated therapy for diabetes"
"2159271018"	"seen in diabetic foot clinic"
"2159854012"	"diabetes key contact"
"2159948010"	"diabetic retinopathy 12 month review"
"2159949019"	"diabetic retinopathy 6 month review"
"2159955012"	"under care of diabetologist"
"2159956013"	"under care of diabetes specialist nurse"
"2159958014"	"under care of diabetic foot screener"
"2159969012"	"patient held diabetic record issued"
"2159973010"	"o/e - right eye background diabetic retinopathy"
"2159974016"	"o/e - left eye background diabetic retinopathy"
"2159975015"	"o/e - right eye preproliferative diabetic retinopathy"
"2159976019"	"o/e - left eye preproliferative diabetic retinopathy"
"2159977011"	"o/e - right eye proliferative diabetic retinopathy"
"2159978018"	"o/e - left eye proliferative diabetic retinopathy"
"2159979014"	"maculopathy of right eye with diabetes mellitus"
"2159980012"	"maculopathy of left eye with diabetes mellitus"
"2160025013"	"diabetic medicine"
"2474309019"	"diabetic foot examination declined"
"2474334019"	"diabetes clinical management plan"
"2474726011"	"pan retinal photocoagulation for diabetes"
"2476117016"	"maturity onset diabetes in youth type 1"
"2532967014"	"clinically significant macular oedema of right eye due to diabetes mellitus"
"2532974016"	"transition of diabetes care options discussed"
"2532976019"	"o/e - left chronic diabetic foot ulcer"
"2532977011"	"o/e - right chronic diabetic foot ulcer"
"2533102013"	"attended diabetes structured education programme"
"2533106011"	"referral to diabetes preconception counselling clinic"
"2533107019"	"patient diabetes education review"
"2533110014"	"referral to diabetes structured education programme"
"2548271013"	"agreeing on diabetes care plan"
"2548430017"	"discharged from care of diabetes specialist nurse"
"2548633012"	"provision of patient held diabetes record refused"
"2549069011"	"seen in community diabetes specialist clinic"
"2549196011"	"patient offered diabetes structured education programme"
"2549222013"	"seen in community diabetic specialist nurse clinic"
"2549778010"	"seen in diabetic nurse consultant clinic"
"2549896013"	"o/e - sight threatening diabetic retinopathy"
"2549901010"	"diabetic patient unsuitable for digital retinal photography"
"2622193012"	"diabetes mellitus with ketoacidosis"
"2674067015"	"latent autoimmune diabetes mellitus in adult"
"2693189019"	"health education - diabetes"
"2817479019"	"hyperglycaemic crisis in diabetes mellitus"
"2967831017"	"pre-existing type 1 diabetes mellitus in pregnancy"
"3511972010"	"diabetic education service"
"3513752015"	"absence of lower limb due to diabetes mellitus"
"3514795011"	"hyperosmolar hyperglycaemic coma due to diabetes mellitus without ketoacidosis"
"3515955014"	"diabetes self management plan"
"3527174019"	"diabetes mellitus caused by chemical"
"3636751012"	"acute complication with diabetes mellitus"
"3636752017"	"acute complication co-occurrent and due to diabetes mellitus"
"13751000006117"	"other specified diabetes mellitus with multiple comps"
"13761000006115"	"other specified diabetes mellitus with neurological comps"
"13771000006110"	"other specified diabetes mellitus with ophthalmic complicatn"
"13781000006113"	"other specified diabetes mellitus with other spec comps"
"13791000006111"	"other specified diabetes mellitus with periph circ comps"
"13811000006110"	"other specified diabetes mellitus with unspecified comps"
"16171000000110"	"diabetes monitoring admin.nos"
"21631000000117"	"diabetes monitoring administration"
"25261000000111"	"diabetes clinic administration"
"63021000000116"	"good compliance with diabetic diet"
"63041000000111"	"poor compliance with diabetic diet"
"72651000006114"	"unstable insulin dependent diabetes mellitus"
"72711000006117"	"unstable type 1 diabetes mellitus"
"72721000006113"	"unstable type i diabetes mellitus"
"84281000006115"	"type 1 diabetes mellitus"
"84291000006117"	"type 1 diabetes mellitus - poor control"
"84301000006116"	"type 1 diabetes mellitus maturity onset"
"84311000006118"	"type 1 diabetes mellitus with arthropathy"
"84321000006114"	"type 1 diabetes mellitus with diabetic cataract"
"84331000006112"	"type 1 diabetes mellitus with gangrene"
"84341000006119"	"type 1 diabetes mellitus with hypoglycaemic coma"
"84361000006115"	"type 1 diabetes mellitus with multiple complications"
"84371000006110"	"type 1 diabetes mellitus with nephropathy"
"84381000006113"	"type 1 diabetes mellitus with neurological complications"
"84391000006111"	"type 1 diabetes mellitus with neuropathic arthropathy"
"84401000006113"	"type 1 diabetes mellitus with ophthalmic complications"
"84421000006115"	"type 1 diabetes mellitus with polyneuropathy"
"84431000006117"	"type 1 diabetes mellitus with renal complications"
"84441000006110"	"type 1 diabetes mellitus with retinopathy"
"84451000006112"	"type 1 diabetes mellitus with ulcer"
"84461000006114"	"type 1 diabetes mellitus without complication"
"84471000006119"	"type 2 diabetes mellitus"
"84481000006116"	"type 2 diabetes mellitus - poor control"
"84491000006118"	"type 2 diabetes mellitus with arthropathy"
"84501000006114"	"type 2 diabetes mellitus with diabetic cataract"
"84511000006112"	"type 2 diabetes mellitus with gangrene"
"84521000006116"	"type 2 diabetes mellitus with hypoglycaemic coma"
"84531000006118"	"type 2 diabetes mellitus with mononeuropathy"
"84541000006111"	"type 2 diabetes mellitus with multiple complications"
"84551000006113"	"type 2 diabetes mellitus with nephropathy"
"84561000006110"	"type 2 diabetes mellitus with neurological complications"
"84571000006115"	"type 2 diabetes mellitus with neuropathic arthropathy"
"84581000006117"	"type 2 diabetes mellitus with ophthalmic complications"
"84591000006119"	"type 2 diabetes mellitus with peripheral angiopathy"
"84601000006110"	"type 2 diabetes mellitus with polyneuropathy"
"84611000006113"	"type 2 diabetes mellitus with renal complications"
"84621000006117"	"type 2 diabetes mellitus with retinopathy"
"84631000006119"	"type 2 diabetes mellitus with ulcer"
"84641000006112"	"type 2 diabetes mellitus without complication"
"84651000006114"	"type i diabetes mellitus"
"84661000006111"	"type i diabetes mellitus poorly controlled"
"84671000006116"	"type i diabetes mellitus maturity onset"
"84681000006118"	"type i diabetes mellitus with arthropathy"
"84691000006115"	"cataract due to diabetes mellitus type 1"
"84701000006115"	"type i diabetes mellitus with gangrene"
"84711000006117"	"type i diabetes mellitus with hypoglycaemic coma"
"84721000006113"	"mononeuropathy with type 1 diabetes mellitus"
"84731000006111"	"multiple complications of type 1 diabetes mellitus"
"84741000006118"	"type i diabetes mellitus with nephropathy"
"84751000006116"	"type i diabetes mellitus with neurological complications"
"84761000006119"	"type i diabetes mellitus with neuropathic arthropathy"
"84771000006114"	"disorder of eye with type 1 diabetes mellitus"
"84781000006112"	"type i diabetes mellitus with peripheral angiopathy"
"84791000006110"	"polyneuropathy due to diabetes mellitus type i"
"84801000006111"	"type i diabetes mellitus with renal complications"
"84811000006114"	"type i diabetes mellitus with retinopathy"
"84821000006118"	"type i diabetes mellitus with ulcer"
"84831000006115"	"type i diabetes mellitus without complication"
"84841000006113"	"type ii diabetes mellitus"
"84851000006110"	"type ii diabetes mellitus - poor control"
"84861000006112"	"type ii diabetes mellitus with arthropathy"
"84871000006117"	"cataract due to diabetes mellitus type 2"
"84881000006119"	"type ii diabetes mellitus with gangrene"
"84891000006116"	"type ii diabetes mellitus with hypoglycaemic coma"
"84901000006117"	"mononeuropathy with type 2 diabetes mellitus"
"84911000006119"	"type ii diabetes mellitus with multiple complications"
"84931000006113"	"neurological disorder with diabetes type 2"
"84941000006115"	"type ii diabetes mellitus with neuropathic arthropathy"
"84951000006118"	"disorder of eye with type 2 diabetes mellitus"
"84961000006116"	"type ii diabetes mellitus with peripheral angiopathy"
"84971000006111"	"type ii diabetes mellitus with polyneuropathy"
"84981000006114"	"type ii diabetes mellitus with renal complications"
"84991000006112"	"type ii diabetes mellitus with retinopathy"
"85001000006117"	"type ii diabetes mellitus with ulcer"
"85011000006119"	"type ii diabetes mellitus without complication"
"139001000000110"	"exception reporting - diabetes quality indicators"
"139121000000119"	"excepted from diabetes quality indicators - informed dissent"
"169731000006118"	"retinal abnormality - diabetes-related"
"189711000000119"	"lipoatrophic diabetes mellitus without complication"
"189721000000113"	"secondary diabetes mellitus without complication"
"189831000000116"	"informed consent for diabetes national audit"
"189841000000113"	"informed dissent for diabetes national audit"
"198461000000116"	"diabetes mellitus associated with pancreatic disease"
"200111000006116"	"diabetes mellitus diet education"
"213141000006111"	"pre-existing diabetes mellitus, unspecified"
"214921000006116"	"polyneuropathy in diabetes"
"223291000000111"	"maturity onset diabetes"
"280511000006113"	"non-insulin dependent diabetes mellitus with hypoglyca coma"
"280521000006117"	"non-insulin dependent diabetes mellitus with mononeuropathy"
"280531000006119"	"non-insulin dependent diabetes mellitus with nephropathy"
"280541000006112"	"non-insulin dependent diabetes mellitus with polyneuropathy"
"280551000006114"	"non-insulin-dependent diabetes mellitus with ulcer"
"280561000006111"	"non-insulin-dependent diabetes mellitus with peripheral angiopathy"
"280571000006116"	"non-insulin dependent diabetes mellitus"
"280581000006118"	"non-insulin-dependent diabetes mellitus with multiple complications"
"280591000006115"	"non-insulin-dependent diabetes mellitus with neuro comps"
"281161000006114"	"non-insulin depend diabetes mellitus with diabetic cataract"
"281171000006119"	"type ii diabetes mellitus uncontrolled"
"281181000006116"	"non-insulin dependent diabetes mellitus with neuropathic arthropathy"
"281211000006117"	"gangrene associated with type 2 diabetes mellitus"
"299261000000111"	"diabetic 6 month review"
"299601000000114"	"gastroparesis with type 1 diabetes mellitus"
"299621000000117"	"gastroparesis with type 2 diabetes mellitus"
"299991000000112"	"referral to multidisciplinary diabetic clinic"
"300021000000110"	"seen in multidisciplinary diabetic clinic"
"301191000000119"	"did not attend diabetic retinopathy clinic"
"301611000000118"	"diabetes monitoring lower risk albumin excretion"
"301641000000117"	"diabetes monitoring higher risk albumin excretion"
"307661000000114"	"referral to diabetic register"
"308071000000112"	"patient consent given for addition to diabetic register"
"308811000000110"	"referral to diabetic eye clinic"
"377001000006117"	"[x]diabetes mellitus"
"396661000006115"	"malnutrition-related diabetes mellitus with multiple complications"
"396671000006110"	"[x]malnutrit-related diabetes mellitus with unspec complics"
"479511000000117"	"diabetes type 1 review"
"479571000000110"	"diabetes type 2 review"
"479981000000119"	"referral to community diabetes specialist nurse"
"494831000000119"	"diabetes mellitus associated with cystic fibrosis"
"532331000000119"	"diabetes structured education programme completed"
"546001000000113"	"attended xpert diabetes structured education programme"
"546071000000117"	"attended dafne diabetes structured education programme"
"546151000000110"	"dafne diabetes structured education programme completed"
"546221000000114"	"desmond diabetes structured education programme completed"
"546291000000112"	"xpert diabetes structured education programme completed"
"546471000000114"	"diabetes structured education programme declined"
"546871000000112"	"referral to dafne diabetes structured education programme"
"546961000000111"	"referral to desmond diabetes structured education programme"
"547061000000110"	"referral to xpert diabetes structured education programme"
"547191000000117"	"did not attend diabetes structured education programme"
"547331000000115"	"did not complete diabetes structured education programme"
"547441000000118"	"did not complete dafne diabetes structured education program"
"548121000000116"	"did not attend dafne diabetes structured education programme"
"548131000000119"	"did not attend xpert diabetes structured education programme"
"587111000006111"	"non-insulin-dependent diabetes mellitus with ophthalm comps"
"587521000006111"	"non-insulin-dependent diabetes mellitus with renal comps"
"607851000006113"	"date diabetic treatment stopped"
"616081000006113"	"diabetes mellitus insulin-glucose infusion in acute myocardial infarction"
"616151000006118"	"diabetes mellitus - unspec whether in pregnancy/puerperium"
"616221000006117"	"diabetes mellitus in the puerperium - baby delivered during previous episode of care"
"616231000006119"	"diabetes mellitus in the puerperium - baby delivered during current episode of care"
"616351000006115"	"diabetes mellitus with gangrene"
"616381000006111"	"diabetes mellitus with ketoacidotic coma"
"616391000006114"	"nervous system disorder due to diabetes mellitus"
"616421000006118"	"eye disorder due to diabetes mellitus"
"616441000006113"	"peripheral vascular disorder due to diabetes mellitus"
"616451000006110"	"diabetes mellitus with polyneuropathy"
"616461000006112"	"diabetes mellitus with renal manifestation"
"616481000006119"	"diabetes mellitus, adult onset, + neurological manifestation"
"616491000006116"	"diabetes mellitus, adult onset, + ophthalmic manifestation"
"616501000006112"	"disorder due to type 2 diabetes mellitus"
"616511000006110"	"diabetes mellitus, adult onset, no mention of complication"
"616531000006116"	"diabetes mellitus, adult onset, with ketoacidosis"
"616541000006114"	"diabetes mellitus, adult onset, with ketoacidotic coma"
"616551000006111"	"diabetes mellitus, adult onset, with renal manifestation"
"616561000006113"	"diabetes mellitus, adult with gangrene"
"616571000006118"	"diabetes mellitus, adult, + other specified manifestation"
"616581000006115"	"diabetes mellitus, adult, + peripheral circulatory disorder"
"616591000006117"	"diabetes mellitus, juvenile +peripheral circulatory disorder"
"616601000006113"	"diabetes mellitus, juvenile type, + ophthalmic manifestation"
"616611000006111"	"disorder due to type 1 diabetes mellitus"
"616621000006115"	"type 1 diabetes mellitus without complication"
"616641000006110"	"diabetes mellitus, juvenile type, with ketoacidosis"
"616651000006112"	"diabetes mellitus, juvenile type, with ketoacidotic coma"
"616661000006114"	"diabetes mellitus, juvenile type, with renal manifestation"
"616671000006119"	"diabetes mellitus, juvenile, + neurological manifestation"
"616681000006116"	"diabetes mellitus, juvenile, + other specified manifestation"
"616691000006118"	"diabetes monitoring check done"
"616701000006118"	"diabetes monitoring telephone invite"
"616711000006115"	"diabetes monitoring verbal invite"
"616731000006114"	"diabetes monitoring first letter"
"616741000006116"	"diabetes monitoring second letter"
"616751000006119"	"diabetes monitoring third letter"
"616821000006116"	"diabetes wellbeing questionnaire"
"616831000006118"	"diabetes with gangrene"
"616891000006119"	"diabetic - moderate control"
"616921000006113"	"diabetic amyotrophy"
"616971000006114"	"diabetic charcot's arthropathy"
"617041000006117"	"diabetic foot risk assessment"
"620171000000113"	"referral to diabetes special interest general practitioner"
"622221000000118"	"maternally inherited diabetes mellitus"
"640011000006114"	"emergency diabetic admission since last appointment"
"641581000006115"	"non-insulin-dependent diabetes mellitus with retinopathy"
"674961000006118"	"peripheral circulatory disorder associated with type 2 diabetes mellitus"
"692951000000111"	"diabetic foot screen"
"719471000006119"	"malnutrit-related diabetes mellitus with unspec complics"
"719481000006116"	"malnutrit-related diabetes mellitus wth ophthalmic complicat"
"719531000006118"	"malnutrition related diabetes mellitus"
"719541000006111"	"malnutrition-related diabetes mellitus with coma"
"719561000006110"	"malnutrition-related diabetes mellitus with multiple comps"
"719571000006115"	"malnutrition-related diabetes mellitus with renal complications"
"719591000006119"	"malnutrition-related diabetes mellitus wth neuro complicatns"
"719601000006110"	"malnutrition-related diabetes mellitus with peripheral circulatory complications"
"720311000006119"	"malnutrit-relat diabetes mellitus with other spec comps"
"733161000000116"	"impaired vision due to diabetic retinopathy"
"746791000006111"	"insulin-dependent diabetes without complication"
"764191000006112"	"foot abnormality - diabetes related"
"764201000006110"	"foot abnormality - diabetes related"
"771331000006116"	"insulin dependent diabetes mellitus with arthropathy"
"771341000006114"	"insulin dependent diabetes mellitus with diabetic cataract"
"771351000006111"	"insulin dependent diabetes mellitus with gangrene"
"771361000006113"	"insulin dependent diabetes mellitus with hypoglycaemic coma"
"771371000006118"	"insulin dependent diabetes mellitus with mononeuropathy"
"771381000006115"	"insulin dependent diabetes mellitus with multiple complicatn"
"771391000006117"	"insulin dependent diabetes mellitus with nephropathy"
"771401000006115"	"insulin dependent diabetes mellitus with polyneuropathy"
"771411000006117"	"insulin dependent diabetes mellitus with retinopathy"
"771421000006113"	"insulin dependent diabetes mellitus with ulcer"
"771481000006112"	"insulin-dependent diabetes mellitus with neurological comps"
"771491000006110"	"insulin-dependent diabetes mellitus with ophthalmic comps"
"771501000006119"	"insulin-dependent diabetes mellitus with renal complications"
"772131000006111"	"insulin dependent diab mell with neuropathic arthropathy"
"772141000006118"	"insulin dependent diab mell with peripheral angiopathy"
"772151000006116"	"insulin dependent diabetes maturity onset"
"772161000006119"	"insulin dependent diabetes mellitus"
"772171000006114"	"insulin dependent diabetes mellitus"
"772181000006112"	"insulin dependent diabetes mellitus - poor control"
"777231000006119"	"diabetic monitoring - injection sites"
"840951000006119"	"insulin treated type 2 diabetes mellitus"
"840971000006112"	"diabetes mellitus autosomal dominant type ii"
"841011000006112"	"severe nonproliferative diabetic retinopathy"
"841351000006110"	"insulin treated type ii diabetes mellitus"
"845341000006111"	"diabetes: shared care in pregnancy - diabetologist and obstetrician"
"850691000006118"	"hyperosmolar non-ketotic state in type 2 diabetes mellitus"
"851051000006110"	"ins-treat non-ins-dep diab mel"
"856531000006119"	"diabetic - gp eye check"
"856551000006114"	"diabetic - hospital eye check"
"856611000006114"	"laser treated diabetic retinopathy"
"856621000006118"	"left proliferative diabetic retinopathy"
"856631000006115"	"left laser treated diabetic retinopathy"
"856641000006113"	"left diabetic maculopathy"
"856651000006110"	"left advanced diabetic retinal disease"
"856661000006112"	"left diabetic foot active ulceration"
"856681000006119"	"left diabetic foot moderate risk"
"856691000006116"	"left diabetic foot low current risk"
"856771000006110"	"patient has been told has diabetes"
"857031000006113"	"left non-proliferative diabetic retinopathy"
"857051000006118"	"left preproliferative diabetic retinopathy"
"857411000006110"	"right proliferative diabetic retinopathy"
"857421000006119"	"right laser treated diabetic retinopathy"
"857431000006116"	"right diabetic maculopathy"
"857441000006114"	"right advanced diabetic retinal disease"
"857691000006119"	"right diabetic foot active ulceration"
"857741000006117"	"right diabetic foot moderate risk"
"857761000006118"	"right diabetic foot low current risk"
"857971000006110"	"right non-proliferative diabetic retinopathy"
"857981000006113"	"right preproliferative diabetic retinopathy"
"881441000006111"	"diabetes mellitus - juvenile"
"881451000006113"	"diabetes mellitus -adult onset"
"881461000006110"	"diabetes+ketoacidosis -no coma"
"881471000006115"	"diabetes with coma"
"881481000006117"	"diabetes + nephropathy"
"881491000006119"	"diabetes + eye manifestation"
"881501000006110"	"diabetes + neuropathy"
"881511000006113"	"diabetes + periph.circulat.dis"
"881521000006117"	"diabetes + other complications"
"887971000006115"	"preg.+ diabetes mellitus"
"902201000006112"	"reaction: insulin/antidiabetic"
"905621000006113"	"[rfc] diabetes"
"906711000006116"	"[rfc] diabetic foot/leg ulcer"
"908831000006118"	"[rfc] diabetes mellitus"
"910211000006114"	"[rfc] diabetic health promotion"
"910491000006117"	"[rfc] diabetic leg ulcer"
"910501000006113"	"[rfc] diabetic foot ulcer"
"913441000006119"	"insulin-dependent diabetes mellitus with renal complications"
