"prodcode"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"bnftext"	"Antidiabetic"	"group"
"63726"	"NovoPen 5 hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units Blue (Novo Nordisk Ltd)"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Reusable Pens"	"Insulin"	"Insulin"
"34957"	"Tolbutamide 500mg tablets (A A H Pharmaceuticals Ltd)"	"Oral tablet"	"Oral"	"Tolbutamide"	"500mg"	"Sulphonylureas"	"Tolbutamide"	"Sulfonylureas"
"45045"	"NovoTwist hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/32gauge (Novo Nordisk Ltd)"	"Hypodermic Needle"	NA	"Insulin"	"5mm/32 gauge"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"	"Insulin"
"85931"	"Trurapi 100units/ml solution for injection 3ml pre-filled Solostar pens (Sanofi)"	"Solution for injection"	"Subcutaneous"	"Insulin"	"100unit/1ml"	"Short-Acting Insulins"	"Insulin"	"Insulin"
"10225"	"Lantus 100units/ml solution for injection 3ml OptiClik cartridges (Sanofi)"	"Solution for injection"	"Subcutaneous"	"Insulin"	"100unit/1ml"	"Intermediate- And Long-Acting Insulins"	"Insulin"	"Insulin"
"90172"	"Tirzepatide 5mg/0.6ml solution for injection 2.4ml pre-filled disposable devices"	"Solution for injection"	"Subcutaneous"	"Tirzepatide"	"8.333mg/1ml"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)/Dual GIP And GLP-1 Receptor Agonists"	"Tirzepatide"	"GLP-1RAs"
"10910"	"Humaject m2 100iu/ml M2 pen (Eli Lilly and Company Ltd)"	"M2 Pen"	"Subcutaneous Injection"	"Insulin"	"100iu/ml"	"Intermediate- And Long-Acting Insulins"	"Insulin"	"Insulin"
"2221"	"Mixtard 30 NovoLet 100units/ml suspension for injection (Novo Nordisk Ltd)"	"Suspension for injection"	"Intramuscular/Subcutaneous"	"Insulin"	"70unit/1ml + 30unit/1ml"	"Biphasic Insulins"	"Insulin"	"Insulin"
"12840"	"B-d u-100 0.5ml Insulin syringe (Becton, Dickinson UK Ltd)"	"Insulin Syringe"	NA	"Insulin"	"0.5ml"	"Diabetic Hypodermic Equipment"	"Insulin"	"Insulin"
"68745"	"Neon Verifine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge (Neon Diagnostics Ltd)"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"	"Insulin"
"71351"	"Lantus 100units/ml solution for injection 3ml cartridges (Waymade Healthcare Plc)"	"Solution for injection"	"Subcutaneous"	"Insulin"	"100unit/1ml"	"Intermediate- And Long-Acting Insulins"	"Insulin"	"Insulin"
"16142"	"Insulin aspart 100units/ml solution for injection 3ml cartridges"	"Solution for injection"	"Subcutaneous"	"Insulin"	"100unit/1ml"	"Short-Acting Insulins"	"Insulin"	"Insulin"
"56691"	"Insulin degludec 200units/ml solution for injection 3ml pre-filled disposable devices"	"Solution for injection"	"Subcutaneous"	"Insulin"	"200unit/1ml"	"Intermediate- And Long-Acting Insulins"	"Insulin"	"Insulin"
"44250"	"Metformin 500mg/5ml Oral solution (Hillcross Pharmaceuticals Ltd)"	"Oral solution"	"Oral"	"Metformin"	"100mg/1ml"	"Biguanides (Metformin)"	"Metformin"	"Metformin"
"70432"	"Bilxona 30mg modified-release tablets (Accord-UK Ltd)"	"Modified-release tablet"	"Oral"	"Gliclazide"	"30mg"	"Sulphonylureas"	"Gliclazide"	"Sulfonylureas"
"31267"	"INSULIN PUR-IN MIX 50/50 100 I/U INJ"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Unknown"	"Insulin"	"Insulin"
"24845"	"INSULIN PUR-IN ISOPHANE 100 I/U INJ"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Unknown"	"Insulin"	"Insulin"
"82322"	"Gliclazide 30mg modified-release tablets (Actavis UK Ltd)"	"Modified-release tablet"	"Oral"	"Gliclazide"	"30mg"	"Sulphonylureas"	"Gliclazide"	"Sulfonylureas"
"14504"	"INSULIN HYPURIN PROTAMINE ZINC 100 I/U INJ"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Unknown"	"Insulin"	"Insulin"
"82124"	"Lyumjev 100units/ml solution for injection 3ml cartridges (Eli Lilly and Company Ltd)"	"Solution for injection"	"Intravenous/Intramuscular/Subcutaneous"	"Insulin"	"100unit/1ml"	"Short-Acting Insulins"	"Insulin"	"Insulin"
"84885"	"Gliclazide 80mg tablets (Phoenix Healthcare Distribution Ltd)"	"Oral tablet"	"Oral"	"Gliclazide"	"80mg"	"Sulphonylureas"	"Gliclazide"	"Sulfonylureas"
"68415"	"Gliclazide 30mg modified-release tablets (Phoenix Healthcare Distribution Ltd)"	"Modified-release tablet"	"Oral"	"Gliclazide"	"30mg"	"Sulphonylureas"	"Gliclazide"	"Sulfonylureas"
"44473"	"Edicil MR 30mg tablets (Teva UK Ltd)"	"Modified-release tablet"	"Oral"	"Gliclazide"	"30mg"	"Sulphonylureas"	"Gliclazide"	"Sulfonylureas"
"1847"	"Chlorpropamide 250mg tablets"	"Oral tablet"	"Oral"	"Chlorpropamide"	"250mg"	"Sulphonylureas"	"Chlorpropamide"	"Sulfonylureas"
"80087"	"Empagliflozin 25mg / Linagliptin 5mg tablets"	"Oral tablet"	"Oral"	"Linagliptin/Empagliflozin"	"25mg + 5mg"	"Gliflozins Plus Gliptins"	"Linagliptin/Empagliflozin"	"DPP-4is, SGLT-2is"
"11271"	"B-d u-100 1ml Insulin syringe (Becton, Dickinson UK Ltd)"	"Insulin Syringe"	NA	"Insulin"	"1ml"	"Diabetic Hypodermic Equipment"	"Insulin"	"Insulin"
"76991"	"Humalog 100units/ml solution for injection 10ml vials (Waymade Healthcare Plc)"	"Solution for injection"	"Intravenous/Intramuscular/Subcutaneous"	"Insulin"	"100unit/1ml"	"Short-Acting Insulins"	"Insulin"	"Insulin"
"60074"	"Metformin 1g modified-release tablets (Waymade Healthcare Plc)"	"Modified-release tablet"	"Oral"	"Metformin"	"1gram"	"Biguanides (Metformin)"	"Metformin"	"Metformin"
"49172"	"NovoPen Echo hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 0.5-30 units Red (Novo Nordisk Ltd)"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Reusable Pens"	"Insulin"	"Insulin"
"67324"	"Humulin M3 100units/ml suspension for injection 3ml cartridges (Waymade Healthcare Plc)"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"30unit/1ml + 70unit/1ml"	"Biphasic Insulins"	"Insulin"	"Insulin"
"72539"	"Sitagliptin 50mg/5ml oral solution"	"Oral solution"	"Oral"	"Sitagliptin"	"10mg/1ml"	"Dipeptidyl Peptidase 4 Inhibitors (DPP 4 Inhibitors, Gliptins)"	"Sitagliptin"	"DPP-4is"
"46469"	"Bydureon 2mg powder and solvent for prolonged-release suspension for injection vials (AstraZeneca UK Ltd)"	"Powder and solvent for prolonged-release suspension for inj"	"Subcutaneous"	"Exenatide"	"2mg"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Exenatide"	"GLP-1RAs"
"32"	"Gliclazide 80mg tablets"	"Oral tablet"	"Oral"	"Gliclazide"	"80mg"	"Sulphonylureas"	"Gliclazide"	"Sulfonylureas"
"14619"	"Insulin isophane biphasic porcine 30/70 100units/ml suspension for injection 1.5ml cartridges"	"Suspension for injection"	"Intramuscular/Subcutaneous"	"Insulin"	"30unit/1ml + 70unit/1ml"	"Unknown"	"Insulin"	"Insulin"
"53251"	"NovoRapid Penfill 100units/ml solution for injection 3ml cartridges (DE Pharmaceuticals)"	"Solution for injection"	"Subcutaneous"	"Insulin"	"100unit/1ml"	"Short-Acting Insulins"	"Insulin"	"Insulin"
"70900"	"Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/32.5gauge"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"	"Insulin"
"80784"	"Invokana 100mg tablets (Pharmaram Ltd)"	"Oral tablet"	"Oral"	"Canagliflozin"	"100mg"	"SGLT2 Inhibitors (Gliflozins)"	"Canagliflozin"	"SGLT-2is"
"91847"	"t:slim t:lock 300units insulin cartridge D2011000 (Air Liquide Healthcare Ltd)"	NA	NA	"Insulin"	NA	"Insulin Pump"	"Insulin"	"Insulin"
"65421"	"TriCare hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge (Owen Mumford Ltd)"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"	"Insulin"
"56983"	"Insupen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge (Spirit Healthcare Ltd)"	"Suppository"	"Rectal"	"Insulin"	NA	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"	"Insulin"
"69548"	"Saxenda 6mg/ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd)"	"Solution for injection"	"Subcutaneous"	"Liraglutide"	"6mg/1ml"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Liraglutide"	"GLP-1RAs"
"18592"	"Insulin soluble bovine 100units/ml solution for injection 10ml vials"	"Solution for injection"	"Subcutaneous/Intravenous/Intramuscular"	"Insulin"	"100unit/1ml"	"Short-Acting Insulins/Diabetic Ketoacidosis"	"Insulin"	"Insulin"
"26218"	"Calabren 5mg Tablet (Berk Pharmaceuticals Ltd)"	"Oral tablet"	"Oral"	"Glibenclamide"	"5mg"	"Sulphonylureas"	"Glibenclamide"	"Sulfonylureas"
"50570"	"Glucophage SR 500mg tablets (Lexon (UK) Ltd)"	"Modified-release tablet"	"Oral"	"Metformin"	"500mg"	"Biguanides (Metformin)"	"Metformin"	"Metformin"
"7318"	"Humalog 100units/ml solution for injection 3ml cartridges (Eli Lilly and Company Ltd)"	"Solution for injection"	"Intravenous/Intramuscular/Subcutaneous"	"Insulin"	"100unit/1ml"	"Short-Acting Insulins"	"Insulin"	"Insulin"
"6958"	"Levemir FlexPen 100units/ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd)"	"Solution for injection"	"Subcutaneous"	"Insulin"	"100unit/1ml"	"Intermediate- And Long-Acting Insulins"	"Insulin"	"Insulin"
"24795"	"Insulin aspart biphasic 30/70 100units/ml suspension for injection 3ml cartridges"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"30unit/1ml + 70unit/1ml"	"Biphasic Insulins"	"Insulin"	"Insulin"
"16700"	"Insulin zinc mixed bovine vial 100unit/ml Sterile suspension injection"	"Sterile Suspension Injection"	"Subcutaneous Injection"	"Insulin"	"100unit/ml"	"Intermediate- And Long-Acting Insulins"	"Insulin"	"Insulin"
"63785"	"Dulaglutide 0.75mg/0.5ml solution for injection pre-filled disposable devices"	"Solution for injection"	"Subcutaneous"	"Dulaglutide"	"1.5mg/1ml"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Dulaglutide"	"GLP-1RAs"
"84314"	"Lyumjev KwikPen 200units/ml solution for injection 3ml pre-filled pens (Eli Lilly and Company Ltd)"	"Solution for injection"	"Subcutaneous"	"Insulin"	"200unit/1ml"	"Short-Acting Insulins"	"Insulin"	"Insulin"
"5345"	"Monoject hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 12mm needle 0.36mm/28gauge (Covidien (UK) Commercial Ltd)"	"Insulin Syringe With 12Mm Needle(28G)"	NA	"Insulin"	"0.5ml"	"U100 Insulin Syringe With Needle Sterile Single-Use Or Single Patient Use"	"Insulin"	"Insulin"
"35468"	"Insuman Basal 100units/ml suspension for injection 5ml vials (Sanofi)"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"100unit/1ml"	"Intermediate- And Long-Acting Insulins"	"Insulin"	"Insulin"
"13516"	"Hypurin bovine isophane 100unit/ml Injection (C P Pharmaceuticals Ltd)"	"Suspension for injection"	"Intramuscular/Subcutaneous"	"Insulin"	"100unit/1ml"	"Intermediate- And Long-Acting Insulins"	"Insulin"	"Insulin"
"63707"	"GlucoRx FinePoint Ultra hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge (GlucoRx Ltd)"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"	"Insulin"
"41558"	"Glibenclamide 5mg tablets (Teva UK Ltd)"	"Oral tablet"	"Oral"	"Glibenclamide"	"5mg"	"Sulphonylureas"	"Glibenclamide"	"Sulfonylureas"
"69440"	"Neon Verifine Ultra hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge (Neon Diagnostics Ltd)"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"	"Insulin"
"10067"	"Insulin biphasic aspart human pyr 30:70; 100 units/ml Injection"	"Injection"	"Intramuscular"	"Insulin"	"30:70; 100 units/ml"	"Intermediate- And Long-Acting Insulins"	"Insulin"	"Insulin"
"54886"	"Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/32gauge"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"	"Insulin"
"65638"	"Glucoject hypodermic insulin needles for pre-filled / reusable pen injectors screw on 10mm/29gauge (A. Menarini Diagnostics Ltd)"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"	"Insulin"
"63031"	"Dapagliflozin 5mg / Metformin 850mg tablets"	"Oral tablet"	"Oral"	"Dapagliflozin/Metformin"	"850mg + 5mg"	"Gliflozins Plus Metformin"	"Dapagliflozin/Metformin"	"SGLT-2is, Metformin"
"69583"	"Humalog Mix25 100units/ml suspension for injection 3ml cartridges (Waymade Healthcare Plc)"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"25unit/1ml + 75unit/1ml"	"Intermediate- And Long-Acting Insulins"	"Insulin"	"Insulin"
"21424"	"Glibenclamide 5mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Glibenclamide"	"1mg/1ml"	"Sulphonylureas"	"Glibenclamide"	"Sulfonylureas"
"45215"	"Gliclazide 80mg Tablet (Neo Laboratories Ltd)"	"Oral tablet"	"Oral"	"Gliclazide"	"80mg"	"Sulphonylureas"	"Gliclazide"	"Sulfonylureas"
"24554"	"Unifine single use Insulin syringe with 30gauge needle 8mm 0.3ml (Owen Mumford Ltd)"	"Insulin Syringe With 30Gauge Needle 8Mm"	NA	"Insulin"	"0.3ml"	"Diabetic Hypodermic Equipment"	"Insulin"	"Insulin"
"91941"	"Sitagliptin 100mg tablets (Genus Pharmaceuticals Ltd)"	"Oral tablet"	"Oral"	"Sitagliptin"	"100mg"	"Dipeptidyl Peptidase 4 Inhibitors (DPP 4 Inhibitors, Gliptins)"	"Sitagliptin"	"DPP-4is"
"60073"	"Canagliflozin 100mg tablets"	"Tablet"	"Oral"	"Canagliflozin"	NA	"Unknown"	"Canagliflozin"	"SGLT-2is"
"10915"	"Humaject m1 100iu/ml M1 pen (Eli Lilly and Company Ltd)"	"M1 Pen"	"Subcutaneous Injection"	"Insulin"	"100iu/ml"	"Intermediate- And Long-Acting Insulins"	"Insulin"	"Insulin"
"24722"	"INSULIN ISOPHANE 50%/NEUTRAL 50% 100 I/U INJ"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Unknown"	"Insulin"	"Insulin"
"82533"	"Humulin S 100units/ml solution for injection 10ml vials (Waymade Healthcare Plc)"	"Solution for injection"	"Intravenous/Subcutaneous"	"Insulin"	"100unit/1ml"	"Short-Acting Insulins"	"Insulin"	"Insulin"
"72324"	"GlucoRx CarePoint Ultra hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge (GlucoRx Ltd)"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"	"Insulin"
"90626"	"Ozempic 1mg/0.74ml solution for injection 3ml pre-filled pens (Pharmaram Ltd)"	"Solution for injection"	"Subcutaneous"	"Semaglutide"	"1.34mg/1ml"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Semaglutide"	"GLP-1RAs"
"1592"	"Actrapid penfill 100 100iu/ml Penfill (Novo Nordisk Ltd)"	"Penfill"	"Subcutaneous Injection"	"Insulin"	"100iu/ml"	"Short-Acting Insulins/Diabetic Ketoacidosis"	"Insulin"	"Insulin"
"80319"	"Empagliflozin 10mg / Linagliptin 5mg tablets"	"Oral tablet"	"Oral"	"Linagliptin/Empagliflozin"	"10mg + 5mg"	"Gliflozins Plus Gliptins"	"Linagliptin/Empagliflozin"	"DPP-4is, SGLT-2is"
"48149"	"Metformin 500mg tablets (Almus Pharmaceuticals Ltd)"	"Oral tablet"	"Oral"	"Metformin"	"500mg"	"Biguanides (Metformin)"	"Metformin"	"Metformin"
"11284"	"Amaryl 4mg tablets (Zentiva Pharma UK Ltd)"	"Oral tablet"	"Oral"	"Glimepiride"	"4mg"	"Sulphonylureas"	"Glimepiride"	"Sulfonylureas"
"24002"	"Insuman Comb 25 100units/ml suspension for injection 5ml vials (Sanofi)"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"25unit/1ml + 75unit/1ml"	"Biphasic Insulins"	"Insulin"	"Insulin"
"74860"	"NovoNorm 1mg tablets (Waymade Healthcare Plc)"	"Oral tablet"	"Oral"	"Repaglinide"	"1mg"	"Meglitinides (Glinides)"	"Repaglinide"	"Other"
"48342"	"HumaPen Luxura hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units Burgundy (Eli Lilly and Company Ltd)"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Reusable Pens"	"Insulin"	"Insulin"
"58865"	"Komboglyze 2.5mg/850mg tablets (AstraZeneca UK Ltd)"	"Oral tablet"	"Oral"	"Saxagliptin/Metformin"	"850mg + 2.5mg"	"Gliptins Plus Metformin"	"Saxagliptin/Metformin"	"DPP-4is, Metformin"
"61562"	"Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/29gauge"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"	"Insulin"
"21554"	"Insuman comb 50 100iu/ml Injection (Aventis Pharma)"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"50unit/1ml + 50unit/1ml"	"Intermediate- And Long-Acting Insulins"	"Insulin"	"Insulin"
"62661"	"Bydureon 2mg powder and solvent for prolonged-release suspension for injection pre-filled pens (AstraZeneca UK Ltd)"	"Powder and solvent for prolonged-release suspension for inj"	"Subcutaneous"	"Exenatide"	"2mg"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Exenatide"	"GLP-1RAs"
"51650"	"Omnican Fine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge (B.Braun Medical Ltd)"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"	"Insulin"
"11107"	"Humulin m4 100unit/ml M4 injection (Eli Lilly and Company Ltd)"	"M4 Injection"	"Subcutaneous Injection"	"Insulin"	"100unit/ml"	"Intermediate- And Long-Acting Insulins"	"Insulin"	"Insulin"
"82475"	"NovoMix 30 FlexPen 100units/ml suspension for injection 3ml pre-filled pens (Waymade Healthcare Plc)"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"30unit/1ml + 70unit/1ml"	"Biphasic Insulins"	"Insulin"	"Insulin"
"11609"	"Metformin with rosiglitazone 500mg + 1mg Tablet"	"Tablet"	"Oral"	"Metformin/Rosiglitazone"	"500mg + 1mg"	"Biguanides (Metformin)/Other Antidiabetic Products"	"Metformin/Rosiglitazone"	"Metformin, Other"
"35149"	"Exenatide 10micrograms/0.04ml solution for injection 2.4ml pre-filled disposable devices"	"Solution for injection"	"Subcutaneous"	"Exenatide"	"250microgram/1ml"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Exenatide"	"GLP-1RAs"
"60938"	"Mixtard 30 100units/ml suspension for injection 10ml vials (Waymade Healthcare Plc)"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"30unit/1ml + 70unit/1ml"	"Biphasic Insulins"	"Insulin"	"Insulin"
"43065"	"Gliclazide 40mg tablets"	"Oral tablet"	"Oral"	"Gliclazide"	"40mg"	"Sulphonylureas"	"Gliclazide"	"Sulfonylureas"
"12300"	"SYRINGE INSULIN (BS1619/1) 2ML"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Unknown"	"Insulin"	"Insulin"
