prodcodeid	productname
722841000033112	Humulin M5 100units/ml suspension for injection 10ml vials
722941000033116	Human Mixtard 30 Ge  Injection
723241000033118	Humalog 100units/ml solution for injection 10ml vials
724041000033112	Humulin I 100units/ml suspension for injection 10ml vials
724141000033111	Humulin M1  Injection
724241000033116	Humulin M2  Injection
724341000033114	Humulin S 100units/ml solution for injection 10ml vials
724541000033119	Humulin Zn 100units/ml suspension for injection 10ml vials
725041000033113	Human Actraphane(Nova)  Injection
725141000033112	Human Initard 50/50 Insulin  Injection  100 units/ml
725241000033117	Humulin M4  Injection
725341000033110	Humulin M3 100units/ml suspension for injection 10ml vials
725541000033115	Human Velosulin  Injection  100 u/ml
725841000033118	Humulin Lente 100units/ml suspension for injection 10ml vials
725941000033114	Human Actrapid  Injection  100 units/ml
726041000033116	Human Mixtard 30  Injection  10 ml vial
726141000033117	Human Mixtard 10  Penfill cartridges (3 ml)
726241000033112	Human Mixtard 20  Penfill cartridges (3 ml)
726341000033119	Human Mixtard 30  Penfill cartridges (3 ml)
726441000033113	Human Mixtard 40  Penfill cartridges (3 ml)
726541000033114	Human Mixtard 50  Penfill cartridges (3 ml)
726641000033110	Human Insulatard Ge  Penfill cartridges (3 ml)  100 units/ml
726941000033115	Human Insulatard Ge  Preloaded pen  100 units/ml
727041000033119	HumaJect S Pen 100units/ml solution for injection
727141000033115	Humaject (Humulin M1)  Preloaded pen
727241000033110	Humaject (Humulin M2)  Preloaded pen
727341000033117	HumaJect M3 Pen 100units/ml suspension for injection
727441000033111	Humaject (Humulin M4)  Preloaded pen
727541000033112	Humaject (Humulin M5)  Preloaded pen
727641000033113	Humaject (Humulin I)  Preloaded pen  100 units/ml
734841000033115	Hypurin Porcine Biphasic Isophane  Injection (cartridges)
734941000033111	Hypurin Porcine Isophane 100units/ml suspension for injection 10ml vials
735241000033115	Hypurin Bovine Lente  Injection (cartridges)  100 i.u./ml
735441000033119	Hypurin Porcine Neutral 100units/ml solution for injection 10ml vials
735841000033116	Hypurin Bovine Isophane 100units/ml suspension for injection 10ml vials
735941000033112	Hypurin Bovine Lente 100units/ml suspension for injection 10ml vials
736041000033119	Hypurin Bovine Neutral 100units/ml solution for injection 10ml vials
736141000033115	Hypurin Bovine Protamine Zinc 100units/ml suspension for injection 10ml vials
741441000033115	Hypodermic Insulin  Syringe
757641000033112	Insulin lispro 100units/ml solution for injection 1.5ml cartridges
758341000033117	Insulin Syringe  Click-count  1 ml
758441000033111	Insulin Syringe  Disposable  0.5 ml
758541000033112	Insulin Syringe  Disposable  1 ml
759841000033115	Insulin Zinc Suspension (Human)  Injection  100 units/ml, 10 ml vial
762441000033118	Insulin lispro 100units/ml solution for injection 10ml vials
763341000033116	Pork Insulatard 100units/ml suspension for injection 10ml vials
763941000033117	Insulin Zinc Suspension  Injection  100 units/ml
764941000033119	Insulin Zinc Suspension Lente (Evans)  Injection  100u/ml
766241000033115	Insulin Syringe  Pre-set  1 ml
766741000033114	Insulin Syringe  Re-usable  0.5 ml
766841000033116	Insulin Syringe  Re-usable  1 ml
776041000033117	Isophane Insulin (Human, Prb)  Cartridges  100 units/ml
779141000033111	Insulin isophane human 100units/ml suspension for injection 10ml vials
779641000033118	Isophane Insulin Injection (Evans)  Injection  100 units/ml
779841000033117	Isophane Insulin  Injection  100 units/ml
823541000033119	Lentard Mc  Injection  100 units/ml, 10 ml vial
896941000033112	Metformin 500mg tablets
897041000033113	Metformin 850mg tablets
915641000033117	Pork Mixtard 30 100units/ml suspension for injection 10ml vials
920141000033112	Minodiab 2.5mg tablets
920241000033117	Minodiab 5mg tablets
924541000033112	Monoject hypodermic U100 insulin syringe sterile single use / single patient use 1ml with 12mm needle 0.36mm/28gauge
926541000033117	Monotard Mc Insulin Zinc Susp Bp Nova  Injection  100 units/1 ml
961041000033114	Neutral Insulin  Injection  100 units/ml
961141000033113	Neutral Insulin (Human)  Injection  100 units/ml
962241000033112	Neutral Insulin (Evans)  Injection  100 units/ml
1052941000033117	Human Mixtard 10  Injection
1053041000033110	Human Mixtard 20  Injection
1053141000033114	Human Mixtard 40  Injection
1053241000033119	Human Mixtard 50  Injection
1053541000033117	Human Mixtard 30  Injection (cartridges)  100 u/ml
1061641000033113	Human Mixtard 30  Preloaded pen
1061741000033116	Human Mixtard 10  Preloaded pen
1061841000033114	Human Mixtard 20  Preloaded pen
1061941000033118	Human Mixtard 40  Preloaded pen
1062041000033112	Human Mixtard 50  Preloaded pen
1119741000033114	Insulin protamine zinc bovine 100units/ml suspension for injection 10ml vials
1152741000033110	Rapitard Mc (Novo)  Injection  100 units/ml
1240741000033113	Sabre Disposable  Insulin syringe  0.5 ml
1240841000033115	Sabre Disposable  Insulin syringe  1 ml
1278041000033114	Semi-Daonil 2.5mg tablets
1415541000033116	Terumo  Disposable insulin syringe  0.5 ml
1419541000033119	Tempulin (Boots)  Injection  100 units/ml
1450941000033113	Tolbutamide 500mg tablets
1480541000033110	Hypodermic U100 insulin syringe sterile single use / single patient use 0.3ml with not less than 12mm needle 0.33mm/29gauge
1480641000033111	U100 Insulin Sterile, Single Use  Syringes with 12mm needle  0.3 ml, 0.36 mm/28g
1480741000033119	U100 Insulin Sterile, Single Use  Syringes with 12mm needle  0.3 ml, 0.4 mm/27g
1480841000033112	U100 Insulin Sterile, Single Use  Syringes with 12mm needle  0.3 ml, 0.45 mm/26g
1480941000033116	Hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with not less than 12mm needle 0.33mm/29gauge
1481041000033114	Hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with not less than 12mm needle 0.36mm/28gauge
1481141000033113	Hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with not less than 12mm needle 0.4mm/27gauge
1481241000033118	U100 Insulin Sterile, Single Use  Syringes with 12mm needle  0.5 ml, 0.45 mm/26g
1481341000033111	U100 Insulin Sterile, Single Use  Syringes with needle  0.36 x 13 mm/28g ref no443723113
1490141000033119	Unifine hypodermic U100 insulin syringe sterile single use / single patient use 0.3ml with 12mm needle 0.33mm/29gauge
1507441000033119	Human Velosulin  Injection  100 u/ml
1508341000033112	Pork Velosulin  Injection  100 units/ml
1508441000033118	Velosulin Cartridge (Nordisk Wellcome)  Injection  100 units/ml
1577541000033112	BD Micro-Fine + hypodermic insulin needles for pre-filled / reusable pen injectors screw on 12.7mm/29gauge
1602941000033117	Diaglyk 80mg tablets
1615941000033113	Humulin I 100units/ml suspension for injection 3ml cartridges
1616041000033115	Humulin S 100units/ml solution for injection 3ml cartridges
1616141000033116	Humulin M1  Cartridges (3 Ml)
1616241000033111	Humulin M2 100units/ml suspension for injection 3ml cartridges
1616341000033118	Humulin M3 100units/ml suspension for injection 3ml cartridges
1616441000033112	Humulin M4  Cartridges (3 Ml)
1620641000033115	Isophane Insulin (Human Pyr)  Injection  100 units/ml, 10 ml vial
1621141000033118	Isophane Insulin (Human Pyr)  Penfill Cartridges (1.5 Ml)  100 units/ml
1621241000033113	Isophane Insulin (Human Pyr)  Penfill cartridges (3 ml)  100 units/ml
1621341000033115	Isophane Insulin (Human Pyr)  Preloaded pen  100 units/ml
1659941000033116	NovoNorm 500microgram tablets
1660041000033118	NovoNorm 1mg tablets
1660141000033119	NovoNorm 2mg tablets
1672741000033112	Repaglinide 1mg tablets
1672841000033119	Repaglinide 2mg tablets
1672941000033110	Repaglinide 500microgram tablets
1703341000033115	Hypodermic U100 insulin syringe sterile single use / single patient use 0.3ml with 8mm needle 0.3mm/30gauge
1703441000033114	Hypodermic U100 insulin syringe sterile single use / single patient use 1ml with not less than 12mm needle 0.33mm/29gauge
1703541000033110	Hypodermic U100 insulin syringe sterile single use / single patient use 1ml with not less than 12mm needle 0.36mm/28gauge
1703641000033111	Hypodermic U100 insulin syringe sterile single use / single patient use 1ml with not less than 12mm needle 0.4mm/27gauge
1703741000033119	U100 Insulin Sterile, Single Use  Syringes with 12mm needle  1 ml, 0.45 mm/26g
1703841000033112	Hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 8mm needle 0.3mm/30gauge
1714041000033116	Human Insulatard Penfill 100units/ml suspension for injection 1.5ml cartridges
1717041000033114	BD Micro-Fine + hypodermic U100 insulin syringe sterile single use / single patient use 0.3ml with 8mm needle 0.3mm/30gauge
1717141000033113	BD Micro-Fine + hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 8mm needle 0.3mm/30gauge
1717341000033111	BD Micro-Fine + hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 12.7mm needle 0.33mm/29gauge
1717441000033117	BD Micro-Fine + hypodermic U100 insulin syringe sterile single use / single patient use 1ml with 12.7mm needle 0.33mm/29gauge
1736841000033114	Humalog 100units/ml solution for injection 3ml cartridges
1736941000033118	Humalog Mix25 100units/ml suspension for injection 3ml cartridges
1737041000033117	Humalog Mix25 Pen 100units/ml suspension for injection 3ml pre-filled pens
1739941000033110	Insulin lispro 100units/ml solution for injection 3ml cartridges
1749441000033116	Pork Actrapid 100units/ml solution for injection 10ml vials
1818141000033110	Human Mixtard 10 Penfill 100units/ml suspension for injection 1.5ml cartridges
1818241000033115	Human Mixtard 20 Penfill 100units/ml suspension for injection 1.5ml cartridges
1818341000033113	Human Mixtard 30 Penfill 100units/ml suspension for injection 1.5ml cartridges
1818441000033119	Human Mixtard 40 Penfill 100units/ml suspension for injection 1.5ml cartridges
1818541000033118	Human Mixtard 50 Penfill 100units/ml suspension for injection 1.5ml cartridges
1821441000033116	Insulin isophane porcine 100units/ml suspension for injection 10ml vials
1821541000033115	Insulin isophane porcine 100units/ml suspension for injection 3ml cartridges
1821641000033119	Insulin isophane bovine 100units/ml suspension for injection 10ml vials
1821741000033111	Insulin isophane bovine 100units/ml suspension for injection 3ml cartridges
1821841000033118	Bd-Microfine +  Needles for insulin pens  5 mm/31 gauge
1844541000033119	BD Micro-Fine + hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge
1861941000033119	Insulin aspart 100units/ml solution for injection 10ml vials
1862041000033113	Insulin aspart 100units/ml solution for injection 3ml cartridges
1862141000033112	Insulin Aspart  Prefilled syringes  100 units/ml
1862241000033117	NovoRapid 100units/ml solution for injection 10ml vials
1862341000033110	NovoRapid Penfill 100units/ml solution for injection 3ml cartridges
1862441000033116	NovoRapid Novolet 100units/ml solution for injection
1906641000033110	Disposable  Insulin syringe with needle  0.3 ml
1923241000033113	NovoFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge
1923341000033115	NovoFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 12mm/28gauge
1923441000033114	NovoFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/30gauge
1923541000033110	NovoFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/30gauge
2011641000033110	Unifine Pentips hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge
2011741000033118	Unifine Pentips hypodermic insulin needles for pre-filled / reusable pen injectors screw on 12mm/29gauge
2016741000033113	Autopen hypodermic insulin injection pen reusable for 1.5ml cartridge 1 unit dial up / range 1-16 units
2016841000033115	Autopen hypodermic insulin injection pen reusable for 1.5ml cartridge 2 unit dial up / range 2-32 units
2016941000033111	Autopen Classic hypodermic insulin injection pen reusable for 3ml cartridge 2 unit dial up / range 2-42 units
2017041000033112	NovoPen 3 Classic hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 2-70 units
2017141000033111	NovoPen 3 Fun hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 2-70 units
2017241000033116	NovoPen 3 Fun hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 2-70 units
2018841000033116	Hypurin Porcine 30/70 Mix 100units/ml suspension for injection 10ml vials
2018941000033112	Hypurin Porcine 30/70 Mix 100units/ml suspension for injection 1.5ml cartridges
2034441000033116	Insuman Rapid 100units/ml solution for injection 5ml vials
2034641000033119	Insuman Rapid 100units/ml solution for injection 3ml cartridges
2035241000033118	Insuman Basal 100units/ml suspension for injection 5ml vials
2035441000033117	Insuman Basal 100units/ml suspension for injection 3ml cartridges
2035541000033116	Insuman Comb 25 100units/ml suspension for injection 5ml vials
2035641000033115	Insuman Comb 25 100units/ml suspension for injection 3ml cartridges
2052341000033117	Optipen Pro 1 hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units
2088441000033116	NovoPen 3 Demi hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 1-35 units
2147541000033115	Rosiglitazone 4mg tablets
2147641000033119	Rosiglitazone 8mg tablets
2147741000033111	Avandia 4mg tablets
2147841000033118	Avandia 8mg tablets
2158441000033118	Insuman Comb 15 100units/ml suspension for injection 5ml vials
2158541000033117	Insuman Comb 15 100units/ml suspension for injection 3ml cartridges
2158641000033116	Insuman Comb 50 100units/ml suspension for injection 5ml vials
2158741000033113	Insuman Comb 50 100units/ml suspension for injection 3ml cartridges
2182141000033117	Humalog Mix50 Pen 100units/ml suspension for injection 3ml pre-filled pens
2182241000033112	Insulin lispro 100units/ml solution for injection 3ml pre-filled disposable devices
2182341000033119	Humalog Pen 100units/ml solution for injection 3ml pre-filled pens
2182441000033113	Humulin I Pen 100units/ml suspension for injection 3ml pre-filled pens
2190741000033115	Pioglitazone 15mg tablets
2190841000033113	Pioglitazone 30mg tablets
2190941000033117	Actos 15mg tablets
2191041000033110	Actos 30mg tablets
2194041000033112	Autopen Classic hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-21 units
2266841000033110	Insuman Basal 100units/ml suspension for injection 3ml pre-filled OptiSet pens
2266941000033119	Insuman Rapid 100units/ml solution for injection 3ml pre-filled OptiSet pens
2267041000033118	Insuman Comb 15 100units/ml suspension for injection 3ml pre-filled OptiSet pens
2267141000033119	Insuman Comb 25 100units/ml suspension for injection 3ml pre-filled OptiSet pens
2267241000033114	Insuman Comb 50 100units/ml suspension for injection 3ml pre-filled OptiSet pens
2284041000033113	Innovo hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-70 units
2284141000033112	Innovo hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-70 units
2288241000033112	Nateglinide 60mg tablets
2288341000033119	Nateglinide 120mg tablets
2288441000033113	Nateglinide 180mg tablets
2288541000033114	Starlix 60mg tablets
2288641000033110	Starlix 120mg tablets
2288741000033118	Starlix 180mg tablets
2289441000033115	Gliclazide 30mg modified-release tablets
2289941000033113	Diamicron 30mg MR tablets
2527841000033114	Penfine  Needles for insulin pens  31g, 6 mm
2527941000033118	Penfine  Needles for insulin pens  31g, 8 mm
2528041000033115	Penfine  Needles for insulin pens  29g, 10 mm
2528141000033116	Penfine  Needles for insulin pens  29g, 12 mm
2620241000033119	Metformin 500mg/5ml oral suspension
2625441000033112	Novopen Junior hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 1-35 units
2625541000033113	Novopen Junior hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 1-35 units
2644641000033113	Insulatard InnoLet 100units/ml suspension for injection 3ml pre-filled pens
2644741000033116	Mixtard 30 InnoLet 100units/ml suspension for injection 3ml pre-filled pens
2655041000033116	Autopen Junior hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-21 units
2655141000033117	Autopen Junior hypodermic insulin injection pen reusable for 3ml cartridge 2 unit dial up / range 2-42 units
2719341000033116	Unifine Pentips hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge
2724741000033111	NovoMix 30 Penfill 100units/ml suspension for injection 3ml cartridges
2724841000033118	NovoMix 30 FlexPen 100units/ml suspension for injection 3ml pre-filled pens
2742941000033119	Autopen Special Edition hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-21 units
2743041000033112	Autopen Special Edition hypodermic insulin injection pen reusable for 3ml cartridge 2 unit dial up / range 2-42 units
2780741000033111	Lantus 100units/ml solution for injection 10ml vials
2780841000033118	Lantus 100units/ml solution for injection 3ml cartridges
2780941000033114	Lantus 100units/ml solution for injection 3ml pre-filled OptiSet pens
2796641000033115	NovoRapid FlexPen 100units/ml solution for injection 3ml pre-filled pens
2796741000033112	Insulatard FlexPen 100units/ml suspension for injection
2798841000033115	Insulin glargine 100units/ml solution for injection 10ml vials
2798941000033111	Insulin glargine 100units/ml solution for injection 3ml cartridges
2799041000033119	Insulin glargine 100units/ml solution for injection 3ml pre-filled disposable devices
2868141000033110	Humulin 80/20  Injection  100 units/ml, 10 ml vial
2868241000033115	Humulin 70/30  Injection  100 units/ml, 10 ml vial
2868441000033119	Humulin 50/50  Injection  100 units/ml, 10 ml vial
2874541000033119	HumaPen Ergo hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units
2874641000033118	HumaPen Ergo hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units
2884141000033118	Autopen 24 hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-21 units
2884241000033113	Autopen 24 hypodermic insulin injection pen reusable for 3ml cartridge 2 unit dial up / range 2-42 units
2916941000033119	Hypurin Bovine Neutral 100units/ml solution for injection 3ml cartridges
2917041000033118	Hypurin Bovine Isophane 100units/ml suspension for injection 3ml cartridges
2917141000033119	Hypurin Porcine Neutral 100units/ml solution for injection 3ml cartridges
2917241000033114	Hypurin Porcine Isophane 100units/ml suspension for injection 3ml cartridges
2917341000033116	Hypurin Porcine 30/70 Mix 100units/ml suspension for injection 3ml cartridges
2952841000033116	Actrapid 100units/ml solution for injection 10ml vials
2952941000033112	Actrapid NovoLet 100units/ml solution for injection
2953041000033119	Actrapid Penfill 100units/ml solution for injection 3ml cartridges
2953141000033115	Insulatard NovoLet 100units/ml suspension for injection
2953241000033110	Insulatard 100units/ml suspension for injection 10ml vials
2953341000033117	Insulatard Penfill 100units/ml suspension for injection 3ml cartridges
2953441000033111	Mixtard 10 NovoLet 100units/ml suspension for injection
2953541000033112	Mixtard 10 Penfill 100units/ml suspension for injection 3ml cartridges
2953641000033113	Mixtard 20 NovoLet 100units/ml suspension for injection
2953741000033116	Mixtard 20 Penfill 100units/ml suspension for injection 3ml cartridges
2953841000033114	Mixtard 30 NovoLet 100units/ml suspension for injection
2953941000033118	Mixtard 30 100units/ml suspension for injection 10ml vials
2954041000033116	Mixtard 30 Penfill 100units/ml suspension for injection 3ml cartridges
2954141000033117	Mixtard 40 NovoLet 100units/ml suspension for injection
2954241000033112	Mixtard 40 Penfill 100units/ml suspension for injection 3ml cartridges
2954341000033119	Mixtard 50 NovoLet 100units/ml suspension for injection
2954441000033113	Mixtard 50  Injection  100 units/ml, 10 ml vial
2954541000033114	Mixtard 50 Penfill 100units/ml suspension for injection 3ml cartridges
2954641000033110	Velosulin 100units/ml solution for injection 10ml vials
2954741000033118	Monotard 100units/ml suspension for injection 10ml vials
2954841000033111	Ultratard 100units/ml suspension for injection 10ml vials
2995141000033110	Avandamet 1mg/500mg tablets
2995241000033115	Avandamet 2mg/500mg tablets
2995941000033112	Pioglitazone 45mg tablets
2996041000033119	Actos 45mg tablets
3111041000033116	Hypodermic U100 insulin syringe sterile single use / single patient use 1ml with 8mm needle 0.3mm/30gauge
3111141000033117	U100 Insulin Sterile, Single Use  Syringes with 8mm needles  1 ml, 0.33 mm/29g
3111241000033112	U100 Insulin Sterile, Single Use  Syringes with 8mm needles  0.3 ml, 0.33 mm/29g
3111341000033119	U100 Insulin Sterile, Single Use  Syringes with 8mm needles  0.5 ml, 0.33 mm/29g
3136941000033116	Insulin detemir 100units/ml solution for injection 3ml pre-filled disposable devices
3137041000033115	Insulin detemir 100units/ml solution for injection 3ml cartridges
3137141000033116	Levemir Penfill 100units/ml solution for injection 3ml cartridges
3137241000033111	Levemir FlexPen 100units/ml solution for injection 3ml pre-filled pens
3141641000033116	BD Micro-Fine + hypodermic U100 insulin syringe sterile single use / single patient use 1ml with 8mm needle 0.3mm/30gauge
3191341000033115	Rosiglitazone 1mg / Metformin 500mg tablets
3191441000033114	Rosiglitazone 2mg / Metformin 500mg tablets
3200541000033116	Rosiglitazone 2mg / Metformin 1g tablets
3200641000033115	Rosiglitazone 4mg / Metformin 1g tablets
3200741000033112	Avandamet 2mg/1000mg tablets
3200841000033119	Avandamet 4mg/1000mg tablets
3228141000033117	Metformin 500mg modified-release tablets
3228241000033112	Glucophage SR 500mg tablets
3277741000033118	Insulin aspart 100units/ml solution for injection 3ml pre-filled disposable devices
3333841000033113	Humulin M3 Pen 100units/ml suspension for injection 3ml pre-filled pens
3345641000033114	Insulin glulisine 100units/ml solution for injection 10ml vials
3345741000033117	Insulin glulisine 100units/ml solution for injection 3ml cartridges
3345841000033110	Apidra 100units/ml solution for injection 10ml vials
3345941000033119	Apidra 100units/ml solution for injection 3ml cartridges
3852741000033110	Comfort Point  Needles for insulin pens  6 mm/31 gauge
3852841000033117	Comfort Point  Needles for insulin pens  8 mm/31 gauge
3852941000033113	Comfort Point  Needles for insulin pens  12 mm/29 gauge
3869341000033114	Lantus 100units/ml solution for injection 3ml OptiClik cartridges
3890941000033116	Metformin Hydrochloride  Sugar free suspension  500 mg/5 ml
3914241000033112	Insulin glulisine 100units/ml solution for injection 3ml pre-filled disposable devices
3914341000033119	Apidra Optiset  Pre-filled Disposable Pen  100 units/ml, 3 ml pen
3922641000033111	Humalog Mix50 100units/ml suspension for injection 3ml cartridges
3938341000033116	Exubera  Insulin Release Units  box of 6
3945141000033114	Exubera 1mg inhalation powder blisters
3945241000033119	Exubera 3mg inhalation powder blisters
3953041000033113	Gliclazide 80mg/5ml oral suspension
3963941000033117	Apidra 100units/ml solution for injection 3ml OptiClik cartridges
3982341000033110	Metformin 500mg/5ml oral solution sugar free
3982441000033116	Metsol 500mg/5ml oral solution
3983941000033115	Pioglitazone 15mg / Metformin 850mg tablets
3984241000033114	Competact 15mg/850mg tablets
3993941000033119	Prandin 0.5mg tablets
3994041000033117	Prandin 1mg tablets
3994141000033118	Prandin 2mg tablets
4126541000033110	Levemir InnoLet 100units/ml solution for injection 3ml pre-filled pens
4128441000033113	NovoFine Autocover hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/30gauge
4133241000033117	Sitagliptin 100mg tablets
4133341000033110	Januvia 100mg tablets
4138941000033118	OptiClik hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-80 units
4139041000033110	OptiClik hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-80 units
4149341000033111	Exenatide 5micrograms/0.02ml solution for injection 1.2ml pre-filled disposable devices
4149441000033117	Exenatide 10micrograms/0.04ml solution for injection 2.4ml pre-filled disposable devices
4149541000033116	Byetta 5micrograms/0.02ml solution for injection 1.2ml pre-filled pens
4149641000033115	Byetta 10micrograms/0.04ml solution for injection 2.4ml pre-filled pens
4258541000033111	Lantus 100units/ml solution for injection 3ml pre-filled SoloStar pens
4258641000033112	Apidra 100units/ml solution for injection 3ml pre-filled SoloStar pens
4269741000033117	Vildagliptin 50mg tablets
4269941000033119	Galvus 50mg tablets
4270841000033113	Human Actrapid  Injection  500 units/ml, 10 ml vial
4405741000033115	HumaPen Luxura HD hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 1-30 units
4423041000033114	Humulin R 500units/ml solution for injection 20ml vials
4452341000033119	Vildagliptin 50mg / Metformin 850mg tablets
4452441000033113	Vildagliptin 50mg / Metformin 1g tablets
4452541000033114	Eucreas 50mg/1000mg tablets
4452641000033110	Eucreas 50mg/850mg tablets
4549141000033118	Metformin 750mg modified-release tablets
4549241000033113	Glucophage SR 750mg tablets
4597041000033115	NovoPen 4 hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units
4597141000033116	NovoPen 4 hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units
4608541000033115	Humalog KwikPen 100units/ml solution for injection 3ml pre-filled pens
4608641000033119	Humalog Mix25 KwikPen 100units/ml suspension for injection 3ml pre-filled pens
4608741000033111	Humalog Mix50 KwikPen 100units/ml suspension for injection 3ml pre-filled pens
4825441000033110	TS-A Safety hypodermic U100 insulin syringe sterile single use / single patient use 1ml with 12mm safety needle 0.33mm/29gauge
4941241000033119	Nazdol MR 30mg tablets
4945241000033117	Metformin 1g modified-release tablets
4945341000033110	Glucophage SR 1000mg tablets
4957741000033118	Bolamyn SR 500mg tablets
5007641000033119	Metformin 500mg oral powder sachets sugar free
5007741000033111	Metformin 1g oral powder sachets sugar free
5007841000033118	Glucophage 500mg oral powder sachets
5007941000033114	Glucophage 1000mg oral powder sachets
5079841000033118	HumaPen Memoir hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units
5131241000033110	Liraglutide 6mg/ml solution for injection 3ml pre-filled disposable devices
5131341000033117	Victoza 6mg/ml solution for injection 3ml pre-filled pens
5132241000033116	Janumet 50mg/1000mg tablets
5316641000033118	Saxagliptin 5mg tablets
5316741000033110	Onglyza 5mg tablets
5378141000033117	Dacadis MR 30mg tablets
5403541000033118	Humalog Mix25 100units/ml suspension for injection 10ml vials
5440141000033112	HumaPen Luxura hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units
5440641000033119	HumaPen Luxura hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units
