"prodcode"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"Psychotropic"	"group"	"database"
"64241000033110"	"Anafranil  Injection  12.5mg/ml"	"Solution for injection"	"Intramuscular"	"Clomipramine"	NA	"Clomipramine"	"Antidepressants"	"Aurum"
"68641000033117"	"Anafranil 25mg/5ml syrup"	"Oral solution"	"Oral"	"Clomipramine"	"5.000mg/1.000ml"	"Clomipramine"	"Antidepressants"	"Aurum"
"69041000033115"	"Anquil 250microgram tablets"	"Tablet/ Oral Tablet"	"Oral"	"Benperidol"	"250.000microgram"	"Benperidol"	"Antipsychotics"	"Aurum"
"70241000033114"	"Anafranil SR 75mg tablets"	"Modified-release tablet"	"Oral"	"Clomipramine"	"75.000mg"	"Clomipramine"	"Antidepressants"	"Aurum"
"87641000033116"	"Asendis 100mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Amoxapine"	"100.000mg"	"Amoxapine"	"Antidepressants"	"Aurum"
"87941000033111"	"Asendis 50mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Amoxapine"	"50.000mg"	"Amoxapine"	"Antidepressants"	"Aurum"
"145141000033119"	"Benperidol 250microgram tablets"	"Tablet/ Oral Tablet"	"Oral"	"Benperidol"	"250.000microgram"	"Benperidol"	"Antipsychotics"	"Aurum"
"173841000033113"	"Buccastem 3mg tablets"	"Buccal tablet"	"Buccal"	"Prochlorperazine"	"3.000mg"	"Prochlorperazine"	"Antipsychotics"	"Aurum"
"178741000033110"	"Carbamazepine 100mg chewable tablets sugar free"	"Chewable tablet"	"Oral"	"Carbamazepine"	"100.000mg"	"Carbamazepine"	"Mood Stabilisers"	"Aurum"
"178841000033117"	"Carbamazepine 200mg chewable tablets sugar free"	"Chewable tablet"	"Oral"	"Carbamazepine"	"200.000mg"	"Carbamazepine"	"Mood Stabilisers"	"Aurum"
"198141000033115"	"Carbamazepine 100mg/5ml oral suspension sugar free"	"Oral suspension"	"Oral"	"Carbamazepine"	"20.000mg/1.000ml"	"Carbamazepine"	"Mood Stabilisers"	"Aurum"
"207541000033111"	"Carbamazepine 125mg suppositories"	"Suppository"	"Rectal"	"Carbamazepine"	"125.000mg"	"Carbamazepine"	"Mood Stabilisers"	"Aurum"
"207641000033112"	"Carbamazepine 250mg suppositories"	"Suppository"	"Rectal"	"Carbamazepine"	"250.000mg"	"Carbamazepine"	"Mood Stabilisers"	"Aurum"
"208141000033115"	"Carbamazepine  Sugar-free liquid  100mg/5ml"	NA	NA	"Carbamazepine"	NA	"Carbamazepine"	"Mood Stabilisers"	"Aurum"
"208541000033112"	"Carbamazepine  Syrup  100 mg/5 ml"	"Oral solution"	"Oral"	"Carbamazepine"	NA	"Carbamazepine"	"Mood Stabilisers"	"Aurum"
"212541000033112"	"Carbamazepine 100mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Carbamazepine"	"100.000mg"	"Carbamazepine"	"Mood Stabilisers"	"Aurum"
"212641000033113"	"Carbamazepine 200mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Carbamazepine"	"200.000mg"	"Carbamazepine"	"Mood Stabilisers"	"Aurum"
"212741000033116"	"Carbamazepine 400mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Carbamazepine"	"400.000mg"	"Carbamazepine"	"Mood Stabilisers"	"Aurum"
"213841000033116"	"Camcolit 250 tablets"	"Tablet/ Oral Tablet"	"Oral"	"Lithium"	"250.000mg"	"Lithium"	"Mood Stabilisers"	"Aurum"
"214741000033112"	"Carbamazepine  Tablets  100 mg"	"Tablet"	"Oral"	"Carbamazepine"	NA	"Carbamazepine"	"Mood Stabilisers"	"Aurum"
"214841000033119"	"Carbamazepine  Tablets  200 mg"	"Tablet"	"Oral"	"Carbamazepine"	NA	"Carbamazepine"	"Mood Stabilisers"	"Aurum"
"214941000033110"	"Carbamazepine  Tablets  400 mg"	"Tablet"	"Oral"	"Carbamazepine"	NA	"Carbamazepine"	"Mood Stabilisers"	"Aurum"
"215541000033117"	"Camcolit 400 modified-release tablets"	"Modified-release tablet"	"Oral"	"Lithium"	"400.000mg"	"Lithium"	"Mood Stabilisers"	"Aurum"
"218241000033113"	"Carbamazepine  C/r tablets  200 mg"	"Tablet"	"Oral"	"Carbamazepine"	NA	"Carbamazepine"	"Mood Stabilisers"	"Aurum"
"218341000033115"	"Carbamazepine  C/r tablets  400 mg"	"Tablet"	"Oral"	"Carbamazepine"	NA	"Carbamazepine"	"Mood Stabilisers"	"Aurum"
"240041000033110"	"Chlorpromazine 25mg/5ml oral solution"	"Oral solution"	"Oral"	"Chlorpromazine"	"5.000mg/1.000ml"	"Chlorpromazine"	"Antipsychotics"	"Aurum"
"241341000033116"	"Chlorpromazine 50mg/2ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Chlorpromazine"	"25.000mg/1.000ml"	"Chlorpromazine"	"Antipsychotics"	"Aurum"
"242241000033115"	"Chlorpromazine Hydrochloride  Injection  100 mg/5 ml"	"Solution for injection"	"Intramuscular"	"Chlorpromazine"	NA	"Chlorpromazine"	"Antipsychotics"	"Aurum"
"242341000033113"	"Chlorpromazine Hydrochloride  Injection  25 mg/ml"	"Solution for injection"	"Intramuscular"	"Chlorpromazine"	NA	"Chlorpromazine"	"Antipsychotics"	"Aurum"
"246541000033119"	"Chlorpromazine Hydrochloride  Suppositories  100 mg"	"Suppository"	"Rectal"	"Chlorpromazine"	NA	"Chlorpromazine"	"Antipsychotics"	"Aurum"
"246641000033118"	"Chlorpromazine 100mg/5ml oral suspension sugar free"	"Oral suspension"	"Oral"	"Chlorpromazine"	"20.000mg/1.000ml"	"Chlorpromazine"	"Antipsychotics"	"Aurum"
"249041000033117"	"Chlorpromazine 10mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Chlorpromazine"	"10.000mg"	"Chlorpromazine"	"Antipsychotics"	"Aurum"
"249141000033118"	"Chlorpromazine 100mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Chlorpromazine"	"100.000mg"	"Chlorpromazine"	"Antipsychotics"	"Aurum"
"249241000033113"	"Chlorpromazine 25mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Chlorpromazine"	"25.000mg"	"Chlorpromazine"	"Antipsychotics"	"Aurum"
"249341000033115"	"Chlorpromazine 50mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Chlorpromazine"	"50.000mg"	"Chlorpromazine"	"Antipsychotics"	"Aurum"
"259141000033116"	"Cipramil 20mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Citalopram"	"20.000mg"	"Citalopram"	"Antidepressants"	"Aurum"
"259241000033111"	"Citalopram 20mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Citalopram"	"20.000mg"	"Citalopram"	"Antidepressants"	"Aurum"
"262041000033115"	"Clomipramine 10mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Clomipramine"	"10.000mg"	"Clomipramine"	"Antidepressants"	"Aurum"
"262141000033116"	"Clomipramine 25mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Clomipramine"	"25.000mg"	"Clomipramine"	"Antidepressants"	"Aurum"
"262241000033111"	"Clomipramine 50mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Clomipramine"	"50.000mg"	"Clomipramine"	"Antidepressants"	"Aurum"
"273641000033114"	"Clopixol Acuphase 50mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Zuclopenthixol"	"50.000mg/1.000ml"	"Zuclopenthixol"	"Antipsychotics"	"Aurum"
"274841000033112"	"Clopixol Acuphase 100mg/2ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Zuclopenthixol"	"50.000mg/1.000ml"	"Zuclopenthixol"	"Antipsychotics"	"Aurum"
"275441000033113"	"Clomipramine Hydrochloride  Injection  12.5mg/ml"	"Solution for injection"	"Intramuscular"	"Clomipramine"	NA	"Clomipramine"	"Antidepressants"	"Aurum"
"276041000033113"	"Clopixol 200mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Zuclopenthixol"	"200.000mg/1.000ml"	"Zuclopenthixol"	"Antipsychotics"	"Aurum"
"276141000033112"	"Clopixol Conc 500mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Zuclopenthixol"	"500.000mg/1.000ml"	"Zuclopenthixol"	"Antipsychotics"	"Aurum"
"284741000033110"	"Clomipramine 25mg/5ml oral solution"	"Oral solution"	"Oral"	"Clomipramine"	"5.000mg/1.000ml"	"Clomipramine"	"Antidepressants"	"Aurum"
"284941000033113"	"Clozaril 25mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Clozapine"	"25.000mg"	"Clozapine"	"Antipsychotics"	"Aurum"
"285041000033113"	"Clozaril 100mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Clozapine"	"100.000mg"	"Clozapine"	"Antipsychotics"	"Aurum"
"285741000033111"	"Clomipramine 75mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Clomipramine"	"75.000mg"	"Clomipramine"	"Antidepressants"	"Aurum"
"286941000033115"	"Clopixol 10mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Zuclopenthixol"	"10.000mg"	"Zuclopenthixol"	"Antipsychotics"	"Aurum"
"287041000033119"	"Clopixol 2mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Zuclopenthixol"	"2.000mg"	"Zuclopenthixol"	"Antipsychotics"	"Aurum"
"287141000033115"	"Clopixol 25mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Zuclopenthixol"	"25.000mg"	"Zuclopenthixol"	"Antipsychotics"	"Aurum"
"287541000033112"	"Clozapine 100mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Clozapine"	"100.000mg"	"Clozapine"	"Antipsychotics"	"Aurum"
"287641000033113"	"Clozapine 25mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Clozapine"	"25.000mg"	"Clozapine"	"Antipsychotics"	"Aurum"
"325841000033119"	"Convulex 150mg gastro-resistant capsules"	"Gastro-resistant capsule"	"Oral"	"Valproic"	"150.000mg"	"Valproic"	"Mood Stabilisers"	"Aurum"
"325941000033110"	"Convulex 300mg gastro-resistant capsules"	"Gastro-resistant capsule"	"Oral"	"Valproic"	"300.000mg"	"Valproic"	"Mood Stabilisers"	"Aurum"
"326041000033117"	"Convulex 500mg gastro-resistant capsules"	"Gastro-resistant capsule"	"Oral"	"Valproic"	"500.000mg"	"Valproic"	"Mood Stabilisers"	"Aurum"
"419941000033113"	"Depixol Low Volume 200mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Flupentixol"	"200.000mg/1.000ml"	"Flupentixol"	"Antipsychotics"	"Aurum"
"420041000033111"	"Depixol  Injection  200 mg/10 ml"	"Solution for injection"	"Intramuscular"	"Flupentixol"	NA	"Flupentixol"	"Antipsychotics"	"Aurum"
"420141000033110"	"Depixol 40mg/2ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Flupentixol"	"20.000mg/1.000ml"	"Flupentixol"	"Antipsychotics"	"Aurum"
"420241000033115"	"Depixol  Injection (syringe)  20 mg/1 ml"	"Solution for injection"	"Intramuscular"	"Flupentixol"	NA	"Flupentixol"	"Antipsychotics"	"Aurum"
"420341000033113"	"Depixol  Injection (syringe)  40 mg/2 ml"	"Solution for injection"	"Intramuscular"	"Flupentixol"	NA	"Flupentixol"	"Antipsychotics"	"Aurum"
"420441000033119"	"Depixol Conc 50mg/0.5ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Flupentixol"	"100.000mg/1.000ml"	"Flupentixol"	"Antipsychotics"	"Aurum"
"420541000033118"	"Depixol Conc.  Injection  500 mg/5 ml"	"Solution for injection"	"Intramuscular"	"Flupentixol"	NA	"Flupentixol"	"Antipsychotics"	"Aurum"
"422941000033113"	"Depixol 20mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Flupentixol"	"20.000mg/1.000ml"	"Flupentixol"	"Antipsychotics"	"Aurum"
"423041000033115"	"Depixol Conc 100mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Flupentixol"	"100.000mg/1.000ml"	"Flupentixol"	"Antipsychotics"	"Aurum"
"431741000033118"	"Depixol 3mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Flupentixol"	"3.000mg"	"Flupentixol"	"Antipsychotics"	"Aurum"
"472141000033110"	"Dothapax 25 capsules"	"Capsule/ Oral capsule"	"Oral"	"Dosulepin"	"25.000mg"	"Dosulepin"	"Antidepressants"	"Aurum"
"473041000033119"	"Doxepin 10mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Doxepin"	"10.000mg"	"Doxepin"	"Antidepressants"	"Aurum"
"473141000033115"	"Doxepin 25mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Doxepin"	"25.000mg"	"Doxepin"	"Antidepressants"	"Aurum"
"473241000033110"	"Doxepin 50mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Doxepin"	"50.000mg"	"Doxepin"	"Antidepressants"	"Aurum"
"473341000033117"	"Doxepin 75mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Doxepin"	"75.000mg"	"Doxepin"	"Antidepressants"	"Aurum"
"476541000033119"	"Dozic 5mg/5ml oral solution"	"Oral solution"	"Oral"	"Haloperidol"	"1.000mg/1.000ml"	"Haloperidol"	"Antipsychotics"	"Aurum"
"476641000033118"	"Dozic  Liquid  2mg/ml"	NA	NA	"Haloperidol"	NA	"Haloperidol"	"Antipsychotics"	"Aurum"
"479641000033111"	"Dothapax 75 tablets"	"Tablet/ Oral Tablet"	"Oral"	"Dosulepin"	"75.000mg"	"Dosulepin"	"Antidepressants"	"Aurum"
"479841000033112"	"Dolmatil 400mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Sulpiride"	"400.000mg"	"Sulpiride"	"Antipsychotics"	"Aurum"
"480941000033116"	"Dolmatil 200mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Sulpiride"	"200.000mg"	"Sulpiride"	"Antipsychotics"	"Aurum"
"483141000033112"	"Droperidol  Injection  5mg/ml"	"Solution for injection"	"Intramuscular"	"Droperidol"	NA	"Droperidol"	"Antipsychotics"	"Aurum"
"483341000033110"	"Droleptan  Injection  5mg/ml"	"Solution for injection"	"Intramuscular"	"Droperidol"	NA	"Droperidol"	"Antipsychotics"	"Aurum"
"483541000033115"	"Droperidol  Liquid  1mg/ml"	NA	NA	"Droperidol"	NA	"Droperidol"	"Antipsychotics"	"Aurum"
"483641000033119"	"Droleptan  Liquid  1mg/ml"	NA	NA	"Droperidol"	NA	"Droperidol"	"Antipsychotics"	"Aurum"
"484641000033117"	"Droleptan  Tablets  10 mg"	"Tablet"	"Oral"	"Droperidol"	NA	"Droperidol"	"Antipsychotics"	"Aurum"
"485041000033112"	"Droperidol  Tablets  10 mg"	"Tablet"	"Oral"	"Droperidol"	NA	"Droperidol"	"Antipsychotics"	"Aurum"
"489741000033113"	"Dutonin 100mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Nefazodone"	"100.000mg"	"Nefazodone"	"Antidepressants"	"Aurum"
"489841000033115"	"Dutonin 200mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Nefazodone"	"200.000mg"	"Nefazodone"	"Antidepressants"	"Aurum"
"496741000033118"	"Edronax 4mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Reboxetine"	"4.000mg"	"Reboxetine"	"Antidepressants"	"Aurum"
"498441000033112"	"Efexor XL 75mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"75.000mg"	"Venlafaxine"	"Antidepressants"	"Aurum"
"498541000033113"	"Efexor XL 150mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"150.000mg"	"Venlafaxine"	"Antidepressants"	"Aurum"
"498941000033119"	"Efalith ointment"	"Ointment/ Cutaneous ointment"	"Cutaneous"	"Lithium"	"80.000mg/1.000gram + 500.000microgram/1.000gram"	"Lithium"	"Mood Stabilisers"	"Aurum"
"499041000033111"	"Efexor 37.5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Venlafaxine"	"37.500mg"	"Venlafaxine"	"Antidepressants"	"Aurum"
"499141000033110"	"Efexor 75mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Venlafaxine"	"75.000mg"	"Venlafaxine"	"Antidepressants"	"Aurum"
"499241000033115"	"Efexor 50mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Venlafaxine"	"50.000mg"	"Venlafaxine"	"Antidepressants"	"Aurum"
"529541000033117"	"Epilim Intravenous 400mg powder and solvent for solution for injection vials"	"Powder and solvent for solution for injection"	"Intravenous"	"Valproate"	"400.000mg"	"Valproate"	"Mood Stabilisers"	"Aurum"
"529641000033116"	"Epilim 200mg/5ml liquid"	"Oral solution"	"Oral"	"Valproate"	"40.000mg/1.000ml"	"Valproate"	"Mood Stabilisers"	"Aurum"
"529841000033115"	"Epilim Chrono 200 tablets"	"Modified-release tablet"	"Oral"	"Valproate"	"200.000mg"	"Valproate"	"Mood Stabilisers"	"Aurum"
"529941000033111"	"Epilim Chrono 300 tablets"	"Modified-release tablet"	"Oral"	"Valproate"	"300.000mg"	"Valproate"	"Mood Stabilisers"	"Aurum"
"530041000033115"	"Epilim Chrono 500 tablets"	"Modified-release tablet"	"Oral"	"Valproate"	"500.000mg"	"Valproate"	"Mood Stabilisers"	"Aurum"
"532141000033115"	"Epilim 200mg/5ml syrup"	"Oral solution"	"Oral"	"Valproate"	"40.000mg/1.000ml"	"Valproate"	"Mood Stabilisers"	"Aurum"
"532541000033112"	"Epilim 100mg crushable tablets"	"Tablet/ Oral Tablet"	"Oral"	"Valproate"	"100.000mg"	"Valproate"	"Mood Stabilisers"	"Aurum"
"532641000033113"	"Epilim 200 gastro-resistant tablets"	"Gastro-resistant tablet"	"Oral"	"Valproate"	"200.000mg"	"Valproate"	"Mood Stabilisers"	"Aurum"
"532741000033116"	"Epilim 500 gastro-resistant tablets"	"Gastro-resistant tablet"	"Oral"	"Valproate"	"500.000mg"	"Valproate"	"Mood Stabilisers"	"Aurum"
"561941000033115"	"Faverin 100mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Fluvoxamine"	"100.000mg"	"Fluvoxamine"	"Antidepressants"	"Aurum"
"563341000033115"	"Faverin 50mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Fluvoxamine"	"50.000mg"	"Fluvoxamine"	"Antidepressants"	"Aurum"
"567141000033111"	"Fentazin  Injection  5 mg/ml"	"Solution for injection"	"Intramuscular"	"Perphenazine"	NA	"Perphenazine"	"Antipsychotics"	"Aurum"
"570941000033117"	"Fentazin 2mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Perphenazine"	"2.000mg"	"Perphenazine"	"Antipsychotics"	"Aurum"
"571041000033110"	"Fentazin 4mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Perphenazine"	"4.000mg"	"Perphenazine"	"Antipsychotics"	"Aurum"
"571141000033114"	"Fentazin  Tablets  8 mg"	"Tablet"	"Oral"	"Perphenazine"	NA	"Perphenazine"	"Antipsychotics"	"Aurum"
"577841000033114"	"Fluoxetine 20mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Fluoxetine"	"20.000mg"	"Fluoxetine"	"Antidepressants"	"Aurum"
"579041000033111"	"Fluoxetine 60mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Fluoxetine"	"60.000mg"	"Fluoxetine"	"Antidepressants"	"Aurum"
"582041000033112"	"Fluphenazine decanoate 25mg/1ml solution for injection pre-filled syringes"	"Solution for injection"	"Intramuscular"	"Fluphenazine"	"25.000mg/1.000ml"	"Fluphenazine"	"Antipsychotics"	"Aurum"
"582141000033111"	"Fluphenazine decanoate 50mg/2ml solution for injection pre-filled syringes"	"Solution for injection"	"Intramuscular"	"Fluphenazine"	"25.000mg/1.000ml"	"Fluphenazine"	"Antipsychotics"	"Aurum"
"584641000033111"	"Fluphenazine decanoate 25mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Fluphenazine"	"25.000mg/1.000ml"	"Fluphenazine"	"Antipsychotics"	"Aurum"
"584741000033119"	"Fluphenazine Enanthate  Injection  25 mg/ml"	"Solution for injection"	"Intramuscular"	"Fluphenazine"	NA	"Fluphenazine"	"Antipsychotics"	"Aurum"
"584841000033112"	"Fluspirilene  Injection  2 mg/ ml"	"Solution for injection"	"Intramuscular"	"Fluspirilene"	NA	"Fluspirilene"	"Antipsychotics"	"Aurum"
"585041000033116"	"Flupenthixol Decanoate  Injection  200 mg/10 ml"	"Solution for injection"	"Intramuscular"	"Flupentixol"	NA	"Flupentixol"	"Antipsychotics"	"Aurum"
"585241000033112"	"Flupenthixol Decanoate  Injection (syringe)  20 ml/1 ml"	"Solution for injection"	"Intramuscular"	"Flupentixol"	NA	"Flupentixol"	"Antipsychotics"	"Aurum"
"585341000033119"	"Flupenthixol Decanoate  Injection (syringe)  40 mg/2 ml"	"Solution for injection"	"Intramuscular"	"Flupentixol"	NA	"Flupentixol"	"Antipsychotics"	"Aurum"
"585541000033114"	"Flupenthixol Decanoate  Injection  500 mg/5 ml"	"Solution for injection"	"Intramuscular"	"Flupentixol"	NA	"Flupentixol"	"Antipsychotics"	"Aurum"
"586641000033119"	"Fluphenazine decanoate 12.5mg/0.5ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Fluphenazine"	"25.000mg/1.000ml"	"Fluphenazine"	"Antipsychotics"	"Aurum"
"586741000033111"	"Fluphenazine decanoate 250mg/10ml solution for injection vials"	"Solution for injection"	"Intramuscular"	"Fluphenazine"	"25.000mg/1.000ml"	"Fluphenazine"	"Antipsychotics"	"Aurum"
"586841000033118"	"Fluphenazine decanoate 50mg/2ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Fluphenazine"	"25.000mg/1.000ml"	"Fluphenazine"	"Antipsychotics"	"Aurum"
"586941000033114"	"Fluphenazine decanoate 50mg/0.5ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Fluphenazine"	"100.000mg/1.000ml"	"Fluphenazine"	"Antipsychotics"	"Aurum"
"587641000033116"	"Flupenthixol Decanoate  Injection  100 mg/1 ml ampoule"	"Solution for injection"	"Intramuscular"	"Flupentixol"	NA	"Flupentixol"	"Antipsychotics"	"Aurum"
"587741000033113"	"Fluphenazine decanoate 100mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Fluphenazine"	"100.000mg/1.000ml"	"Fluphenazine"	"Antipsychotics"	"Aurum"
"592541000033118"	"Fluoxetine Hydrochloride  Liquid  20 mg/5 ml"	NA	NA	"Fluoxetine"	NA	"Fluoxetine"	"Antidepressants"	"Aurum"
"592841000033116"	"Fluvoxamine 100mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Fluvoxamine"	"100.000mg"	"Fluvoxamine"	"Antidepressants"	"Aurum"
"593441000033111"	"Fluanxol 1mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Flupentixol"	"1.000mg"	"Flupentixol"	"Antipsychotics"	"Aurum"
"593541000033112"	"Fluanxol 500microgram tablets"	"Tablet/ Oral Tablet"	"Oral"	"Flupentixol"	"500.000microgram"	"Flupentixol"	"Antipsychotics"	"Aurum"
"595441000033112"	"Fluphenazine 1mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Fluphenazine"	"1.000mg"	"Fluphenazine"	"Antipsychotics"	"Aurum"
