"medcode"	"term"
"24813"	"chronic viral hepatitis b with delta-agent"
"24901"	"[x] hepatic failure"
"25341"	"liver abscess due to cholangitis"
"25383"	"hepatic fibrosis"
"25869"	"other specified liver disorder"
"26319"	"oesophageal varices in cirrhosis of the liver"
"26367"	"chronic viral hepatitis"
"26405"	"hepatic granulomas in sarcoidosis"
"26490"	"subacute hepatic failure"
"27319"	"transplantation of liver nos"
"27438"	"cardiac portal cirrhosis"
"27565"	"congenital cystic liver disease"
"27663"	"granulomatous hepatitis, not elsewhere classified"
"28350"	"fibrocystic liver disease"
"28798"	"nonspecific reactive hepatitis"
"29021"	"amoebic liver abscess"
"29107"	"left hemihepatectomy"
"30586"	"chronic viral hepatitis c"
"31008"	"chronic passive liver congestion"
"31897"	"liver abscess and sequelae of chronic liver disease"
"31997"	"liver transplant with complication, without blame"
"32025"	"orthotopic transplantation of liver"
"32277"	"chronic viral hepatitis, unspecified"
"33597"	"other non-alcoholic chronic liver disease nos"
"34087"	"cytomegaloviral hepatitis"
"34642"	"congenital hepatic fibrosis"
"34903"	"congenital hepatic cyst"
"36107"	"toxic liver disease with hepatic necrosis"
"36194"	"hepatic failure as a complication of care"
"36727"	"toxic liver disease"
"37521"	"deficiency of coagulation factor due to liver disease"
"39351"	"toxic liver disease with chronic active hepatitis"
"39945"	"acute liver failure"
"40567"	"capsular portal cirrhosis"
"40963"	"portal fibrosis without cirrhosis"
"41096"	"chronic viral hepatitis b without delta-agent"
"41104"	"toxic liver disease with acute hepatitis"
"41386"	"acute hepatic failure due to drugs"
"41480"	"acute necrosis of liver"
"41673"	"toxic liver disease, unspecified"
"42843"	"other non-alcoholic chronic liver disease"
"44120"	"toxic liver disease with fibrosis and cirrhosis of liver"
"44676"	"fatty portal cirrhosis"
"46023"	"liver abscess - excluding amoebic liver abscess"
"46278"	"phlebitis of portal vein"
"47257"	"portal cirrhosis"
"47861"	"exploration of liver transplant"
"48102"	"other sequelae of chronic liver disease"
"48488"	"acute and subacute liver necrosis"
"48879"	"hepatic veno-occlusive disease"
"48928"	"infectious cirrhosis nos"
"49042"	"hepatic infarction"
"53704"	"acute yellow atrophy"
"53861"	"[x]granulomatous hepatitis, not elsewhere classified"
"53877"	"chronic hepatitis unspecified"
"55454"	"portal cirrhosis unspecified"
"55637"	"acute necrosis of liver nos"
"56070"	"hepatic failure nos"
"56114"	"folate-deficiency anaemia due to liver disorders"
"57324"	"subacute necrosis of liver"
"58630"	"biliary cirrhosis nos"
"60104"	"hepatic sclerosis"
"64451"	"central haemorrhagic necrosis of liver"
"64750"	"toxic liver disease with chronic lobular hepatitis"
"65067"	"acute and subacute liver necrosis nos"
"66185"	"toxoplasma hepatitis"
"66374"	"hepatoptosis"
"66534"	"chronic lobular hepatitis"
"66899"	"hepatic granulomas in berylliosis"
"68376"	"florid cirrhosis"
"68692"	"liver abscess due to portal pyaemia"
"69194"	"replacement of previous liver transplant"
"69204"	"multilobular portal cirrhosis"
"69313"	"subacute yellow atrophy"
"69367"	"subacute necrosis of liver nos"
"70524"	"liver abscess via umbilicus"
"71011"	"extended right hemihepatectomy"
"71422"	"heterotopic transplantation of liver"
"71453"	"hepatic fibrosis"
"72000"	"congenital cystic liver disease nos"
"72570"	"peliosis hepatis"
"73482"	"bacterial portal cirrhosis"
"88994"	"compensation for liver failure"
"89445"	"auxillary liver transplant"
"89587"	"other specified viral hepatitis with hepatic coma nos"
"92909"	"hypertrophic portal cirrhosis"
"96638"	"dietary advice for liver disease"
"96664"	"juvenile portal cirrhosis"
"97068"	"right hemihepatectomy nec"
"97157"	"orthotopic transplantation of liver nec"
"97493"	"left hemihepatectomy nec"
"97650"	"compensation for liver failure nos"
"98148"	"nonalcoholic steatohepatitis"
"99236"	"[x]liver disorders in infectious and parasitic diseases ce"
"99250"	"other specified transplantation of liver"
"99892"	"extended left hemihepatectomy"
"99898"	"chronic hepatitis annual review - enhanced services admin"
"100073"	"piggy back liver transplant"
"100253"	"xanthomatous portal cirrhosis"
"100474"	"laennec's cirrhosis"
"100592"	"hepatic fibrosis with hepatic sclerosis"
"102922"	"cystic fibrosis related cirrhosis"
"103466"	"fatty change of liver"
"103706"	"fatty liver"
"103715"	"liver abscess via hepatic artery"
"105506"	"orthotopic transplantation of whole liver"
"105758"	"liver transplant planned"
"106025"	"[x]toxic liver disease, unspecified"
"106387"	"focal nodular hyperplasia of liver"
"106575"	"discussion about liver transplantation"
"106642"	"chronic viral hepatitis b"
"107896"	"[x]chronic viral hepatitis, unspecified"
"107897"	"[x]other specified inflammatory liver diseases"
"108343"	"[x]other chronic viral hepatitis"
"108800"	"liver abscess and chronic liver disease causing sequelae nos"
"109540"	"zooparasitic portal cirrhosis"
"110454"	"liver disease due to cystic fibrosis"
"111969"	"chronic hepatitis annual review"
"111976"	"viral hepatitis with hepatic coma"
"112044"	"syphilitic portal cirrhosis"
"114722"	"portal hypertensive gastropathy"
"115451"	"mixed portal cirrhosis"
"115693"	"[x]liver disorders in other diseases classified elsewhere"
